#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
21695,Redmine,Defect,"",Closed,Normal,"Warning ""Can't mass-assign protected attributes for IssueRelation: issue_to_id""",Markus Flattinger,Jean-Philippe Lang,2016-02-08 04:36,Code cleanup/refactoring,3.3.0,"","","",0,2016-01-11 12:25,2016-01-16 09:57,"",Fixed,3.1.3,"<pre>
WARNING: Can't mass-assign protected attributes for IssueRelation: issue_to_id
	app/models/issue_relation.rb:89:in `initialize'
	app/controllers/issue_relations_controller.rb:43:in `create'
	lib/redmine/sudo_mode.rb:63:in `sudo_mode'
</pre>

<pre>
Environment:
  Redmine version                3.1.3.stable.15058
  Ruby version                   2.1.5-p273 (2014-11-13) [x86_64-linux-gnu]
  Rails version                  4.2.5
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.10
  Darcs                          2.8.5
  Mercurial                      3.1.2
  Cvs                            1.12.13
  Bazaar                         2.7.0
  Git                            2.1.4
  Filesystem
Redmine plugins:
  redmine_agile                  1.3.8
  redmine_pretend                0.0.3
</pre>
"
21692,Redmine,Patch,"",Closed,Normal,Azerbaijani language file,Emin Mastizada,"",2016-03-31 14:39,Translations,"","","","",0,2016-01-11 09:11,2016-03-31 14:39,ä÷òAÇµÇƒÇ¢ÇÈ #23044,"","","Hello, I'm from Mozilla Azerbaijani L10n Team, and recently we have seen a lot bugs in Azerbaijani localization of redmine (even Language name :D). I would like to fix them and commit for future releases. Need access for that."
21689,Redmine,Patch,"",Closed,Normal,Turkish translation for 3.1-stable,Toshi MARUYAMA,"",2016-01-10 09:02,Translations,3.1.4,"","","",0,2016-01-09 20:35,2016-01-10 09:02,"","","","From #21620.

<pre><code class=""diff"">
=== (+2,-2) config/locales/tr.yml ===
@@ -1164,4 +1164,4 @@
   label_member_management_selected_roles_only: Sadece bu roller
   label_password_required: Devam etmek i?in ?ifrenizi do?rulay?n
   label_total_spent_time: Toplam harcanan zaman
-  field_total_estimated_hours: Total estimated time
+  field_total_estimated_hours: Toplam tahmini zaman
</code></pre>"
21687,Redmine,Patch,"",Closed,Normal,German translations for 3.1-stable,Toshi MARUYAMA,"",2016-01-10 09:04,Translations,3.1.4,"","","",0,2016-01-09 19:04,2016-01-10 09:04,"","","","From #21635.

<pre><code class=""diff"">
=== (+3,-3) config/locales/de.yml ===
@@ -1154,8 +1154,8 @@
   label_time_entries_visibility_all: All time entries
   label_time_entries_visibility_own: Time entries created by the user
   label_member_management: Member management
-  label_member_management_all_roles: All roles
-  label_member_management_selected_roles_only: Only these roles
+  label_member_management_all_roles: Alle Rollen
+  label_member_management_selected_roles_only: Nur diese Rollen
   label_total_spent_time: Aufgewendete Zeit aller Projekte anzeigen
   notice_import_finished: All %{count} items have been imported.
   notice_import_finished_with_errors: ! '%{count} out of %{total} items could not be
</code></pre>"
21686,Redmine,Patch,"",Closed,Normal,Russian translation for 3.1-stable,Toshi MARUYAMA,"",2016-01-09 19:17,Translations,3.1.4,"","","",0,2016-01-09 16:29,2016-01-09 19:17,"","","","From #21527.

<pre><code class=""diff"">
=== (+2,-2) config/locales/ru.yml ===
@@ -1260,4 +1260,4 @@
   label_member_management_selected_roles_only: ÑSÑÄÑ|ÑéÑ{ÑÄ ÑèÑÑÑy ÑÇÑÄÑ|Ñy
   label_password_required: ÑDÑ|Ñë ÑÅÑÇÑÄÑtÑÄÑ|ÑwÑuÑ~ÑyÑë ÑrÑrÑuÑtÑyÑÑÑu ÑÉÑrÑÄÑz ÑÅÑpÑÇÑÄÑ|Ñé
   label_total_spent_time: ÑBÑÉÑuÑsÑÄ ÑxÑpÑÑÑÇÑpÑâÑuÑ~ÑÄ ÑrÑÇÑuÑ}ÑuÑ~Ñy
-  field_total_estimated_hours: Total estimated time
+  field_total_estimated_hours: ÑBÑÉÑuÑsÑÄ ÑÄÑÉÑÑÑpÑ|ÑÄÑÉÑé ÑrÑÇÑuÑ}ÑuÑ~Ñy
</code></pre>"
21685,Redmine,Patch,"",Closed,Normal,Change Spanish Panama thousand delimiters and separator,Toshi MARUYAMA,"",2016-01-09 16:55,Translations,3.3.0,"","","",0,2016-01-09 14:35,2016-01-09 16:55,"","","","From #21521.

<pre><code class=""diff"">
=== (+3,-3) config/locales/es-PA.yml ===
@@ -12,9 +12,9 @@
     # These are also the defaults for 'currency', 'percentage', 'precision', and 'human'
     format:
       # Sets the separator between the units, for more precision (e.g. 1.0 / 2.0 == 0.5)
-      separator: "",""
+      separator: "".""
       # Delimets thousands (e.g. 1,000,000 is a million) (always in groups of three)
-      delimiter: "".""
+      delimiter: "",""
       # Number of decimals, behind the separator (1 with a precision of 2 gives: 1.00)
       precision: 3
</code></pre>"
21682,Redmine,Defect,"",New,Normal,Documentation for nginx configuration is outdated and broken,Erik H,"",2016-02-06 05:13,Documentation,"","","","",0,2016-01-08 19:45,"","","","","I set up Redmine with nginx as a reverse proxy according to this HowTo: [[HowTo_configure_Nginx_to_run_Redmine]]

For the most part it seems to work normally. Then I tried to delete a project which did not work.
The HowTo's nginx configuration rewrites some ""sensitive"" paths to https and then rewrites back to http for ""non-sensitive"" paths except some paths that would be broken otherwise:
<pre>
# Examples of URLs we don't want to rewrite (otherwise 404 errors occur):
# /projects/PROJECTNAME/archive?status=
# /projects/copy/PROJECTNAME
# /projects/PROJECTNAME/destroy

# This should exclude those (tested here: http://www.regextester.com/ )
if ($uri !~* ""^/projects/.*(copy|destroy|archive)"") {
    rewrite ^/projects(.*) http://your.domain.here$request_uri permanent;
}
</pre>

As far as I can see these excluded paths are outdated. This does for example break the DELETE request upon project deletion.

I worked around this by commenting out all the rewriting stuff and just defaulting to https with:
<pre>
server {
	listen 80;
	return 301 https://$server_name$request_uri;
}
</pre>
_(In my opinion this is should be done anyways because data of non-public projects musn't be sent over http...)_

The regex has to be updated to match the new path structure."
21680,Redmine,Defect,"",Closed,Normal,Save button in Settings tab disabled,Jean-Claude Wippler,"",2016-01-11 23:30,UI,"","","","",0,2016-01-08 18:40,2016-01-11 23:30,"",Invalid,3.2.0,"When **only** enabling the ""Public"" checkbox on the Settings/Information page, the Save button does not get enabled.

Workaround: making a change to the description field (even just adding a character and removing it again) is enough to enable Save, then it works and the Public checkbox change gets stored.

I'm running 3.2.0.devel, cloned in Dec 2015 from the repository on GitHub, last log entry:

> commit f4c37007025b5bdd018c1b95f54a077a4c52319e
> Author: Jean-Philippe Lang <jp_lang@yahoo.fr>
> Date:   Sun Dec 13 15:39:09 2015 +0000
> 
> Adds the ""Hide my email address"" option on the registration form (#21500).
>  
> git-svn-id: http://svn.redmine.org/redmine/trunk@14976 e93f8b46-1217-0410-a6f0-8f06a7374b81
"
21679,Redmine,Defect,"",Closed,Normal,Emoji [CL] will break the subject of new tickets,Florian Over,"",2016-01-08 17:01,"","","","","",0,2016-01-08 16:03,2016-01-08 17:01,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #18866,Duplicate,"",I cannot enter issues with subjects with the 
21678,Redmine,Patch,"",Closed,Normal,Add missing wiki container for news comments,Felix Gliesche,Jean-Philippe Lang,2016-01-20 09:53,UI,3.3.0,"","","",0,2016-01-08 14:26,2016-01-20 09:53,"","","","Blog post comments are missing wiki formatting. 

This patch adds a DIV containing the wiki class for correct formatting."
