#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
20495,Redmine,Defect,"",Closed,Normal,How to add pagination in redmine plugin.,nikhil thombare,"",2015-08-08 04:34,"","","","","",0,2015-08-07 18:27,2015-08-08 04:34,"",Invalid,3.1.0,""
20492,Redmine,Defect,"",Closed,Normal,"Forum e-mail ""My Account"" link shows hostname/my/account",Bruce Pieterse,"",2015-08-08 09:46,Email notifications,"","","","",0,2015-08-07 00:20,2015-08-07 02:29,"",Invalid,3.1.0,"Hi,

I have noticed that the forum e-mails generated are showing http://hostname/my/account in the footer.

The link in the header of the forum topic/subject is correct and uses the hostname from the settings page.

Thanks"
20490,Redmine,Defect,"",Closed,Normal,WARNING: Can't mass-assign protected attributes for User,Pavel Potcheptsov,Jean-Philippe Lang,2015-09-12 13:12,Administration,3.1.1,"","","",0,2015-08-06 12:54,2015-09-12 13:12,"",Fixed,3.1.0,"I got this warning when untick _Administrator_ in user's settings.
I also thought that I will be asked for password as required by new Sudo mode, but I haven't been asked.
<pre>
WARNING: Can't mass-assign protected attributes for User: login
	lib/redmine/safe_attributes.rb:84:in `safe_attributes='
	app/controllers/users_controller.rb:135:in `update'
	lib/redmine/sudo_mode.rb:63:in `sudo_mode'
</pre>"
20483,Redmine,Defect,"",Closed,Normal,V3.1/FC20 died  NameError: uninitialized constant ActionView::Helpers::ActiveModelHelper,Pat Laporte,"",2015-08-06 01:21,"","","","","",0,2015-08-05 18:10,2015-08-06 01:21,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #19952,Duplicate,3.1.0,"Hello all,

 
I saw some issue for W32 but I'm on fedora 20   
My installation fail (twice) with  the same command,  when I tried to generate a secret token 

Any ideas  to help  or advice  on  this issue and
which version to run  on centos or fedora ?

Thank You !
plap

ruby 2.0.0p353 (2013-11-22 revision 43784) [x86_64-linux]

[plap@hawaii redmine]$ /usr/local/bin/bundle   exec rake generate_secret_token --trace

rake aborted!
NameError: uninitialized constant ActionView::Helpers::ActiveModelHelper
/usr/local/share/gems/gems/actionview-4.2.3/lib/action_view/helpers.rb:40:in `<module:Helpers>'
/usr/local/share/gems/gems/actionview-4.2.3/lib/action_view/helpers.rb:4:in `<module:ActionView>'
/usr/local/share/gems/gems/actionview-4.2.3/lib/action_view/helpers.rb:3:in `<top (required)>'
/usr/local/share/gems/gems/actionview-4.2.3/lib/action_view/base.rb:5:in `<top (required)>'
/usr/local/share/gems/gems/actionview-4.2.3/lib/action_view/view_paths.rb:1:in `<top (required)>'
/usr/local/share/gems/gems/actionpack-4.2.3/lib/abstract_controller/rendering.rb:4:in `<top (required)>'
/usr/local/share/gems/gems/actionpack-4.2.3/lib/action_controller/base.rb:204:in `<class:Base>'
/usr/local/share/gems/gems/actionpack-4.2.3/lib/action_controller/base.rb:164:in `<module:ActionController>'
/usr/local/share/gems/gems/actionpack-4.2.3/lib/action_controller/base.rb:5:in `<top (required)>'
/var/www/apache/.gem/ruby/gems/actionpack-action_caching-1.1.1/lib/action_controller/action_caching.rb:13:in `<top (required)>'
/var/www/apache/.gem/ruby/gems/actionpack-action_caching-1.1.1/lib/actionpack/action_caching.rb:1:in `require'
/var/www/apache/.gem/ruby/gems/actionpack-action_caching-1.1.1/lib/actionpack/action_caching.rb:1:in `<top (required)>'
/var/www/apache/.gem/ruby/gems/bundler-1.10.6/lib/bundler/runtime.rb:85:in `require'
/var/www/apache/.gem/ruby/gems/bundler-1.10.6/lib/bundler/runtime.rb:85:in `rescue in block in require'
/var/www/apache/.gem/ruby/gems/bundler-1.10.6/lib/bundler/runtime.rb:68:in `block in require'
/var/www/apache/.gem/ruby/gems/bundler-1.10.6/lib/bundler/runtime.rb:61:in `each'
/var/www/apache/.gem/ruby/gems/bundler-1.10.6/lib/bundler/runtime.rb:61:in `require'
/var/www/apache/.gem/ruby/gems/bundler-1.10.6/lib/bundler.rb:134:in `require'
/WWW/redmine-3.1.0/config/application.rb:5:in `<top (required)>'
/WWW/redmine-3.1.0/Rakefile:5:in `require'
/WWW/redmine-3.1.0/Rakefile:5:in `<top (required)>'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/rake_module.rb:28:in `load'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/rake_module.rb:28:in `load_rakefile'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:689:in `raw_load_rakefile'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:94:in `block in load_rakefile'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:176:in `standard_exception_handling'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:93:in `load_rakefile'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:77:in `block in run'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:176:in `standard_exception_handling'
/usr/local/share/gems/gems/rake-10.4.2/lib/rake/application.rb:75:in `run'
/usr/local/share/gems/gems/rake-10.4.2/bin/rake:33:in `<top (required)>'
/usr/local/bin/rake:23:in `load'
/usr/local/bin/rake:23:in `<main>'


____


[plap@hawaii redmine]$ gem list --local

*** LOCAL GEMS ***

actionmailer (4.2.3)
actionpack (4.2.3)
actionpack-action_caching (1.1.1)
actionpack-xml_parser (1.0.2)
actionview (4.2.3)
activejob (4.2.3)
activemodel (4.2.3)
activerecord (4.2.3)
activerecord-mysql2-adapter (0.0.3)
activesupport (4.2.3)
arel (6.0.3, 6.0.2)
bigdecimal (1.2.0)
builder (3.2.2)
bundler (1.10.6)
coderay (1.1.0)
erubis (2.7.0)
globalid (0.3.6, 0.3.5)
i18n (0.7.0)
io-console (0.4.2)
jquery-rails (3.1.3)
json (1.8.3, 1.7.7)
loofah (2.0.2)
mail (2.6.3)
mime-types (2.6.1)
mini_portile (0.6.2)
minitest (5.7.0)
mysql2 (0.3.19)
net-http-persistent (2.9.4)
net-ldap (0.3.1)
nokogiri (1.6.6.2)
passenger (5.0.15)
protected_attributes (1.1.3)
psych (2.0.0)
rack (1.6.4)
rack-openid (1.4.2)
rack-test (0.6.3)
rails (4.2.3)
rails-deprecated_sanitizer (1.0.3)
rails-dom-testing (1.0.6)
rails-html-sanitizer (1.0.2)
railties (4.2.3)
rake (10.4.2)
rbpdf (1.18.6)
rdoc (4.0.1)
redcarpet (3.1.2)
request_store (1.0.5)
rmagick (2.15.3)
ruby-openid (2.3.0)
sprockets (3.2.0)
sprockets-rails (2.3.2)
thor (0.19.1, 0.18.1)
thread_safe (0.3.5)
tzinfo (1.2.2)

"
20479,Redmine,Defect,"",New,Normal,Undocumented pagination support for API,Tommaso Visconti,"",2015-08-05 10:55,Documentation,"","","","",0,2015-08-05 10:55,"","","","","It's not documented the possibility to use the @page@ param instead of the @offset@ param.

The @ApplicationController.api_offset_and_limit@ method automatically calculate the offset if the @page@ param is present"
20474,Redmine,Defect,"",Closed,Normal,"You can not edit notes in 3.1.0 release, Save button is not working.",Omer Arslan,"",2015-09-28 15:03,Issues,"","","","",0,2015-08-04 20:51,2015-09-28 15:03,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #20380,Duplicate,3.0.4,""
20473,Redmine,Patch,"",Closed,Normal,Respect the user's timezone when querying issues,Holger Just,"",2016-03-26 09:48,Issues,"","","","",0,2015-08-04 18:52,2016-03-26 09:48,"ä÷òAÇµÇƒÇ¢ÇÈ #19033, éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #22320","","","When querying issues and using date-based filters like ""today"" or ""3 days ago"" or ""last month"", Redmine uses the current date according to the server's local time as a reference. This might however not be the day in the user's timezone if they use a different one as the server. These queries can then show unexpected issues that do not match the filter according to the user's timezone.

Furthermore, even if the date is correct, the exact cut-off time still needs to be done in the user's timezone. Suppose the server is set to GMT and the user has configured Europe/Berlin (GMT+2:00 right now) as their time zone. When querying for all issues updated yesterday, the result should include all issues updated between 2015-08-03 02:00:00 GMT and 2015-08-04 01:59:59 GMT. Right now, it would however only include issues updated between 2015-08-03 00:00:00 GMT and 2015-08-03 23:59:59 GMT.

The attached patch against the current trunk fixes both of these issues by applying the following changes to the query model:

* It calculates the cut-of time based on the current user timezone instead of assuming midnight at server-local time
* it uses @User.current.today@ instead of @Date.today@ to get the correct reference day in the user's timezone

The patch was extracted from ""Planio"":https://plan.io/redmine-hosting/."
20472,Redmine,Defect,"",New,Normal,Filtered API calls delete CORS,Tommaso Visconti,"",2015-08-04 17:51,REST API,"","","","",0,2015-08-04 17:51,"","","",2.6.0,"This is a strange behaviour of the API. I'm using rack-cors to enable API consuming by other apps (Ember.js).

When using various endpoints (/issues.json, time_entries.json, projects.json) everything is ok.

With this specific call, CORS headers aren't added to the response and the browser blocks the request with the ""famous"" error: @No 'Access-Control-Allow-Origin' header is present on the requested resource@
The call is:

<pre>
/time_entries.json?user_id=<ID>
or
/time_entries.json?user_id=me
</pre>

The only added header is:

<pre>
X-Rack-CORS: preflight-hit; no-origin
</pre>

If I change the param with something not recognized by redmine (e.g. ?wrong_param=me), everything works well (the response isn't filtered). So the problem seems to be related to the filtering of the time entries by user.
Maybe with this particular filtering redmine creates a different response which avoid the rack-cors action?

The correct headers, added by rack-cors, should be:

<pre>
Access-Control-Allow-Origin: http://localhost:4200
Access-Control-Allow-Methods: GET, POST, DELETE, PUT, OPTIONS, HEAD
Access-Control-Max-Age: 0
Access-Control-Allow-Credentials: true
X-Rack-CORS: hit
</pre>"
20470,Redmine,Defect,"",New,Normal,Markdown Emphasis in a word didn't work properly.,Ren? van Dorst,"",2015-08-04 10:39,Text formatting,"","","","",0,2015-08-04 10:39,"","","",3.1.0,"I was trying Markdown in 3.1.0.

Accourding to http://daringfireball.net/projects/markdown/syntax#em it is posiable to use emphasis inside a word.

Qoute:
<pre>You can use whichever style you prefer; the lone restriction is that the same character must be used to open and close an emphasis span.

Emphasis can be used in the middle of a word:

un*frigging*believable
</pre>

My Markdown code:
<pre>
un*frigging*believable

un_frigging_believable

un***frigging***believable

un__frigging__believable

un___frigging__believable
</pre>

HTML output:

<pre><code class=html><p>un*frigging*believable</p>

<p>un_frigging_believable</p>

<p>un*<strong>frigging</strong>*believable</p>

<p>un_<em>frigging</em>_believable</p>

<p>un_<strong>frigging</strong>believable</p>

<p>*this text is surrounded by literal asterisks*</p></code></pre>

HTML output should be:

<pre><code class=html><p>un<em>frigging</em>believable</p>

<p>un<em>frigging</em>believable</p>

<p>un<em><strong>frigging</strong></em>believable</p>

<p>un<strong>frigging</strong>believable</p>

<p>un_<strong>frigging</strong>believable</p>

<p>*this text is surrounded by literal asterisks*</p></code></pre>


Environment:
  Redmine version                3.1.0.stable.14476
  Ruby version                   2.2.1-p85 (2015-02-26) [x86_64-linux]
  Rails version                  4.2.3
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.9.1
  Filesystem
Redmine plugins:
  no plugin installed
"
20469,Redmine,Defect,"",Needs feedback,Normal,Document Access,santhosh narayana,"",2015-08-23 16:48,Documents,"","",2015-09-05,"",0,2015-08-04 05:38,"","","",2.5.1,"Have two projects : Project1, Project2

Member1 assigned to Project1, Member2 assigned to Project2.

Member1 uploaded document, doc1 in one of the issue under Project1
Member2 uploaded document, doc2 in one of the issue under Project2

Member1 able to access doc2 !
https://<application.com>/requests_download/40924

Member2 able to access doc1 !
https://<application.com>/requests_download/40923

Found that anyone can access any document - document added in wiki page, file uploaded in an issue, documents added in ""Files"" module.

Please let us know how to fix this ?"
