#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
21374,Redmine,Defect,"",Closed,Normal,Redmine.org doesn't have a privacy policy,Cris Fuhrman,Jan Niggemann (redmine.org team member),2017-01-23 08:53,Website (redmine.org),"","","","",0,2015-11-27 21:07,2017-01-21 19:09,"","","","Per the recommendation of Toshi MARUYAMA in the forums, It seems there should be a privacy policy for a site that has user log-ins (profiles) and potentially collects information about its users. Read more at https://en.wikipedia.org/wiki/Privacy_policy

Secondly, I feel that email address should be by default hidden on the profiles. Email addresses are mostly considered confidential these days, especially when one signs up for an account somewhere. "
21345,Redmine,Defect,"",Closed,Normal,User ratings page link doesn't work (plugins),Etienne Massip,"",2017-06-02 07:36,Website (redmine.org),"","","","",0,2015-11-26 10:27,2017-06-02 07:36,次のチケットと重複 #19105,Duplicate,"","Clicking on the ratings count above the stars of a plugin's page doesn't scroll the page to the ??User ratings?? section.

Anchor seems to be missing."
21328,Redmine,Defect,"",Closed,Normal,pdf: Vietnamese Italic is not shown,Toshi MARUYAMA,"",2015-12-04 08:31,PDF export,2.6.9,"","","",0,2015-11-25 07:46,2015-12-04 08:31,"",Fixed,2.6.2,This is regression of r13984.
21312,Redmine,Patch,"",Closed,Normal,Fix exception in Redmine.pm when authenticating anonymous users,Holger Just,Jean-Philippe Lang,2015-12-04 13:49,SCM extra,2.6.9,"","","",0,2015-11-24 15:03,2015-12-04 13:49,"","","","The @is_member@ function in @Redmine.pm@ searches users which have the required permissions to access the repository. The used SQL however doesn't restrict the returned data to actual users but includes groups as well. This results in the following exception:

    [perl:error] [pid 29442] [client 127.0.0.1:49599] Use of uninitialized value $salt in concatenation (.) or string at /usr/share/perl5/Apache/Redmine.pm line 483.\n

If the user doesn't provide a login here, it defaults to an empty string in the query. Unfortunately, an empty login applies to both the Anonymous user as well as all groups. Thus, if there are any groups, this can result in multiple lines being returned as a SQL result set that do not belong to actual users.

The attached patch by ""Planio"":https://plan.io/redmine-hosting fixes the SQL query so that only actual users are queried here."
21311,Redmine,Defect,"",Needs feedback,Normal,Nothing happen when project in issue is changed.,Anixe Support,"",2015-11-24 13:38,Issues,"","","","",0,2015-11-24 13:17,"","","",3.1.2,If we are going to change project in issue there's nothing happen. Site is refreshing but project label is changed back to previuos. We think it's JavaScript fault. 
21299,Redmine,Defect,"",Closed,Normal,unable to view login page in localhost,suresh akhnoor,"",2015-11-23 13:18,Email notifications,"","","","",0,2015-11-23 12:45,2015-11-23 13:18,"",Invalid,3.1.1,"error:


We're sorry, but something went wrong.

We've been notified about this issue and we'll take a look at it shortly."
21294,Redmine,Defect,"",Closed,Normal,User Permissions,JD  Hulley,"",2015-11-23 09:23,"","","","","",0,2015-11-23 08:46,2015-11-23 09:23,"",Invalid,"","Hi,

I am new to Redmine and I have an issue with one user. All the users can login and view things according to their permissions except one. This user can login successfully but when he logs in he gets an internal error message, so this leads me to believe that something changed on his permissions. Does anyone have any advise on this?"
21292,Redmine,Defect,"",New,Normal,image in child wiki not show when exporting wik to pdf,Qing Li,"",2015-12-21 14:34,PDF export,"","","","",0,2015-11-21 15:04,"","","",3.1.1,"I have a wiki page  named Test_child_wiki_ which have an image withi syntax
<pre>
h1. Test child wiki 

====  child  content ====

!Selection_023.jpg!

====  child  content ====
</pre> 

every thing is ok when I exporting to pdf  ,  the pdf like this

!Selection_024.jpg!

and I have another wiki page  which including Test_child_wiki_ page like this

<pre>
h1. this is parent wiki page

===== parent page ======

{{include(Test_child_wiki_)}}

===== parent page ======
</pre>

but the image not show in this exporting pdf, the pdf like this:

!Selection_025.jpg!"
21287,Redmine,Defect,"",Closed,Normal,"Handle Net::OpenTimeout errors more cleanly (currently, gives Error 500)",Olivier Houdas,"",2015-11-21 07:55,Email notifications,"","","","",0,2015-11-20 17:59,2015-11-21 07:55,"",Invalid,3.1.1,"Steps:
1. Display an issue in Redmine
2. Edit it with a note so that Redmine sends a mail to at least one user, and before saving it, unplug the configured SMTP server
3. Save the changes
Results :
We end up with 
<pre>F, [2015-11-12T15:31:48.599086 #32243] FATAL -- : 
Net::OpenTimeout (execution expired):
  app/models/mailer.rb:455:in `deliver_mail'
  config/initializers/10-patches.rb:154:in `deliver'
  app/models/mailer.rb:95:in `block (2 levels) in deliver_issue_edit'
  app/models/issue.rb:909:in `block in each_notification'
  app/models/issue.rb:908:in `each'
  app/models/issue.rb:908:in `each_notification'
  app/models/mailer.rb:94:in `block in deliver_issue_edit'
  app/models/journal.rb:90:in `block in each_notification'
  app/models/journal.rb:88:in `each'
  app/models/journal.rb:88:in `each_notification'
  app/models/mailer.rb:93:in `deliver_issue_edit'
  app/models/journal.rb:302:in `send_notification'
  app/models/journal.rb:67:in `save'
  app/models/issue.rb:1623:in `create_journal'
  app/models/issue.rb:175:in `create_or_update'
  app/controllers/issues_controller.rb:489:in `block in save_issue_with_child_records'
  app/controllers/issues_controller.rb:477:in `save_issue_with_child_records'
  app/controllers/issues_controller.rb:187:in `update'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
</pre>
in the log

and the user gets an Error 500 page, and calls the admin.

It would be nicer to save the changes and flash an error that the mail could not be sent."
21282,Redmine,Patch,"",Closed,Normal,Remove left position from gantt issue tooltip,Felix Gliesche,Jean-Philippe Lang,2016-01-16 10:04,Gantt,3.3.0,"","","",0,2015-11-19 17:01,2016-01-16 10:04,"","","","On the gantt chart you see an issues details when you hover them within the diagramm. If the issues has a very short period set (that is due date minus start date) you cannot enter this tooltip because the hover state gets lost due to the short line in the chart. Therefore you cannot click on any link within this tooltip. 

This patch removes the left positioning in order to have the tooltip displayed independent from displayed period of the ticket."
