#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
18387,Redmine,Defect,"",Closed,Normal,In parent issue list we have all issues (not relevant to the project),Alexander Kholodniak,"",2014-11-19 17:07,"","","","","",0,2014-11-19 15:42,2014-11-19 16:14,"",Invalid,2.5.2,In parent issue list we have all issues (issues not relevant to the project). Will correct this bug? 
18383,Redmine,Defect,"",Closed,Normal,An error occurred while sending mail (undefined method `error' for :log:Symbol),Michael Kling,"",2014-11-22 10:41,Email notifications,"","","","",0,2014-11-19 12:31,2014-11-22 10:41,"","",2.4.3,"While sending a test mail the following error is displayed as a result in the settings Email notifications tab:
<pre>
An error occurred while sending mail (undefined method `error' for :log:Symbol)
</pre>

Still i receive the test mail.

I encountered this bug while customers complained about not receiving emails. Using debug log i could get the following informations:

Stack:
<pre>
NoMethodError (undefined method `error' for :log:Symbol):
  app/models/mailer.rb:430:in `deliver_mail'
  app/models/mailer.rb:86:in `block (2 levels) in deliver_issue_edit'
  app/models/issue.rb:826:in `each_notification'
  app/models/mailer.rb:85:in `block in deliver_issue_edit'
  app/models/journal.rb:77:in `block in each_notification'
  app/models/journal.rb:75:in `each'
  app/models/journal.rb:75:in `each_notification'
  app/models/mailer.rb:84:in `deliver_issue_edit'
  app/models/journal.rb:190:in `send_notification'
  app/models/journal.rb:54:in `save'
  app/models/issue.rb:1511:in `create_journal'
  app/models/issue.rb:165:in `create_or_update'
  app/controllers/issues_controller.rb:470:in `block in save_issue_with_child_records'
  app/controllers/issues_controller.rb:458:in `save_issue_with_child_records'
  app/controllers/issues_controller.rb:184:in `update'
</pre>

That is the super method of the mailer class (ActionMailer::deliver_mail) called at this line. 
In order to get more detailed informations i printed out the mail object given to the method and got this in the log - while updating the issue the customer complained about not receiving an email:

<pre>
Rendered mailer/_issue.html.erb (7.8ms)
Rendered mailer/issue_edit.html.erb within layouts/mailer (15.1ms)
Try to deliver:
#<Mail::Message:60142340, Multipart: true, Headers: <From: m***t@a***o.de>, <To: >, <Cc: >, <Bcc: [""s***h@i***i.com"", ""a***n@a***o.de"", ""t***a@a***o.de"", ""c***i@a***o.de"", ""M***e@a***o.de"", ""c***s@s***p.net"", ""e***a@i***i.com""]>, <Message-ID: <redmine.journal-89253.20141119103615.67eb855ef4d4ad2e@a***o.de>>, <References: <redmine.issue-11121.20141017201624@a***o.de>>, <Subject: [*** Support - Task #11121] create new redmine account for N***r>, <Mime-Version: 1.0>, <Content-Type: multipart/alternative; boundary=""--==_mimepart_546c72a06b7e0_1e6c33e4fc412591""; charset=UTF-8>, <X-Redmine-Project: i***u>, <X-Redmine-Issue-Id: 11121>, <X-Redmine-Issue-Author: s***h>, <X-Redmine-Issue-Assignee: Michael.Kling>, <X-Redmine-Sender: Michael.Kling>, <X-Mailer: Redmine>, <X-Redmine-Host: r***p.net>, <X-Redmine-Site: Project-Management>, <X-Auto-Response-Suppress: OOF>, <Auto-Submitted: auto-generated>, <List-Id: <m***o.de>>>
Email delivery error: undefined method `error' for :log:Symbol
</pre>
(i marked internal informations with *** )

From what i see the mail object looks good.

I tried to look into the actionmailer but my ruby knowledge isn't good enough to go further. 
The actionmailer installed is: /vendor/bundle/gems/actionmailer-3.2.17

Environment is:
<pre>
Environment:
  Redmine version                2.4.3.stable
  Ruby version                   1.9.3-p484 (2013-11-22) [x86_64-linux]
  Rails version                  3.2.17
  Environment                    production
  Database adapter               Mysql2
SCM:
  Git                            1.9.1
  Filesystem
Redmine plugins:
  redmine_auto_watchers          0.3.0
  redmine_backlogs               v1.0.6
  redmine_better_gantt_chart     0.9.0
  redmine_dmsf                   1.4.7 stable
  redmine_git_hosting            0.6.2
  redmine_graphs                 0.1.0
  redmine_hudson                 2.1.1
  redmine_lightbox               0.0.1
  redmine_merge_redmine          0.1.0
  redmine_monitoring_controlling 0.1.1
  redmine_private_wiki           0.2.2
  redmine_spent_time             2.4.0
</pre>

I tried different mail send options:
/config/configuration.yml

<pre>
default:
  # Outgoing emails configuration (see examples above)
  email_delivery:
    delivery_method: :smtp
    smtp_settings:
      address: 127.0.0.1
      port: 25
      domain: ascendro.de
      authentication: :login
      user_name: ""m***t@a***e""
      password: ""***""
      openssl_verify_mode: 'none'
</pre>

and 

<pre>
default:
  # Outgoing emails configuration (see examples above)
  email_delivery:
    delivery_method: :sendmail
</pre>

without any change.

As already said, i was able to receive the test mail but it is possible that this error appears while sending the first mail and other people will not receive an email anymore."
18376,Redmine,Defect,"",Closed,Normal,Encoding timelog_csv export utf-8,Lukyanchenko Roman,"",2014-11-21 05:41,"","","","","",0,2014-11-18 20:16,2014-11-21 05:41,"",Invalid,2.6.0,"Hi all

Problems export timelog csv format russian language. text is displayed: ""R?R?R ""S?R ? R?R?R ° S,RμR"" S?""

OS-Centos 6.6 

Environment:
  Redmine version                2.6.0.stable
  Ruby version                   2.1.5-p273 (2014-11-13) [x86_64-linux]
  Rails version                  3.2.19
  Environment                    production
  Database adapter               Mysql2


mysql> show variables like ""character_set_database"";
+------------------------+-------+
| Variable_name          | Value |
+------------------------+-------+
| character_set_database | utf8  |
+------------------------+-------+
1 row in set (0.00 sec)

mysql>

file ./config//locales/ru.yml  set general_csv_encoding: UTF-8


"
18374,Redmine,Defect,"",Closed,Normal,Incoming emails are truncating CRLF,Chris Smith,"",2015-06-15 23:22,Email receiving,"","","","",0,2014-11-18 16:00,2015-06-15 23:22,関連している #16962,Duplicate,2.2.3,"When sending an email to Redmine from Outlook 2013 running Exchange 2007 it appears that emails' line endings are being removed. Instead of this:

Email

Project: test

we are getting this:

EmailProject: test

Mail coming from Mail.app on the newest version of OS X, Outlook Web Access, etc. seems OK.

"
18357,Redmine,Patch,"",Closed,Normal,Improvement of column selection: allow to move multiple columns in selection list,Filou Centrinov,Jean-Philippe Lang,2014-11-22 11:45,Issues,2.6.1,"","","",0,2014-11-17 03:16,2014-11-22 11:45,"","","","This patch improves the column selection on the 'Issues'-page. This patch allows to move multiple columns up and down in the selection list, not only a single column."
18355,Redmine,Defect,"",New,Normal,Missing CSS class 'tabular',Filou Centrinov,"",2014-11-16 19:56,My page,"","","","",0,2014-11-16 16:10,"","","",2.6.0,"There is an inconsequence usage of class 'tabular' on /my/account. One fieldset has no 'tabular' class.

<pre>
<div class=""splitcontentleft"">
   <fieldset class=""box tabular"">
</div>
<div class=""splitcontentright"">
   <fieldset class=""box"">
   <fieldset class=""box tabular"">
</div>
</pre>

*Edit:* The same on the page ""New issue"". Not every fieldset has the class 'tabular'."
18349,Redmine,Defect,"",Closed,Normal,URL not rendered as a link when followed by a line break and another URL,Oleg Fedotkin,Jean-Philippe Lang,2014-11-22 11:41,Text formatting,2.6.1,"","","",0,2014-11-14 10:10,2014-11-22 11:41,次のチケットが重複 #13726,Fixed,2.3.1,"Hello.

I've encountered a problem, related to the redmine formatting. The thing is, that when I try to add issue description (or comment) with the following content:

Any text https://name.domain.com/issues/91243
http://name.domain.com/00boUr-6lA1oXahp/

The first link doesn't seem to appear like a link. It's just a plain text. As far as I can get it, this problem caused by a bug in the WikiFormatting auto_link! method. Speaking more precisely, I think that regex is not completely correct. So, is it really a bug or am I doing something wrong?

My version of redmine is 2.3.1.stable, Postgres 9.3.5, ruby 1.9.3 stable and rails 2.2.2. "
18346,Redmine,Defect,"",Closed,Normal,Extended Field Values that are nil produce an error,Ivo Steinmann,"",2014-11-14 01:31,Issues,"","","","",0,2014-11-14 01:22,2014-11-14 01:31,"",Invalid,2.6.0,"If an extended field is not used by a tracker but is enabled in the issue overview, then an error is produced because the value of that field is nil

I appended a possible patch as file


In File: lib/extended_queries_helper_patch.rb:

                 if !column.custom_field.respond_to?(:visible_by?) || column.custom_field.visible_by?(issue.project, User.current)
                     value = issue.custom_field_values.detect{ |value| value.custom_field_id == column.custom_field.id }
+                    if value.nil?
+                        return nil
+                    end
 
                     h(show_value(value))
                 else"
18343,Redmine,Defect,"",Closed,Normal,After a fresh install: Tracker (and so on) are translated in russian,fabrice salvaire,"",2014-11-13 17:38,"","","","","",0,2014-11-13 15:06,2014-11-13 16:52,"",Invalid,2.6.0,"I just installed a fresh 2.6.0 and I noticed tracker's names (and so on) are translated in russian (?), for example Помилка. However the interface is in english. I installed several times redmine and I don't understand what happens."
18332,Redmine,Defect,"",Closed,High,Error when displaying a news with comments in reverse order,Denis Savitskiy,Jean-Philippe Lang,2014-11-14 22:50,News,"","","","",0,2014-11-12 23:27,2014-11-14 22:05,"",Fixed,"","Extra bang after 
<pre>
@comments.reverse 
</pre> 
in news_controller.rb causes 500 error if no comments are present while
<pre>
User.current.wants_comments_in_reverse_order? == true
</pre>"
