#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
16302,Redmine,Defect,"",Closed,Normal,Custom Fields settings broken when removing a plugin,Darth Vader,"",2014-07-20 05:34,Custom fields,"","","","",0,2014-03-10 20:56,2014-03-15 12:27,"",Wont fix,2.5.0,"In the new custom fields implementation, if a plugin has its own type of custom field and a custom field was created, the custom field settings page fails to load:
<pre>
Completed 500 Internal Server Error in 123.0ms

ActiveRecord::SubclassNotFound (The single-table inheritance mechanism failed to locate the subclass: 'DmsfFileRevisionCustomField'. This error is raised because the column 'type' is reserved for storing the class in case of inheritance. Please rename this column if you didn't intend it to be used for storing the inheritance class or overwrite CustomField.inheritance_column to use another column for that information.):
  app/controllers/custom_fields_controller.rb:29:in `block (2 levels) in index'
  app/controllers/custom_fields_controller.rb:27:in `index'
</pre>"
16299,Redmine,Defect,"",Needs feedback,Normal,Custom Issue field is not saved while issue is created,Grzegorz Kuligowski,"",2015-07-01 19:55,"","","","","",0,2014-03-10 15:21,"",関連している #12377,Cant reproduce,2.4.3,"Steps to reproduce:
- Add custom field in ""Issue"" section (Administration->Custom Fields->Issues->New Custom Field). Assign this custom field to some project, for example ""TestPr""
- Go to ""TestPr"", click ""New issue""
- Fill the issue, fill created custom field
- Click ""Create""

Expected outcome:

The custom field has value equal to the filled one

Percieved outcome:

The custom field has no value (it is empty)

Additional information:

After issue is created I can click ""update"" and then I can edit and save this custom field without any problems.

Environment:
  Redmine version                2.4.3.stable
  Ruby version                   2.0.0-p353 (2013-11-22) [x86_64-linux]
  Rails version                  3.2.16
  Environment                    development
  Database adapter               Mysql2"
16291,Redmine,Patch,"",Closed,Normal,Japanese translation update (r12850),Go MAEDA,"",2014-03-12 02:54,Translations,2.5.1,"","","",0,2014-03-09 13:08,2014-03-12 02:54,"","","",Translated label_custom_field_select_type.
16270,Redmine,Defect,"",Closed,Normal,Patch not working as expected from #16161 in r12491,Daniele Pedroni,"",2016-12-25 10:15,Issues,"","","","",0,2014-03-07 14:34,2016-12-25 10:15,関連している #16161,Invalid,2.4.2,"Following #16161, I tried to apply the patch as per r12491 on my 2.4.2 installation, with no luck; then, without patching as seen at http://www.redmine.org/projects/redmine/repository/revisions/12941/diff/trunk/app/views/issues/_form.html.erb
but just disabling the ""read only"" attribute for the standard tracker, it works like a charm (but it's not a good solution, only a workaround).

Why shouldn't it work just adding that line in _form.html.erb? Is there something wrong with 2.4.2? I know new versions fix it, but I can't update now.

thank you
"
16269,Redmine,Defect,"",Closed,High,Cannot create/edit user and after create project (Clean install redmine 2.5.0),Evgenyt T,"",2014-03-11 10:11,Issues,"","","","",0,2014-03-07 13:48,2014-03-11 10:11,関連している #16194,"",2.5.0,"When i try to create or edit user in logs i see this error

*Create or edit user* 
ActionView::Template::Error (undefined method `name' for nil:NilClass):
    8:      ) %>
    9: </p>
    10: <%= content_tag 'div', :id => 'notified-projects', :style => (@user.mail_notification == 'selected' ? '' : 'display:none;') do %>
    11:   <%= render_project_nested_lists(@user.projects) do |project|
    12:         content_tag('label', 
    13:           check_box_tag(
    14:             'user[notified_project_ids][]',
  app/helpers/application_helper.rb:258:in `render_project_nested_lists'
  app/views/users/_mail_notifications.html.erb:11:in `block in _app_views_users__mail_notifications_html_erb__1432861849220235059_77293960'
  app/views/users/_mail_notifications.html.erb:10:in `_app_views_users__mail_notifications_html_erb__1432861849220235059_77293960'
  app/views/my/account.html.erb:38:in `block in _app_views_my_account_html_erb__831319395888243630_75167300'
  app/helpers/application_helper.rb:1041:in `labelled_form_for'
  app/views/my/account.html.erb:9:in `_app_views_my_account_html_erb__831319395888243630_75167300'


*After creating project or view created project*
ActionView::Template::Error (undefined method `name' for nil:NilClass):
    33: <% end %>
    34: 
    35: <div class=""contextual"">
    36: <% if @project.versions.any? %>
    37:   <%= link_to l(:label_close_versions), close_completed_project_versions_path(@project), :method => :put %>
    38: <% end %>
    39: </div>
  app/views/projects/settings/_versions.html.erb:36:in `_app_views_projects_settings__versions_html_erb__2649234823651506906_69378340'
  app/views/common/_tabs.html.erb:22:in `block in _app_views_common__tabs_html_erb___2836642143091689293_71560820'
  app/views/common/_tabs.html.erb:21:in `each'
  app/views/common/_tabs.html.erb:21:in `_app_views_common__tabs_html_erb___2836642143091689293_71560820'
  app/helpers/application_helper.rb:318:in `render_tabs'
  app/views/projects/settings.html.erb:3:in `_app_views_projects_settings_html_erb___1313679598545850120_71608080'


*VPS info*
ruby 2.2.0dev (2014-03-05 trunk 45273)
Rails 3.2.17
Postgres 9.3.3-1
Debian 7 wheezy
"
16268,Redmine,Defect,"",Closed,High,Cannot connect to Redmine,Felix Muster,"",2014-03-11 07:38,"","","","","",0,2014-03-07 11:36,2014-03-11 07:38,"",Invalid,2.5.0,"Hello,

I installed Redmine totally clear on a Test-System.

And since I did that, I've the ""Service Unavailable""-Message when I try to connect the page.

Before I installed Redmine:
- uninstalled all Plugins
- rolled back all Patches
- installed all necessary gems

...then I copied the new Redmine-Content excluding configuration.yml & database.yml.
But when I open my page I get the mentioned error.

apache_error.log gets that after every reload:
[Fri Mar 07 11:23:57.252137 2014] [proxy:error] [pid 2680:tid 1692] (OS 10061)Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.  : AH00957: HTTP: attempt to connect to 127.0.0.1:3002 (127.0.0.1) failed
[Fri Mar 07 11:23:57.252137 2014] [proxy:error] [pid 2680:tid 1692] AH00959: ap_proxy_connect_backend disabling worker for (127.0.0.1) for 60s
[Fri Mar 07 11:23:57.252137 2014] [proxy_http:error] [pid 2680:tid 1692] [client 10.1.100.6:61660] AH01114: HTTP: failed to make connection to backend: 127.0.0.1

Can someone tell me whats wrong?"
16261,Redmine,Defect,"",Closed,Normal,tasks by email,Alexander Bortsov,"",2014-03-14 14:30,Email receiving,"","","","",0,2014-03-06 20:34,2014-03-14 14:30,次のチケットと重複 #16122,Duplicate,2.5.0,"im using postfix. in /etc/aliases i have:

<pre>
shmel: ""|/home/rdm-mailhandler.rb --url http://mydomain --key XXXX --project shmel --tracker new_bill_acc --allow-override tracker,priority --unknown-user accept --default-group shmel""

</pre>

when i send mail to this mailbox, in postfix log^

<pre>
Mar  6 23:28:25 rt postfix/local[4362]: 899223853E: to=<shmel@mydomain>, relay=local, delay=517, delays=517/0.52/0/0.13, dsn=4.3.0, status=deferred (temporary failure. Command output: Failed to contact your Redmine server (500). )
</pre>

in redmine log:
<pre>
Started POST ""/mail_handler"" for 91.229.100.67 at Thu Mar 06 22:19:48 +0300 2014
Processing by MailHandlerController#index as HTML
  Parameters: {""no_notification""=>"""", ""key""=>""XXXX"", ""email""=>""From ab@mydomain  Thu Mar  6 23:19:48 2014\nReturn-Path: <ab@mydomain>\nX-Original-To: shmel@mydomain\nDelivered-To: shmel@mydomain\nReceived: from localhost (unknown [10.1.77.2])\n\tby mydomain (Postfix) with ESMTP id 899223853E\n\tfor <shmel@mydomain>; Thu,  6 Mar 2014 23:19:48 +0400 (MSK)\nFrom: ab@mydomain\nTo: shmel@mydomain\nReply-To: ab@mydomain\nSubject: shmel connect\nDate: Thu, 06 Mar 2014 23:19:48 +0400\nMIME-Version: 1.0\nContent-type: text/plain; charset=utf-8\nContent-transfer-encoding: 16bit\nX-Mailer: Script mailer\n\n1\n"", ""allow_override""=>""tracker,priority"", ""default_group""=>""shmel"", ""no_permission_check""=>"""", ""no_account_notice""=>"""", ""issue""=>{""tracker""=>""new_bill_acc"", ""project""=>""shmel""}, ""unknown_user""=>""accept""}
Completed 500 Internal Server Error in 29.5ms

NoMethodError (undefined method `decode' for nil:NilClass):
  app/models/mail_handler.rb:46:in `receive'
  app/controllers/mail_handler_controller.rb:25:in `index'

</pre>

my software:
<pre>
root@pm redmine]# ruby script/about

sh: svn: command not found
sh: darcs: command not found
sh: hg: command not found
sh: bzr: command not found
Environment:
  Redmine version                2.5.0.stable
  Ruby version                   1.8.7-p357 (2011-12-28) [i686-linux]
  Rails version                  3.2.17
  Environment                    production
  Database adapter               MySQL
SCM:
  Git                            1.7.10
  Filesystem
Redmine plugins:
  no plugin installed

</pre>
"
16260,Redmine,Defect,"",Closed,Normal,Add Subtask does not work correctly from tasks with Parent Task field disabled,Domingo Galdos,Jean-Philippe Lang,2017-03-08 22:23,Issues,3.4.0,"","","",0,2014-03-06 19:57,2017-03-08 22:23,"関連している #22345, 次のチケットが重複 #27008",Fixed,"","It's desirable sometimes to make a certain tracker designated for having child tasks only, but not having parents (a ""top level"" task)

Unfortunately, if you do this (by disabling ""parent"" field for the tracker the top-level task tracker) you lose the ability to usefully use the Add Subtask link for those issues. This is because Add Subtask currently defaults to the same tracker as the parent tracker for the child. Since the tracker does not allow the Parent task field, the linkage gets lost (even if the user manually selects another tracker -- which they will have to do anyway) and has to be re-added manually. This makes the Add Subtask link useless in this case, making it slightly less useful than just clicking New Issue.

A simple fix is to change how the default tracker is chosen after clicking Add Subtask. If the tracker that would have been chosen doesn't support being a subtask (no Parent task field) then pick another one.

The attached patch does this by sticking with the same tracker as current if it supports subtasking. If the same tracker doesn't, it picks the highest-priority (as in ORDER BY trackers.position) tracker enabled for that project that does support being a subtask.

This patch is based on 2.4.1.stable. If I am missing anything else needed to consider this patch for merging please let me know. Thanks!
"
16259,Redmine,Defect,"",Closed,Normal,Changing Tracker value on new issue form makes hidden fields appearing after hitting F5,druidPollux -,Jean-Philippe Lang,2014-03-29 15:36,Issues,2.5.1,"","","",0,2014-03-06 17:50,2014-03-29 15:36,"",Fixed,"","While creating a new issue, when changing the 'Tracker' value, the 'Status' field is shown (it should not), and all other fields that should be hidden (considering the selected tracker) are properly hidden.
After pressing F5 key, in order to refresh the page, the 'Status' field is hidden (as it should), but all other fields are appearing on the issue form, even the fields that should be hidden for the selected tracker."
16258,Redmine,Defect,"",Needs feedback,Normal,Testing redmine with plugins. Redmine::Plugin.clear looks suspicious.,Kirill  Smirnov,Jean-Philippe Lang,2014-03-21 10:17,Plugin API,"","","","",0,2014-03-06 16:17,"","","","","We add several plugins to redmine code base and start running tests. Since some plugins intentionally break vanilla redmine logic a couple of tests fails. It looks confusing.
To avoid that failures we patched redmine to skip tests if specific plugins are loaded. Unfortunately it does not work for functional tests, because of this piece of code: test/functional/admin_controller_test.rb:105
<pre>
  def test_no_plugins
    Redmine::Plugin.clear

    get :plugins
    assert_response :success
    assert_template 'plugins'
  end
</pre>

The method Redmine::Plugin.clear looks suspicious: it clears hash of installing plugins without really unloading them. Plugin is loaded but every other class believes it does not.

It is a defect or behaviour by design?"
