#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
15994,Redmine,Defect,"",Closed,Normal,Repository view does not obfuscate author emails,Jonas H,"",2014-02-24 05:44,SCM,"","","","",0,2014-01-29 19:36,2014-02-24 05:42,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #2624,Duplicate,"","Email addresses are shown in the repositories view, both in commit history as in graph_commits_per_author
Even though in the latter there is a comment (# Remove email adress in usernames) that this was intended to happen.

This applies to an svn repository, I have not verified others.

Affects latest version of repositories controller (2014-01-10)"
15991,Redmine,Defect,"",Closed,Normal,Problems adding new values to Status,Giuseppe Frangiamone,"",2014-01-31 08:50,Administration,"","","","",0,2014-01-29 16:13,2014-01-31 08:50,"","",2.4.2,"I can't activate more than five status to ""Issue statuses"".

New status, after the first five, results not active for all type of Issue (for all tracker's value)."
15990,Redmine,Defect,"",Closed,Urgent,Workflow>Field permissions >,dhaya nithi,"",2014-02-08 12:28,Issues workflow,"","","","",0,2014-01-29 10:20,2014-02-08 12:28,"",Invalid,2.3.1,"when i set for particular tracker as read only  for Standard fields (tracker) why its not showing any tracker when we try to create new issue?

actually its should not display only that particular tracker we made read only right ?"
15988,Redmine,Defect,"",Closed,Normal,Unexpected behaviour on issue fields for users that have multiple roles ,VD DV,Jean-Philippe Lang,2014-12-13 17:40,Issues workflow,3.0.0,"","","",0,2014-01-28 21:52,2014-12-13 17:40,"",Fixed,2.4.2,"To explain this possible defect let me explain this situation.
We have dozens of projects on which are defined mixed teams of users. We have defined roles for those projects&users. 
I will focus on just those facts that matters this issue:
- We have one role that enables users to view just documents and nothing else (lets name it DocViewer).
- We have another role that enables user to report an issue and nothing else (lets name it IssueReporter).
- We have user (User1) that have both roles on some project
- We have defined field restrictions on workflow for IssueReporter on some field. For example we want to force users that owns role IssueReporter to fill some data at custom field (lets name it SomeRequiredField). That was done through workflow for role IssueReporter (on all trackers) by setting Requred attribute on SomeRequredField.

So we expected that User1 will be forced to fill up SomeRequiredField, but it is not happening. User1 still can skip that required field. Reason for this is that the User1 has also role DocViewer. Please note that this role have not any specific workflow nor field restrictions defined.

_Conclusion:
It would be expected that roles that have not assigned permissions for adding or updating issues should not make any influence on field restrictions (and worflows also) in situations when user owns multiple roles._

"
15987,Redmine,Defect,"",Closed,Normal,Wrong search pagination,Daniel Felix,"",2014-04-04 09:22,Search engine,"","","","",0,2014-01-28 15:59,2014-04-04 09:22,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #16239,Duplicate,"","Hi team,

I've encountered some strange search result behaviour.

We're using SQL Server for our instance with the latest Ruby Release (2.1.0) But we've encountered the same behaviour earlier with the older Redmine Releases (2.2 to 2.5-devel).

For example:
Search as admin for ""test"". We're getting nearly 650 results. If I try to paginate next, everything seems to be ok, but in fact I'm not on page 2, instead I'm on the penultimate page (Pagecount -1). If I press next again, I'm on the last page of my 650 results.

This seems to be a bug. I can replicate it everytime. Even on fresh installs.

The next URL seems to give the resolution:
I searched today for ""test"", the next link has a strange offset:
/search?offset= *20130603084359* &q=test&utf8=%E2%9C%93"
15986,Redmine,Patch,"",New,Normal,Hook for REST API,Kirill Bezrukov (RedmineUP),"",2017-12-01 22:24,Plugin API,"","","","",0,2014-01-28 15:31,"",ä÷òAÇµÇƒÇ¢ÇÈ #26045,"","","Would be nice if issue (and other API objects) will have hooks for adding specific data to the API output.

<pre>
call_hook(:api_issue_show, :issue => @issue)
</pre>"
15985,Redmine,Defect,"",New,Low,Email address with non-ASCII character causes delivery error,Marc M.,"",2017-01-20 02:02,Email notifications,"","","","",0,2014-01-28 15:26,"",ä÷òAÇµÇƒÇ¢ÇÈ #28878,"",2.4.1,"I know that e-mailadresses with ""?"" are invalid in general, but you can enter them in redmine. That causes that any notification to a ticket which are related to the person with the ""?"" mail couldnt be send.

The ""to:"" mailadress in the maillog is something like ""to=<=?UTF-8?B?bWFyY2VsLnBsYcOfQGJ1cmctZ21iaC5kZQ==?=>"" for everyone who is related. 
-> No one will be notified."
15984,Redmine,Defect,"",Closed,Normal,Error register git repositories with script reposman.rb,Martin Llanos,"",2014-02-26 05:32,SCM,"","","","",0,2014-01-28 13:55,2014-02-26 05:32,"","",2.4.2,"|SCM|Git|
|Error|Error register git repositories with script reposman.rb, path incorrect|

<pre>
/opt/redmine/ruby/bin/ruby /opt/redmine/apps/redmine/htdocs/extra/svn/reposman.rb -r homero -s \
/opt/redmine/repository/git -o root -g daemon -c ""/opt/redmine/git/bin/git --bare init --shared "" \ 
-u /opt/redmine/repository/git --scm Git --key=1t0qso8YjDKRsY3vFJjL -v >> \ 
/opt/redmine/apache2/logs/reposman_git.log
</pre>

* Actually Redmine precise path as */local_path/repository/git* format, not *file:///local_patch/repository/git*

"
15983,Redmine,Defect,"",Closed,Normal,Project.activities returns different types depending on context,Massimo Rossello,Jean-Philippe Lang,2014-02-07 09:37,Code cleanup/refactoring,2.5.0,"","","",0,2014-01-28 12:17,2014-02-07 09:37,"",Fixed,"","Project.active_activities, Project.all_activities and, ultimately, Project.activities return:
* a database relation if the activities on the project are untouched (through TimeEntryActivity.shared.active)
* an Array if some activities are overridden (through Project.system_activities_and_project_overrides).

This makes any calling code unable to make further operations on the results, and leads to errors that are hard to understand."
15982,Redmine,Patch,"",New,Normal,Inconsitent wiki history functionaility,Daniel Felix,"",2014-02-07 10:31,Wiki,"","","","",0,2014-01-28 11:55,"","","","","Replace this source:trunk/app/views/wiki/history.html.erb#L25 line:
@<td class=""checkbox""><%= radio_button_tag('version_from', ver.version, (line_num==2), :id => ""cbto-#{line_num}"") if show_diff && (line_num > 1) %></td>@

with:
@<td class=""checkbox""><%= radio_button_tag('version_from', ver.version, (line_num==2), :id => ""cbto-#{line_num}"", :onclick => ""$('#cb-#{line_num-1}').attr('checked', true);"") if show_diff && (line_num > 1) %></td>@

This way the click behaviour on the second checkbox row (to) would be the same as on the first (from).

Best regards,
Daniel"
