#,ƒvƒƒWƒFƒNƒg,ƒgƒ‰ƒbƒJ[,eƒ`ƒPƒbƒg,ƒXƒe[ƒ^ƒX,—Dæ“x,‘è–¼,ì¬Ò,’S“–Ò,XV“ú,ƒJƒeƒSƒŠ,‘ÎÛƒo[ƒWƒ‡ƒ“,ŠJn“ú,Šú“ú,—\’èH”,i’»—¦,ì¬“ú,I—¹“ú,ŠÖ˜A‚·‚éƒ`ƒPƒbƒg,Resolution,Affected version,à–¾
25146,Redmine,Defect,"",Closed,Normal,Issue while modifying subproject configuration without the permission to create a subproject,Philippe Lotterie,"",2017-02-22 05:46,Project settings,"","","","",0,2017-02-21 19:47,2017-02-22 05:46,Ÿ‚Ìƒ`ƒPƒbƒg‚Æd•¡ #20282,Duplicate,3.0.4,"Hi,

When submitting changes for a subproject while the user doesn't have the permission to create a subproject, he gets an error telling that the value of the subproject field is not correct.
The permissions he has for the projects are Modify project and Manage members.
Of course granting Create subproject permission shows the subproject field in the configuration page and fixes this issue.

Thank you for this great software,

Best regards,

Philippe

<pre>
Environment:
  Redmine version                3.0.4.stable
  Ruby version                   2.1.5-p273 (2014-11-13) [i386-linux-gnu]
  Rails version                  4.2.3
  Environment                    production
  Database adapter               Mysql2 (mysqld  Ver 5.5.53-0+deb8u1 for debian-linux-gnu on i686 ((Debian)))
SCM:
  Subversion                     1.8.10
  Git                            2.1.4
  Filesystem                     
Redmine plugins:
  computed_custom_field          0.0.6
  menu_link                      1.0.0
  redmine_code_review            0.7.0
  redmine_default_custom_query   1.0.0
  redmine_knowledgebase          3.1.0
  redmine_stats                  0.0.3
</pre>"
25145,Redmine,Defect,"",Closed,Normal,Disable Autocomplete in redmine login page,ajeesh b,"",2017-02-22 01:57,UI,"","","","",0,2017-02-21 18:50,2017-02-22 01:57,Ÿ‚Ìƒ`ƒPƒbƒg‚Æd•¡ #4043,Duplicate,"","Hi I would like to disable autocomplete feature to disabled. Login user fields have the autocomplete feature enabled.
Worst Case Scenario
User login credentials could be stolen in specific scenarios. There is high change of retrieving valid accounts
when computers are shared between several users by double clicking the username field (""username"") in the
login pages. Once the attacker has a valid set of users, those can be used in brute force attacks."
25144,Redmine,Defect,"",Closed,Normal,Account Harvesting login issue,ajeesh b,"",2017-02-22 02:22,Accounts / authentication,"","","","",0,2017-02-21 18:44,2017-02-22 02:22,Ÿ‚Ìƒ`ƒPƒbƒg‚Æd•¡ #6254,Duplicate,"","Hi 

Can I change the ""Unknown user"" error message to something else in case of lost_password promt.

Dulicating my query:
1. Go to the application login page and click on the Lost Password link.
2. Type an in invalid email and click on the Submit button.
3. Finally you will get a message saying Unknown user. With message this you can setup a script to
distinguish valid accounts from the invalid ones.
Recommendation
An application should respond with a generic error message regardless of whether the user ID or password was
incorrect. It should also give no indication to the status of an existing account.
Send an authentication token to the users email in order to prompt the security questions.
"
25141,Redmine,Defect,"",New,Normal,Changing the scope and resetting the position of an acts_as_positioned object inserts it at the one-before-last position,Felix Sch?fer,"",2017-02-21 16:46,"","","","","",0,2017-02-21 16:46,"","","","","We have a model where objects should be appended to the list in the new scope when the list scope of the object is changed. We do this by setting the @self.position = nil@ before it is saved, unfortunately this inserts the object at the one-before-last position.

The following patch solves this problem:

<pre><code class=""diff"">
diff --git a/lib/redmine/acts/positioned.rb b/lib/redmine/acts/positioned.rb
index 75041fe38..d3959a335 100644
--- a/lib/redmine/acts/positioned.rb
+++ b/lib/redmine/acts/positioned.rb
@@ -67,7 +67,7 @@ module Redmine

         def set_default_position
           if position.nil?
-            self.position = position_scope.maximum(:position).to_i + (new_record? ? 1 : 0)
+            self.position = position_scope.maximum(:position).to_i + ((new_record? || position_scope_changed?) ? 1 : 0)
           end
         end

</code></pre>

This affects trunk."
25139,Redmine,Patch,"",New,Normal,"Project link on issues list, now redirects to project specific issues",Andrey Lobanov (RedSoft),"",2017-02-22 21:53,UI,"","","","",0,2017-02-21 14:17,"","","","","Project link on issues list, now redirects to projects/:project_id/issues instead of projects/:project_id
!link_to_project_issues.png!"
25138,Redmine,Defect,"",Closed,Normal,Redmine::I18nTest Fails,Stefan Rinkes,"",2017-02-21 14:38,"","","","","",0,2017-02-21 11:53,2017-02-21 12:05,"","",3.3.2,"I'm running in this reproducable test fail with Version redmine-3.3.2.tar.gz (md5: 8e403981dc3a19a42ee978f055be62ca)
This test doesn't fail with redmine-3.3.0

<pre>
  1) Error:
Redmine::I18nTest#test_languages_options_should_ignore_locales_without_general_lang_name_key:
I18n::InvalidLocale: ""foo"" is not a valid locale
    lib/redmine/i18n.rb:58:in `ll'
    lib/redmine/i18n.rb:110:in `block in languages_options'
    lib/redmine/i18n.rb:110:in `map'
    lib/redmine/i18n.rb:110:in `languages_options'
    test/unit/lib/redmine/i18n_test.rb:203:in `test_languages_options_should_ignore_locales_without_general_lang_name_key'
</pre>

I suspect it has something to do with the rails update from 3.3.0 (rails 4.2.6) and 3.3.2 (rails 4.2.7.1)
"
25137,Redmine,Defect,"",Closed,Normal,"Assigning a parent in issue properties does not work (Error ""Parent task is invalid"") although the Parent exists",Astrid Krafczyk-Kralitschka,"",2017-03-14 09:41,Issues,"","","","",0,2017-02-21 10:39,2017-03-04 04:47,Ÿ‚Ìƒ`ƒPƒbƒg‚Æd•¡ #13654,Duplicate,3.1.3,"Affected Version is 3.1.6stable 15842 (version is not in the drop-down..)

The parent issue definitely exists. Another issue is assigned as subtask but the other subtask has been added via the parent (create subtaks)

The second Issue has been created as the normal issue. After saving I wanted to add parent issue via the properties...and that failed (see attached screenshot)
"
25130,Redmine,Defect,"",New,Normal,support of agglutinative languages like Hungarian/Magyar,Greg T,"",2017-03-23 10:34,Translations,"","","","",0,2017-02-20 13:26,"",ŠÖ˜A‚µ‚Ä‚¢‚é #25402,"","","I tried to fix hu.yml, but the time related strings are used in to many contexts incompatibly, so even subtle/clumsy rewording can't help in all cases. We don't use plural form after numbers greater than one, but we use other forms for different expressions.

E.g. _hour_ is _?ra_ in Magyar;
[point in time] _x hour(s) ago_ is _x ?r?ja_ or _x ?r?val ezel?tt_;
[present perfect continuous] _for x hour(s)_ is _x ?r?ja_;
[past, future or undetermined tense] _for x hour(s)_ is _x ?r?ig_ or _x ?r?n_ ?t.

Label_added_time_by needs point in time (and optional non-relative times, but that's a different issue, although a possible workaround);
while e.g. setting_session_lifetime needs _?ra_ without agglutination.

Filters:
label_between: _between x [and] y_ should be _x ?s y k?z?tt_;
day related filters are somewhat clumsy in English, too (e.g. _less than days ago ... days_), but I could improve it in Magyar: ""label_less_than_ago: nem r?gebbi, mint"" meaning _not older than_, but it must be followed by _x nap_ (base word of day), not _x napja_ (point in time);
label_in_the_past_days: needs to be followed by _napban_ (base word of day + _in_ postfix), etc."
25126,Redmine,Defect,"",Closed,High,How to install redmine 3.3 version on centos7 ,Rohit Nikharge,"",2017-02-21 03:08,Documentation,"","","","",0,2017-02-20 04:33,2017-02-21 03:08,"",Invalid,3.1.3,"Hi Team,


How to Setup  redmine 3.3 version on centos7,i need to full installation step with supporting software and with version  "
25118,Redmine,Defect,"",Closed,Normal,ThemesTest#test_without_theme_js may fail if third-party theme is installed,Go MAEDA,Jean-Philippe Lang,2017-03-02 19:20,Themes,3.4.0,"","","",0,2017-02-18 09:15,2017-03-02 19:20,"",Fixed,"","test/unit/lib/redmine/themes_test.rb may fail if third party theme which has javascripts/theme.js is installed.

<pre>
  1) Failure:
ThemesTest#test_without_theme_js [test//integration/lib/redmine/themes_test.rb:43]:
Expected exactly 0 elements matching ""script[src^=""/themes/redminecrm/javascripts/theme.js""]"", found 1..
Expected: 0
  Actual: 1
</pre>

This issue can be fixed by the following patch:

<pre><code class=""diff"">
Index: test/integration/lib/redmine/themes_test.rb
===================================================================
--- test/integration/lib/redmine/themes_test.rb	(revision 16332)
+++ test/integration/lib/redmine/themes_test.rb	(working copy)
@@ -37,6 +37,8 @@
   end

   def test_without_theme_js
+    # simulate a state theme.js does not exists
+    @theme.javascripts.clear
     get '/'

     assert_response :success
</code></pre>
"
25116,Redmine,Defect,"",Needs feedback,Normal,"redmine:email:receive_imap ""attachments is invalid"" At outlook file attach",Daniel Drexlmaier,"",2017-02-17 18:35,Email receiving,"","","","",0,2017-02-17 17:11,"","","",3.3.2,"
Error:
<pre>
MailHandler: Validation failed: attachments is invalid
  Rendered mailer/_issue.text.erb (4.4ms)
  Rendered mailer/issue_add.text.erb within layouts/mailer (9.1ms)
  Rendered mailer/_issue.html.erb (4.9ms)
  Rendered mailer/issue_add.html.erb within layouts/mailer (6.4ms)
</pre>


Reproduce:

Server: Exchange
Client: Outlook 2016

Reproduce:
E-mail forward the e-mail as an attachment in the e-mail.
"
25115,Redmine,Patch,"",Closed,Normal,Support upload of empty files and fix invalid API response,Jens Kr?mer,Jean-Philippe Lang,2017-02-28 21:00,Attachments,3.3.3,"","","",0,2017-02-17 15:25,2017-02-28 21:00,ŠÖ˜A‚µ‚Ä‚¢‚é #5969,"","","When Uploading an empty file through the REST API (POST to /uploads.json), the response is 201 Created, and an invalid token (which that does not resolve to an attachment through @Attachment.find_by_token@ because it lacks the digest component) is returned. However an attachment record is still saved, but without a corresponding file in the file system.

When looking into this I found that the easiest fix for this would be to change the two conditionals in attachment.rb that prevent an empty file from being treated like any non-empty file. I don't see any technical reason to not allow the uploading of empty files, and my change doesn't seem to cause any of the existing tests to fail.

Attached is a patch which does that, including a test case illustrating the inconsistent API behavior I described above."
25114,Redmine,Patch,"",Needs feedback,Normal,Context menu positioning inside positioned DOM elements,Serge Galanin,"",2017-10-16 17:14,UI,Candidate for next minor release,"","","",0,2017-02-17 14:23,"","","","","In my theme the #content element is positioned relatively. It leads to an incorrect positioning of the context menu wich living inside the #content. A most simple fix is to bubble the context menu up to the top of DOM. Can we use this way?

Patch based on r16333."
25109,Redmine,Defect,"",Closed,Normal,Installation Redmine 3.2 issue ,yy wong,"",2017-03-12 01:09,"","","","","",0,2017-02-17 09:32,2017-02-17 10:19,"",Invalid,"","Hi All,

I have tested below command :
RAILS_ENV=production bundle exec rake db:migrate 


and errors:

(in /var/www/redmine)
/usr/local/lib/ruby/gems/2.4.0/gems/htmlentities-4.3.1/lib/htmlentities/mappings/expanded.rb:465: warning: key ""inodot"" is duplicated and overwritten on line 466
/usr/local/lib/ruby/gems/2.4.0/gems/thread_safe-0.3.5/lib/thread_safe/cache.rb:155: warning: constant ::Fixnum is deprecated
/usr/local/lib/ruby/gems/2.4.0/gems/activesupport-4.2.7.1/lib/active_support/core_ext/numeric/conversions.rb:121: warning: constant ::Fixnum is deprecated
/usr/local/lib/ruby/gems/2.4.0/gems/activesupport-4.2.7.1/lib/active_support/core_ext/numeric/conversions.rb:121: warning: constant ::Bignum is deprecated
rake aborted!
SystemStackError: stack level too deep
/var/www/redmine/config/environment.rb:14:in `<top (required)>'
/usr/local/bin/bundle:22:in `load'
/usr/local/bin/bundle:22:in `<main>'
Tasks: TOP => db:migrate => environment
(See full trace by running task with --trace)

Solution tested: 1. uninstall rake and reinstall again. it still failed.

Please kindly advices. Thank you"
25106,Redmine,Defect,"",Confirmed,Normal,"""Spent time"" in all issues, show as 0 with no permission",Sergiy Melnychuk,"",2017-03-16 13:17,Time tracking,"","","","",0,2017-02-16 13:21,"","","",3.3.1,"*Step 1*: Create role ""Clients"" with those Permissions

Path: Administration -> Roles and permissions (Roles) -> New role

I`m uncheck all checkboxes on ""Time tracking"" area

!{width:100px}roles_permissions.png!

to see on full size picture press ""this""

*Step 2*: I`m add User to Test Project with this Role

Path: Projects -> Test Project -> Settings -> Members tab

!projects_test_settings_members.png!

*Step 3*: Go to my issues list in my Test project, and see this

Path: Projects -> Test Project -> Issues

!project_tasks.png!

Its all right, i`m dont see ""Spent time""

*Step 4*: Go to Path: Projects -> View all issues 

Expected:  I Shoud not see the column ""Spent time"" and the values in it. Column ""Spent time"" is hidden
Actual: I can see ""Spent time"" column and values in it

!issues.png!"
25077,Redmine,Defect,"",Closed,Normal,Issue description filter's 'none' operator does not match issues with blank descriptions,Mischa The Evil,Jean-Philippe Lang,2017-06-29 21:57,Issues filter,3.4.0,"","","",0,2017-02-15 09:57,2017-03-07 18:51,ŠÖ˜A‚µ‚Ä‚¢‚é #1159,Fixed,"","Use of the issue description filter with the 'none' operator always returns nothing as it does not include issues with blank descriptions. I think most users expect that issues with blank descriptions are going to be matched when using the filter with the 'none' operator, as such the actual results may be unexpected.

Currently, the 'none' operator only matches issues that are assigned to trackers that have the description field disabled (which is not yet possible with the core, see #25052).
"
25076,Redmine,Defect,"",Closed,Normal,How is the session time out configured in Redmine ,Babu J,"",2017-02-15 08:39,"","","","","",0,2017-02-15 08:24,2017-02-15 08:39,"",Invalid,"",How is the session time out configured in Redmine .Meanwhile what is the default session timeout for Redmine.
25068,Redmine,Patch,"",New,Normal,Versions show page summary moved to sidebar,Andrey Lobanov (RedSoft),"",2017-02-15 12:55,UI,"","","","",0,2017-02-14 14:23,"","","","","Also issues list wrapped in box.
!ver_sum.png!"
25066,Redmine,Patch,"",New,Normal,"Sort order with null placement (NULLS FIRST, NULLS LAST)",Andrey Lobanov (RedSoft),"",2017-11-17 09:37,Issues filter,"","","","",0,2017-02-14 13:05,"",ŠÖ˜A‚µ‚Ä‚¢‚é #6034,"","","Added ability to sort with null placement. Sometimes it's very useful.
Tested on sqlite3, mysql, firebird, postgres."
25064,Redmine,Defect,"",Closed,Normal,Issue description edit link corrupted in low resolution,Vasili Korol,Jean-Philippe Lang,2017-06-07 21:37,UI - Responsive,3.3.4,"","","",0,2017-02-14 10:20,2017-06-07 21:37,"",Fixed,3.2.4,"When editing an issue in a low resolution (width < 900px), the ""Edit"" link loses it's icon and is truncated to ""dit"" (see image)

<pre>
Environment:
  Redmine version                3.2.4.stable
  Ruby version                   2.0.0-p384 (2014-01-12) [x86_64-linux-gnu]
  Rails version                  4.2.7.1
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.9.1
  Filesystem                     
Redmine plugins:
  advanced_roadmap_v2            2.4.2
</pre>

!redmine-error.jpg!
"
25056,Redmine,Defect,"",Closed,Normal,Parent task issue,Steve Zhou,"",2017-02-15 07:15,Issues,"","","","",0,2017-02-13 03:48,2017-02-13 10:53,Ÿ‚Ìƒ`ƒPƒbƒg‚Æd•¡ #6687,Duplicate,3.3.2,"Hi,

We found a ""Parent task"" issue by our user, please refer to the attachment.
"
25055,Redmine,Patch,"",Closed,Normal,Filter out current issue from the related issues autocomplete,Marius BALTEANU,Jean-Philippe Lang,2017-03-02 20:43,Issues,3.4.0,"","","",0,2017-02-12 16:20,2017-03-02 20:43,"","","","Related to #24877.

Filter out the current issue (from which the search is made) from the issues proposed by related issues autocomplete.  "
