#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
14269,Redmine,Defect,"",New,Urgent,custom field not displayed but not in read  only,Aur?lien M,"",2013-06-12 18:30,Issues workflow,"","","","",0,2013-06-12 18:30,"","","",2.3.1,"I have different group.
For group1 I display a the custom_field1once the status change to status2
For group2 I display a the custom_field1once the status change to status2

One I'm logged as group1 I can see that custom field, but if I'm logged as group2 I cannot see that field.
I'm wondering why this is happening as they have the same fields permissions.

I have also noticed that updating fields permissions for group2 is not taken into account"
14265,Redmine,Defect,"",Closed,High,Calendar view for Croatian localization is not correct. Name of days are shifted one day in advance.,VD DV,"",2013-06-12 14:18,Translations,"","","","",0,2013-06-12 12:37,2013-06-12 14:18,関連している #13931,Duplicate,2.3.0,"Calendar view for Croatian localization is not correct.
Day names are shifted one day in advance."
14261,Redmine,Defect,"",Closed,High,Why I can't reply my posts at redmine.org?!,Muhammad Bashir Al-Noimi,Jean-Philippe Lang,2014-03-13 22:06,Website (redmine.org),"","","","",0,2013-06-12 05:29,2014-03-13 22:06,"",Wont fix,"","Whenever I tried to reply ""my forum's post"":http://www.redmine.org/boards/2/topics/38222 redmine gives me error message that I'm spammer!!!

!http://i.share.pho.to/1c349390_o.png!"
14259,Redmine,Defect,"",New,Normal,sub project show position problem,j ronald,"",2013-06-15 18:15,"","","","","",0,2013-06-12 04:10,"","","",2.3.1,"I have 2 problems:

1 In ""My Page"" view, sub project and its parent project shows in the same level, so I have to give a full name for the sub project, because it has lost its context here.
2 In ""Issues"" view, if a project have multiple sub project, some sub projects show in the same level as its parent project, while some not, and what is more confusing, for example, if I changed something in the sub project, say New -> Resolved, the level changes, say parent level -> child level.

Is it by design or a bug?"
14252,Redmine,Patch,"",Closed,Normal,Bulgarian translation (11950),Ivan Cenov,"",2013-06-11 09:58,Translations,"","","","",0,2013-06-11 07:20,2013-06-11 09:58,"","","","Translated:
* notice_account_register_done
* notice_account_not_activated_yet
* notice_account_locked"
14251,Redmine,Defect,"",New,Urgent,Redmine email reminders sending 4 emails everytime cron runs,Diego Antunes,"",2013-06-25 14:37,Email notifications,"","","","",0,2013-06-11 03:48,"","","",2.3.1,"Hi, this is my environment
Environment:
  Redmine version                          2.3.1.stable
  Ruby version                             1.9.3 (x86_64-linux)
  Rails version                            3.2.13
  Environment                              production
  Database adapter                         Mysql2

Centos 6.3 (Final)

My Cron
 */5 * * * * . /var/www/html/redmine/redmine_fetch_imap //works fine
 0 7 * * mon,tue,wed,thu,fri .  /var/www/html/redmine/redmine_send_reminders > /var/www/html/redmine/reminders.log 2>&1 this one sends 4 emails each time it runs (or runs 4 times?)

Anyone having this issue?
"
14246,Redmine,Defect,"",Closed,Normal,Textfield and dropdown selector dissapears in firefox on Mac OS X,Nagaraja Sathe,"",2013-06-10 12:31,UI,"","","","",0,2013-06-10 11:57,2013-06-10 12:31,次のチケットと重複 #14031,Duplicate,2.3.0,Textfield and dropdown selector dissapears upon mouseover/selection on redmine2.3.0 in firefox Mac OS X 10.8.2
14245,Redmine,Defect,"",Closed,Normal,Gem::InstallError: nokogiri requires Ruby version >= 1.9.2.,Toshi MARUYAMA,"",2013-06-14 05:59,Gems support,2.3.2,"","","",0,2013-06-10 10:21,2013-06-14 05:59,"",Fixed,2.3.1,"<pre>
An error occurred while installing nokogiri (1.6.0), and Bundler cannot continue.
Make sure that `gem install nokogiri -v '1.6.0'` succeeds before bundling.
</pre>"
14242,Redmine,Defect,"",Closed,Normal,Project auto generation fails when projects created in the same time,Toshi MARUYAMA,"",2013-07-11 20:34,Projects,2.3.2,"","","",90,2013-06-08 11:46,2013-07-11 20:34,"",Fixed,2.3.1,https://github.com/edavis10/redmine/pull/59
14239,Redmine,Defect,"",Closed,Normal,Error 403 when trying to edit custom query,Filou Centrinov,"",2018-04-29 07:52,Issues,"","","","",0,2013-06-08 02:17,2018-04-29 07:52,"関連している #17669, 関連している #28264",Fixed,2.3.1,"I get an error 403 when I try to edit a custom query. How to reproduce:

1) login as admin 
2) create a custom query
3) query settings: ""Public"" + ""For all projects""
4)  save query

5) login as non admin user and manager of a project
6) edit the custom query. You will get an error 403 with warning ""You are not authorized to access this page.""

Tested on Redmine 2.3.1.stable.11941, no plugins."
14235,Redmine,Defect,"",Closed,Normal,Redmine 2.0 wiki is too slowly,xilong pei,"",2015-08-23 17:14,Wiki,"","","","",0,2013-06-07 10:06,2015-08-23 17:14,"",Invalid,2.0.3,"When there are a little more content in wiki, like this page http://elastos.org/redmine/projects/elastos-core/wiki/Java_car , the wiki is too slowly."
14225,Redmine,Defect,"",Closed,Normal,"locale string ""error_session_expired"" does not work",Terence Mill,"",2013-06-07 15:37,Translations,"","","","",0,2013-06-06 09:02,2013-06-07 15:37,"",Invalid,2.3.1,"If i login and let the session expire i get an error message label on login mask (see screener) which look like missing english translation. However i found the string in confige/locales/en.yml also in my native language i have after login.
!Zwischenablage01.jpg!"
14224,Redmine,Patch,"",Closed,Normal,Japanese translation update (r11926),Go MAEDA,"",2013-06-06 07:40,Translations,"","","","",0,2013-06-06 04:51,2013-06-06 07:40,"","","",Translated @earlier_than_minimum_start_date@ and improved some messages.
14223,Redmine,Patch,"",Closed,Normal,Fix icon transparency issues,W Snyder,"",2013-06-06 10:37,UI,2.4.0,"","","",0,2013-06-06 04:25,2013-06-06 10:37,"","","","Most of the icons in the public/images directory correctly have alpha channels - thanks folks.

Three do not, which messes up the visuals if a site background is not pure white.  The three attached files fix this - and will look the same if the background is the same default white.

Thanks.
"
