#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
27673,Redmine,Defect,"",Closed,Normal,Watchers cannot see issue with restricted issue visibility,Jess Nielsen,"",2017-11-29 11:53,Issues permissions,"","","","",0,2017-11-29 11:05,2017-11-29 11:53,次のチケットと重複 #9330,Duplicate,3.2.1,"People added as watchers cannot see the respective issue 
when ""Issues visibility"" is set to ""Issues created by or assigned to the user"" 
for the role they belong to.

This is very annoying, please up-prioritize it."
27671,Redmine,Patch,"",Closed,Normal,Use reverse_each instead of reverse.each for better performance,Go MAEDA,Go MAEDA,2017-12-31 02:35,Performance,4.0.0,"","","",0,2017-11-29 03:24,2017-12-31 02:35,"","","","Array#reverse_each is faster than Array#reverse.each because reverse_each does not create an intermediate array.

Pull request https://github.com/redmine/redmine/pull/84 by Timur Tarasenko."
27670,Redmine,Patch,"",Closed,Normal,Fix typo in configuration.yml.example,Go MAEDA,Go MAEDA,2017-11-29 09:17,Code cleanup/refactoring,4.0.0,"","","",0,2017-11-29 00:38,2017-11-29 09:17,"","","","Pull request https://github.com/redmine/redmine/pull/61/files by Kosta Harlan.

<pre><code class=""diff"">
Index: config/configuration.yml.example
===================================================================
--- config/configuration.yml.example	(revision 17048)
+++ config/configuration.yml.example	(working copy)
@@ -1,6 +1,6 @@
 # = Redmine configuration file
 #
-# Each environment has it's own configuration options.  If you are only
+# Each environment has its own configuration options.  If you are only
 # running in production, only the production block needs to be configured.
 # Environment specific configuration options override the default ones.
 #
</code></pre>"
27663,Redmine,Patch,"",Closed,Normal,Same relates relation can be created twice,Gregor Schmidt,Go MAEDA,2017-12-06 14:32,Issues,3.3.6,"","","",0,2017-11-28 10:23,2017-12-06 14:28,"","","","By switching from and to, it is possible to create the same relates relation twice. Within the Redmine UI, those relations look like duplicates.

For all other relationship types it's not allowed to create duplicates, so I assume that this is a bug. Attached you may find a proposed fix. It adds a validation to make sure, that reverse relations are detected. It also orders the from and to IDs to ensure, that even during concurrent access, the duplicates are detected on DB level."
27659,Redmine,Patch,"",New,Normal,redmine_plugin_model_generator improvements(fixes and timestamps),Javier Men?ndez Rizo,"",2017-12-27 18:28,"","","","","",0,2017-11-27 22:11,"",関連している #11024,"","","Problems fixed:
* parent option not working
* migration option not working

Things added:
* Timestamp for migrations

It would be really nice to add this to the migration generator for plugins.

"
27658,Redmine,Defect,"",New,Low,Git merge-graph does not respect first parent,Joshua Judson Rosen,"",2017-11-28 04:31,SCM,"","","","",0,2017-11-27 20:55,"","","",3.3.1,"The git DAG Mainly that the DAG always seems to be oriented backward:
?The revisions that ""git log --graph"" and gitk/qgit/etc. display as the left-hand side is on the right (what git calls the ""first parent"" is drawn as the `last parent'), and so all of the merges appear to be inverted."
27649,Redmine,Patch,"",Closed,Normal,Spanish/Panama translation update (jstoolbar-es-pa.js),Go MAEDA,Go MAEDA,2017-12-11 05:15,Translations,3.3.6,"","","",0,2017-11-27 16:12,2017-11-27 16:27,コピー元 #27642,"","","References: #27642, #27642#note-2:

<pre><code class=""diff"">
Index: public/javascripts/jstoolbar/lang/jstoolbar-es-pa.js
===================================================================
--- public/javascripts/jstoolbar/lang/jstoolbar-es-pa.js	(revision 17044)
+++ public/javascripts/jstoolbar/lang/jstoolbar-es-pa.js	(working copy)
@@ -7,7 +7,7 @@
 jsToolBar.strings['Heading 1'] = 'Encabezado 1';
 jsToolBar.strings['Heading 2'] = 'Encabezado 2';
 jsToolBar.strings['Heading 3'] = 'Encabezado 3';
-jsToolBar.strings['Highlighted code'] = 'Highlighted code';
+jsToolBar.strings['Highlighted code'] = 'C?digo resaltado';
 jsToolBar.strings['Unordered list'] = 'Lista sin ordenar';
 jsToolBar.strings['Ordered list'] = 'Lista ordenada';
 jsToolBar.strings['Quote'] = 'Citar';
</code></pre>
"
27642,Redmine,Patch,"",Closed,Normal,Spanish translation update (jstoolbar-es.js),Javier Men?ndez Rizo,Go MAEDA,2017-11-27 16:02,Translations,3.3.6,"","","",0,2017-11-24 17:41,2017-11-27 16:02,コピー先 #27649,"","",Highlighted code translation to Spanish in jstoolbar-es.js
27636,Redmine,Defect,"",Closed,Normal,Redmine does not redirect to initial project page after bulk editing issues in different sub-projects.,Stephane Evr,"",2017-11-25 06:31,Issues,"","","","",0,2017-11-24 12:43,2017-11-25 06:31,次のチケットと重複 #23963,Duplicate,3.4.2,"After bulk editing 2 issues which are located in 2 different sub-projects of the current project, we are being redirected to the general issues page instead of being redirected to the initial project where the bulk edit occured.

Steps to Reproduce:

* Build this hierarchy:
<pre>
Project A
  |
  - Project A1
  |   |
  |   - Issue 1
  - Project A2
  |   |
  |   - Issue 2
</pre>

* Navigate to /projects/project_a/issues page
* Select Issues 1 and 2
* Right click
* Bulk edit
* Add a note
* Save


* Expected: Save is successful, we are redirected back to */projects/project_a/issues* page
* Actual: Save is successful, we are redirected back to */issues* page"
27634,Redmine,Defect,"",Closed,Normal,The redmime product plugin cant work on TOP Menu in V3.4.3,howie.woo woo,"",2017-11-24 02:51,"","","","","",0,2017-11-24 02:46,2017-11-24 02:51,"",Invalid,3.4.3,"When I set the redmine product plugin，it doesn't work on TOP Menu in V3.4.3，but it work in V3.3.5？
Please see the attached picture."
27625,Redmine,Patch,"",New,High,Increase size of name for role name,Aleksandar Pavic visit redminecookbook.com,"",2017-12-16 12:10,Code cleanup/refactoring,4.1.0,"","","",0,2017-11-23 11:19,"","","","","It is limited in model of Role, at line 84
<pre>
  validates_length_of :name, :maximum => 30
</pre>


Attached is a patch, increasing it to 255, however I wouldn't limit it at all.

Also migration is added here.
"
27622,Redmine,Defect,"",New,Normal,"When disabling notes for a role, file upload disapperas too at issue update",Kl?ra Szab?,"",2017-12-10 04:54,Issues,"","","","",0,2017-11-23 09:12,"","","",3.4.3,"When the ""Add notes"" possibility for a role is disabled, the user with that role can't upload file when editing an issue.
This problem is not present when a new issue is made, the file upload module is visible and working, this problem occurs only when an existing issue is edited (and any kind of adding or editing note function is disabled). View and manage files option is enabled.

I noticed this problem in Redmine version 3.4.3, 3.4.2, and 3.3.2.

Is there a setting which i miss? (looked up the problem here in redmine and google, but could not find anything) Is there a guick fix solution, which i can use until it is resolved (if it is really a defect)?

Thanks for a response in advance."
27620,Redmine,Patch,"",Closed,Normal,Brazilian translation update,Patrick Kaminski,"",2017-12-21 18:15,Translations,3.4.4,"","","",0,2017-11-23 00:40,2017-12-21 18:15,"","","","Hello everyone!

I'm sending 4 files (yml and patches) with updates for the Brazilian Portuguese translation...

h2. New texts

Lines 1219-1250 (trunk) translated

h2. Adjusted

Fixed 20 typos and grammar errors:

* cant_link_an_issue_with_a_descendant
* field_parent
* setting_sys_api_enabled
* setting_issue_list_default_columns
* label_boolean
* label_version_sharing_descendants
* label_api_access_key
* label_api_access_key_created_on
* notice_api_access_key_reseted
* setting_rest_api_enabled
* label_missing_api_access_key
* label_user_mail_option_only_my_events
* label_search_for_watchers
* setting_session_lifetime
* setting_session_timeout
* setting_link_copied_issue
* label_link_copied_issue
* error_invalid_csv_file_or_settings
* label_file_content_preview
* label_default_values_for_new_users

*Versions:* Trunk and 3.4.3"
27609,Redmine,Defect,"",Closed,Low,The requested URL /redmine was not found on this server.,muralidharan h,"",2017-11-22 14:13,"","","","","",0,2017-11-22 06:53,2017-11-22 14:13,"",Invalid,"","hi Team,


After  installing successfully redmine .  the page is not loading  
"
27599,Redmine,Defect,"",Closed,Normal,symbols in redmine ticket,ajeesh b,"",2017-11-22 15:30,"","","","","",0,2017-11-20 20:11,2017-11-22 15:30,"",Duplicate,"","
The text contains symbols that Redmine does not allow/recognize. If I am using any special symbol redmine will not allow me to update instead of it will show an Internal server error. How can I disable this error and disabling this feature will cause any security issues?. I am using Redmine 3.3.1.stable"
27589,Redmine,Patch,"",New,Normal,Request for a hook under the project members list (Project / Settings / Members tab),Jens Kr?mer,"",2017-11-20 12:51,Hook requests,"","","","",0,2017-11-20 12:51,"","","","",This patch adds a @view_projects_settings_members_bottom@ hook under the members list in projects settings.
27586,Redmine,Defect,"",Closed,Normal,"""Uncheck all"" icon at the upper left corner in workflow status transitions page is not working",Go MAEDA,Go MAEDA,2017-11-25 16:42,Administration,3.3.6,"","","",0,2017-11-20 07:17,2017-11-25 14:02,"",Fixed,3.3.5,"We can check / uncheck multiple checkboxes by clicking ""?"" icons in WorkflowsController#edit page.

But the ""?"" icon at the upper left corner, supposed to be able to check / uncheck all checkboxes, is not working as expected. ""Check all"" works fine but ""Uncheck all"" does not work at all.

!{width: 366px;}.workflow-uncheck-all@2x.png!"
27584,Redmine,Defect,"",Needs feedback,Normal,REST-API projects modules not working XML,Eva Encabo,"",2017-12-12 18:57,REST API,"","","","",0,2017-11-19 23:03,"","","",3.4.2,"hi,
No module assign to project when we do
<enabled_module_names>issue_tracking</enabled_module_names>
the other values are well assigned."
