#,ƒvƒƒWƒFƒNƒg,ƒgƒ‰ƒbƒJ[,eƒ`ƒPƒbƒg,ƒXƒe[ƒ^ƒX,—Dæ“x,‘è–¼,ì¬Ò,’S“–Ò,XV“ú,ƒJƒeƒSƒŠ,‘ÎÛƒo[ƒWƒ‡ƒ“,ŠJn“ú,Šú“ú,—\’èH”,i’»—¦,ì¬“ú,I—¹“ú,ŠÖ˜A‚·‚éƒ`ƒPƒbƒg,Resolution,Affected version,à–¾
20361,Redmine,Defect,"",Closed,Normal,Project copy does not update custom field of version type values,Sebastian Paluch,Jean-Philippe Lang,2015-09-20 14:50,Custom fields,3.2.0,"","","",0,2015-07-17 08:42,2015-09-20 14:50,"",Fixed,3.0.1,"Making copy of a template project where there are versions created, is a custom field of version type and some issues have the custom field set to template project version. After such copy versions and issues are copied correctly but the custom field is still pointing to versions defined in original template project instead to newly created one.

<pre>
Environment:
  Redmine version                3.0.1.stable
  Ruby version                   2.0.0-p594 (2014-10-27) [i386-mingw32]
  Rails version                  4.2.0
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.11
  Git                            1.9.5
  Filesystem                     
Redmine plugins:
  inside_avatar                  1.0.2
  parent_issue_filter            1.0.1-1
  redmine_agile                  1.3.8
  redmine_spent_time_column      2.1.0
  redmine_version_fixed_issues   1.0.0
  sidebar_hide                   0.0.7
</pre>"
20360,Redmine,Defect,"",Closed,Normal,Project copy does not copy custom field settings,Sebastian Paluch,Jean-Philippe Lang,2015-10-09 08:43,Custom fields,2.6.8,"","","",0,2015-07-17 08:34,2015-10-09 08:43,Ÿ‚Ìƒ`ƒPƒbƒg‚ªd•¡ #20559,Fixed,2.6.5,"When making a project copy by going to /redmine/projects/template/copy custom field check boxes on the new project form are not set, all are unchecked. After project copy all custom field values are lost."
20358,Redmine,Defect,"",New,Normal,"In some situation, my plugin render view hook twice",’v‰“ û¥,"",2015-08-12 05:34,Plugin API,"","","","",0,2015-07-17 06:18,"","","",2.6.2,"I wrote a plugin for my company and
I referenced offical redmine plugin develop tutorial to add hook with my plugin.
I do something like this :
@
class MyPluginHook < Redmine::Hook::ViewListener
    render_on :view_projects_show_left, :partial => ""polls/project_overview""
end
@
It worked fined until I modified some features.
I got the information for log that this hook rendered two time
,so the whole page turn into a mess.
After restarting apache (I use apache 2.2 & passenger)
Everything is fined again, but sometimes it happened again.
By sometimes, this may happen after issue updating."
20356,Redmine,Defect,"",New,Normal,Wiki gets destroyed after rename,George Tudosi,"",2015-09-07 08:23,Wiki,"","","","",0,2015-07-16 16:15,"","ŠÖ˜A‚µ‚Ä‚¢‚é #5450, Ÿ‚Ìƒ`ƒPƒbƒg‚ªd•¡ #20525","","","Steps to reproduce the bug:

1. Create projects A and B, turn on Wiki modules for both projects.
2. Create a root Wiki page in A with arbitrary contents.
3. Click ?Renameg and move it to B.
4. In A, click ?Wikig tab. You're automatically redirected to Wiki of B. This is the first part of the issue.
5. Grant access to A to any user, but don't grant access to B. Now she will get 404 trying to view Wiki of A. This is the second part.

It seems that Wiki of A no longer exists. Turning Wiki module of A off and then on doesn't solve the issue. Renaming the Wiki back to A works fine, but then there's no Wiki in B, and so on.

Unfortunately, I don't know the exact version of Redmine I'm using, and have no privileges to discover it. I think it's relatively fresh, and I know that it's running on PostgreSQL 8.x or 9.x. The system is FreeBSD 9.2-RELEASE-p15 (GENERIC) #0: Mon Nov  3 20:31:29 UTC 2014."
20355,Redmine,Defect,"",Closed,Low,translation missing: zh.label_import_issues,g g,"",2015-07-17 00:59,"","","","","",0,2015-07-16 15:25,2015-07-17 00:59,"",Invalid,2.6.6,"1Download the plugins named Redmine Import Issues on Redmine 2.6.6 stable,and bundle rake it(use this command:bundle exec rake redmine:plugins:migrate RAILS_ENV=production),then restart.
2Find the problem as follow(the words in the red circle ):translation missing: zh.label_import_issues.
If Click that words,it will show: 404 Page Not Found Sorry, the page is not there."
20338,Redmine,Patch,"",Closed,Normal,"Turkish ""activity"" translation change",Giray Pultar,"",2015-07-26 19:16,Translations,3.2.0,"","","",0,2015-07-16 14:52,2015-07-26 19:16,"","","",Added missing turkish translations
20324,Redmine,Defect,"",Closed,Normal,wiki site (debian installation guide) needs update,Florian S.,"",2015-07-17 08:07,Documentation,"","","","",0,2015-07-16 12:46,2015-07-17 01:07,"","","","http://www.redmine.org/projects/redmine/wiki/InstallRedmineOnDebianStableApacheMysqlPassenger

the point 2.7 is for redmine 2.x - the command for 3.x should be placed here, too. new installations will be at redmine's 3.x branch (I think).
Maybe you can update the wiki site."
20321,Redmine,Patch,"",Closed,Normal,Bulgarian translation,Ivan Cenov,"",2015-07-26 04:32,Translations,"","","","",0,2015-07-16 07:47,2015-07-26 04:32,"","","",Ordered bg.yml following en.yml
20319,Redmine,Defect,"",Closed,Normal,"Task from Email - Styles in task text, part 2.",Dmitriy Ermakov,"",2015-07-15 15:21,Email receiving,"","","","",0,2015-07-15 15:15,2015-07-15 15:20,"",Duplicate,3.0.4,"Good day!
I am from task  http://www.redmine.org/issues/20311

I apply r14315 (http://www.redmine.org/projects/redmine/repository/revisions/14315).
But it doesn't work. Now i receive styles in my tasks.

For example:

P {margin-top:0;margin-bottom:0;}

test


If I send my message from Microsoft Outlook, i receive that:

[if !mso]>
<style>
v\:* {behavior:url(#default#VML);}
o\:* {behavior:url(#default#VML);}
w\:* {behavior:url(#default#VML);}
.shape {behavior:url(#default#VML);}
</style>
<![endif]
<!--
/* Font Definitions */
@font-face {font-family:""Cambria Math"";
panose-1:2 4 5 3 5 4 6 3 2 4;}
@font-face {font-family:Calibri;
panose-1:2 15 5 2 2 2 4 3 2 4;}
@font-face {font-family:Tahoma;
panose-1:2 11 6 4 3 5 4 4 2 4;}
/* Style Definitions */
p.MsoNormal, li.MsoNormal, div.MsoNormal {margin:0cm;
margin-bottom:.0001pt;
font-size:11.0pt;
font-family:""Calibri"",""sans-serif"";}
a:link, span.MsoHyperlink {mso-style-priority:99;
color:blue;
text-decoration:underline;}
a:visited, span.MsoHyperlinkFollowed {mso-style-priority:99;
color:purple;
text-decoration:underline;}
p.MsoAcetate, li.MsoAcetate, div.MsoAcetate {mso-style-priority:99;
mso-style-link:""„S„u„{„ƒ„„ „r„„~„€„ƒ„{„y „H„~„p„{"";
margin:0cm;
margin-bottom:.0001pt;
font-size:8.0pt;
font-family:""Tahoma"",""sans-serif"";}
span.a {mso-style-name:""„S„u„{„ƒ„„ „r„„~„€„ƒ„{„y „H„~„p„{"";
mso-style-priority:99;
mso-style-link:""„S„u„{„ƒ„„ „r„„~„€„ƒ„{„y"";
font-family:""Tahoma"",""sans-serif"";}
span.EmailStyle19 {mso-style-type:personal;
font-family:""Calibri"",""sans-serif"";
color:windowtext;}
span.EmailStyle20 {mso-style-type:personal;
font-family:""Calibri"",""sans-serif"";
color:#1F497D;}
span.EmailStyle21 {mso-style-type:personal-reply;
font-family:""Calibri"",""sans-serif"";
color:#1F497D;}
.MsoChpDefault {mso-style-type:export-only;
font-size:10.0pt;}
@page Section1 {size:612.0pt 792.0pt;
margin:2.0cm 42.5pt 2.0cm 3.0cm;}
div.Section1 {page:Section1;}
-->
[if gte mso 9]><xml>
<o:shapedefaults v:ext=""edit"" spidmax=""1026"" />
</xml><![endif][if gte mso 9]><xml>
<o:shapelayout v:ext=""edit"">
<o:idmap v:ext=""edit"" data=""1"" />
</o:shapelayout></xml><![endif]

 test"
20318,Redmine,Defect,"",Closed,Low,Unable to delete project. NoMethodError,Pavel Potcheptsov,"",2015-07-16 10:11,"","","","","",0,2015-07-15 10:59,2015-07-15 11:12,"",Invalid,3.0.3,"<pre>
Started DELETE ""/projects/some_project"" for 127.0.0.1 at 2015-07-15 10:54:23 +0200
Processing by ProjectsController#destroy as HTML
  Parameters: {""utf8""=>""?"", ""authenticity_token""=>""some_token"", ""confirm""=>""1"", ""commit""=>""Delete"", ""id""=>""cdp-rp-development-project""}
  Current user: ppo (id=95)
Completed 500 Internal Server Error in 143ms (ActiveRecord: 120.9ms)

NoMethodError (undefined method `find_all_by_user_id_and_issue_id' for #<Class:0xdf97ab0>):
  app/models/issue.rb:189:in `destroy'
  app/controllers/projects_controller.rb:224:in `destroy'
</pre>

<pre>
Environment:
  Redmine version                3.0.3.stable.14266
  Ruby version                   1.9.3-p327 (2012-11-10) [i686-linux]
  Rails version                  4.2.1
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.7.1
  Filesystem                     
Redmine plugins:
  advanced_roadmap_v2            2.4.1
  multi_time_tracker             0.1.5
  redmine_agile                  1.3.8
  redmine_checklists             3.1.1
  redmine_hide_estimated_hours   1.0.8
  redmine_lightbox2              0.2.2
  redmine_timesheet_plugin       0.7.0
  redmine_wktime                 1.8.1
  redmine_xls_export             0.2.1.t8
</pre>"
