#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
17788,Redmine,Defect,"",Closed,Normal,I can install DMSF plugin in Redmine 2.3.3,vimalraj velumani,"",2014-09-03 13:40,"","","","","",0,2014-09-03 11:56,2014-09-03 13:40,"",Invalid,"","rake aborted!
Gem::LoadError: You have already activated rake 10.3.2, but your Gemfile requires rake 10.1.0. Using bundle exec may solve this.


When I am trying to install DMSF plugin for redmine.

I need help from you guys!"
17784,Redmine,Defect,"",Closed,Normal,Error via REST API for creating an Issue,Leonid  Eletskikh,"",2014-09-29 16:16,REST API,"","","","",0,2014-09-02 23:07,2014-09-29 16:16,"",Invalid,2.3.0,"Hello,

I'm sending the following json

<pre><code class=""json"">
{
    ""issue"": {
        ""subject"": ""subject"",
        ""status_id"": ""1"",
        ""tracker_id"": ""11"",
        ""description"": ""HELLOKITTY"",
        ""assigned_to_id"": ""5795"",
        ""priority_id"": 2,
        ""custom_fields"": [
            {""value"": ""mail@yeleleo.co.uk"",""name"": ""Customer Email"",""id"": 63},
            {""value"": ""TEST"",""name"": ""Job Level"",""id"": 85},
            {""value"": ""Multiply Markets"",""name"": ""Markets"",""id"": 90},
            {""value"": ""TEST"",""name"": ""Company Name"",""id"": 89},
            {""value"": ""TEST"",""name"": ""HQ Address"",""id"": 78},
            {""value"": ""Travel"",""name"": ""Industry"",""id"": 76}
        ]
    }
}
</code></pre>

and for some reason getting the folowing error:

<pre><code class=""json"">
{
    ""errors"": [
        ""Subject can't be blank""
    ]
}
</code></pre>

What I'm doing wrong? Subjects included in the request..."
17775,Redmine,Defect,"",Closed,Normal,Problem with reset mysql root password.,David Fern?ndez,"",2014-09-02 13:54,Accounts / authentication,"","","","",0,2014-09-02 11:00,2014-09-02 13:54,"",Invalid,2.5.1,"Hi there, 

I'm trying to do a password reset root. I followed the following instructions (http://wiki.bitnami.com/Components/MySQL#How_to_change_the_MySQL_root_password.3f) but I have a problem. When running the following system fails. 

sudo mysql/bin/mysqld_safe --defaults-file=mysql/my.cnf --pid-file=mysql/ data/mysqld.pid --init-file=mysql-init 2> /dev/null & 

error file generated. 

140902 10:42:32 mysqld_safe Starting mysqld.bin daemon with databases from /home/dfernandez/redmine-2.5.1-1/mysql/data 
140902 10:42:32 [Note] Plugin 'FEDERATED' is disabled. 
? /home/dfernandez/redmine-2.5.1-1/mysql/bin/mysqld.bin: Can not find file: './mysql/plugin.frm' (errno: 13) 
140902 10:42:32 [ERROR] Can not open the table mysql.plugin. Please run mysql_upgrade to create it. 
140902 10:42:32 InnoDB: The InnoDB memory heap is disabled 
140902 10:42:32 InnoDB: Mutexes and rw_locks use InnoDB's own Implementation 
140902 10:42:32 InnoDB: Compressed tables use zlib 1.2.3 
140902 10:42:32 InnoDB: Using Linux native AIO 
140902 10:42:32 InnoDB: Initializing buffer pool, size = 128.0M 
140902 10:42:32 InnoDB: Completed initialization of buffer pool 
140902 10:42:32 InnoDB: Operating system error number 13 in a file operation. 
InnoDB: Error Means The mysqld does not have any available access rights to the
InnoDB: the directory. 
InnoDB: File name ./ibdata1 
InnoDB: File operation call: 'open'. 
InnoDB: Can not continue operation. 
140902 10:42:32 mysqld_safe mysqld from pid file 2.5.1-1/mysql/data/mysql/data/mysqld.pid /home/dfernandez/redmine-ended"
17772,Redmine,Defect,"",Closed,Normal,"Login Fail on IPhone: ""invalid form authenticity token""",Donjeta Timsch,"",2014-09-02 10:50,"","","","","",0,2014-09-01 23:29,2014-09-02 00:43,"",Invalid,"","member could not login with Safari on there IPhone.

there are some answer to this problem?

yours,"
17770,Redmine,Defect,"",New,Normal,"very simple fix:  that  causes many sites to break, and much confusion - incorrect use of .js suffix",dj jones,"",2017-12-03 19:24,"","","","","",0,2014-09-01 13:36,"","関連している #15560, 次のチケットが重複 #27560","","","Redmine by default, does something bad:  it uses (in certain places only) the .js file extension  for files that contain user content. ie files that should not be cached.

A small change should be made, to stop using the .js  extension in these specific places.

Because:
Many Redmine users, configure Apache/Nginx to cache-in-the-browser  all static files, such as .css and .js.
And the obvious config:  is to look for files name *.js or *.css.

But those users will experience problems, that they then post here about (see list at the end).
It is a hard thing to diagnose  -because the connection between the apache.nginx change and these specific, local problems:   is not obvious.

*It happens alot, so fixing this will save many people pain.*

When people add a Nginx or Apache config to cache all .js files - at first everything seems to work... but then a day or more later they will notice a problem:   it will happen on one of a few specific places

*a) Click 'edit' on an existing journal in an issue*

  (the js file created is eg 24174.js where 24174 is the journal number: the AJAX call is:

-      GET  https://redmine.xyz.com/journals/edit/24174.js

*b) Uploading a file to an Issue*

Having selected the file in the Browse button:  this file is called, (which contains the image file being sent to the server)

-     POST https://redmine.xyz.com/uploads.js?attachment_id=1&filename=my-file-to-upload.png


*List of Tickets on redmine.org that are definitely to this issue*

Can't upload image  #13564
Nginx Configuration (with Phusion Passenger) to set Expiration Headers    message#43872
Unable to edit issue journal messages in Redmine 2.3.1      #14150
Unable to edit notes/answers in issues     message#35759
"
17769,Redmine,Defect,"",New,Normal,Export CSV export not activated custom fields,Alexandre Sab?n,"",2014-09-01 11:23,Custom fields,"","","","",0,2014-09-01 11:23,"","","",2.3.3,"Hello,

on our project, we have used custom fields that have been turned off. But now when exporting to CSV these custom fields are exported with the old data for the trackers with turned off custom fields.

best regards"
17768,Redmine,Defect,"",New,Low,(Probably) incorrect display of RTL languages,Michael Heinze,"",2014-09-01 10:31,I18n,"","","","",0,2014-09-01 10:06,"","","","","Hello,

just for fun I changed my Redmine language to ""arabic"" which is a right-to-left language. ;-)

I noticed that the brackets in the list of languages are not displayed correctly (""("" appears twice), see attachment.

Although have to admit that I don't know how the correct display looks like, in the way it is displayed now it looks somehow incorrect.

!redmine_rtl_languages.png!"
17762,Redmine,Defect,"",Closed,Normal,"When copying an issue and changing the project, the list of watchers is not updated",Kevin Palm,Jean-Philippe Lang,2017-04-06 21:57,Issues,3.4.0,"","","",0,2014-08-29 09:11,2017-04-06 21:57,"",Fixed,2.4.4,"When I 'copy' an issue and then I change the project of this issue (before saving), then the list of watchers that can be selected is not updated.
This is clearly a bug, because now users are listed that are not assigned to the selected project.
BTW: (The user-list for 'Assignee' is correctly updated when switching the project"
17760,Redmine,Defect,"",Closed,Normal,REST API to update custom fields in issues does not work,Marco Descher,"",2014-09-26 13:41,REST API,"","","","",0,2014-08-28 10:27,2014-09-26 13:41,"",Invalid,2.4.3,"I just tried the following input, which returns 

<pre>
Started PUT ""/issues/3273.xml?key=asdf"" for 23233 at 2014-08-28 10:23:28 +0200
Processing by IssuesController#update as XML
  Parameters: {""issue""=>{""id""=>""3273"", ""subject""=>""ch.elexis.base.ch.legacy.feature.feature.group"", 
""description""=>nil, ""start_date""=>""2014-08-20T00:00:00+02:00"", ""project_id""=>""0"", ""tracker_id""=>""0"", 
""custom_fields""=>[{""id""=>""2"", ""name""=>""Abostatus"", ""value""=>""EXPIRED""}], ""project""=>{""id""=>""3"", 
""name""=>""Praxis Dr. Mustermann""}, ""tracker""=>{""id""=>""4"", ""name""=>""Service""}}, ""key""=>""asdf"", ""id""=>""3273""}
  Current user: mustermann (id=5)
Completed 200 OK in 27.9ms (Views: 0.4ms | ActiveRecord: 3.2ms
</pre>

yet the value of the custom field in the issue is not changed, here the input

<pre>

<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<issue>
 <id>3273</id>
 <subject>ch.elexis.base.ch.legacy.feature.feature.group</subject>
 <description/>
 <start_date>2014-08-20T00:00:00+02:00</start_date>
 <project_id>0</project_id>
 <tracker_id>0</tracker_id>
 <custom_fields type=""array"">
   <custom_field id=""2"" name=""Abostatus"">
     <value>EXPIRED</value>
   </custom_field> 
 </custom_fields>
 <project id=""3"" name=""Praxis Dr. Mustermann""/>
 <tracker id=""4"" name=""Service""/>
</issue>

</pre>

The respective field is defined as list with possible values."
17757,Redmine,Defect,"",Closed,Normal,Link with hash does not work on Firefox,Toshi MARUYAMA,Jean-Philippe Lang,2015-07-05 12:23,UI,2.6.6,"","","",0,2014-08-27 17:15,2015-07-05 12:23,関連している #13134,Fixed,2.5.2,"In opening this link in new web browser window,
browser goes to line 275.
source:trunk/public/help/zh-tw/wiki_syntax_detailed.html@13340#L275

IE and Chrome work fine, but Firefox 31.0 does not work.
Firefox stays on top of page.
On click in address bar, ff goes to line 275.

It seems jquery-1.8.3-ui-1.9.2-ujs-2.0.3.js problem.
Following modificaion works.

<pre><code class=""diff"">
diff --git a/app/helpers/application_helper.rb b/app/helpers/application_helper.rb
--- a/app/helpers/application_helper.rb
+++ b/app/helpers/application_helper.rb
@@ -1295,7 +1295,8 @@ module ApplicationHelper

   # Returns the javascript tags that are included in the html layout head
   def javascript_heads
-    tags = javascript_include_tag('jquery-1.8.3-ui-1.9.2-ujs-2.0.3', 'application')
+    # tags = javascript_include_tag('jquery-1.8.3-ui-1.9.2-ujs-2.0.3', 'application')
+    tags = """"
     unless User.current.pref.warn_on_leaving_unsaved == '0'
       tags << ""\n"".html_safe + javascript_tag(""$(window).load(function(){ warnLeavingUnsaved('#{escape_javascript l(:text_warn_on_leaving_unsaved)}'); });"")
     end
</code></pre>"
