#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
15153,Redmine,Patch,"",New,Normal,Show more information about subtasks,Daniel Ritz,"",2013-10-18 13:48,Issues,"","","","",0,2013-10-18 13:48,"","","","","Issues with subtasks show fields like start date, due date, estimated time, etc. as the sum from the subtask. The subtask list only includes a few fields (subject, assignee, status, %done). To improve this overview so everyone can see where the start/due date, estimated time etc. come from, it would make sense to display these fields for each subtask.

A patch implementing our requirements is attached. Against Redmine 2.3.3, but should apply cleanly to 2.4/trunk."
15143,Redmine,Defect,"",Closed,Normal,Email Reminder,Daniel Koch,"",2013-10-19 05:27,Email notifications,"","","","",0,2013-10-16 15:51,2013-10-19 05:27,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #9676,Duplicate,2.3.3,"when i set 2 Reminders:

first: 2 dayÅLs before event
sencond on event date

users alwayÅLs get 2 Emails 

one for on event and one for in 2 dayÅLs with the same content.

is there a fix to say that i can exclude overdate for example if 2 dayÅLs is passed it doenst remind?"
15142,Redmine,Defect,"",Closed,Normal,Wrong project name in email notification subject after moving issue to other project,Pavel Potcheptsov,"",2013-10-29 05:35,Email notifications,"","","","",0,2013-10-16 14:30,2013-10-29 05:35,"",Cant reproduce,2.3.0,"Project1 - issue1.
Issue1 has moved to Project2.
Email notification after updating issue1 come with email subject as Project1.
As you see on picture, after changing project, notification still show old project."
15135,Redmine,Defect,"",Closed,Low,Issue#update_nested_set_attributes comparing nil with empty string,Rafa? Lisowski,Jean-Philippe Lang,2013-10-20 11:30,Code cleanup/refactoring,2.4.0,"","","",0,2013-10-15 16:39,2013-10-20 11:30,"",Fixed,2.3.3,"I had problem with slow issue update. Issue have ~20 subtasks and 1 related issue. Update on that task always ended with timeout error.
It's appears that Issue#update_nested_set_attributes (after_save hook) there is ""comparision _parent_issue_id != parent_id_"":http://www.redmine.org/projects/redmine/repository/entry/branches/2.3-stable/app/models/issue.rb#L1277. 
In my case _parent_issue_id_ was nil and _parent_id_ empty string, it's leads to unnecessary code execution.
When I change:
<pre>
elsif parent_issue_id != parent_id
</pre>
to 
<pre>
elsif parent_issue_id.to_i != parent_id.to_i
</pre>
update is now 4 times faster.

Ruby: 1.9.3-p429
Rails: 3.2.13
Redmine: 2.3.3"
15125,Redmine,Defect,"",Closed,Normal,Task properties are reverted when doing a task update from firefox.,Mehmet Soyturk,"",2013-10-20 11:41,"","","","","",0,2013-10-14 10:33,2013-10-20 11:41,"ä÷òAÇµÇƒÇ¢ÇÈ #14621, éüÇÃÉ`ÉPÉbÉgÇ™èdï° #18011",Wont fix,2.3.1,"We many unintended task property changes (the changes of one user is unintendedly reverted by another user).

To reproduce:
* Open an issue from firefox.
* Open the same issue in another tab / browser / computer.
* From the second tab, update task properties that are selected from dropdown lists, such as ""Status"", ""Priority"", ""Assignee"" or ""% Done"".
* Hit F5 from the first tab. You will see that the task properties were updated successfully.
* Then, still in the second tab, click the ""Update"" link. You will see that still the old values are selected. Add some message and send the form, and the properties are now reverted.

It seems that Firefox, even after a page refresh, tries to remember the options selected by the user. To avoid this, a ctrl-F5 is needed. See also http://stackoverflow.com/questions/1479233/why-doesnt-firefox-show-the-correct-default-select-option"
15123,Redmine,Defect,"",Closed,Normal,"""Add watcher"" leaks all active users",Felix Sch?fer,"",2013-10-22 13:58,Security,"","","","",0,2013-10-14 10:11,2013-10-20 17:50,"ä÷òAÇµÇƒÇ¢ÇÈ #9500, ä÷òAÇµÇƒÇ¢ÇÈ #5159, éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #11724, éüÇÃÉ`ÉPÉbÉgÇ™èdï° #15613",Duplicate,"","When adding watchers, all active users of the current installation are visible (on new issues from the get-go, on existing issues you might have to type a few characters to trigger the autocomplete).

All other places in Redmine exposing users go to great lengths to only show users that are ""visible"" to the current user. Attached is a patch that limits the proposed users in the watcher autocomplete to users that are members of projects visible to the current user.

(This patch was written on behalf of and contributed by ""Planio"":http://plan.io)"
15118,Redmine,Patch,"",New,Normal,Deprecate and rename rss_* methods to atom_* methods,Mischa The Evil,"",2013-10-14 01:59,Code cleanup/refactoring,Candidate for next major release,"","","",0,2013-10-14 01:34,"",ä÷òAÇµÇƒÇ¢ÇÈ #13460,"","","This issue is extracted from #13460-2 after 2.4 feature freeze.

Relevant history:

> Daniel Felix wrote in #13460-2 (note-2):
> > * *File* Attachment:functional_renaming_rss_to_atom.diff added
> >
> > I'll provide two patches.
> > [...]
> > Number 2: functional renaming. Deprecation of old rss_* methods and redefining them as atom_* methods. Old methods are still available and give deprecation warnings. Please test Number 2, too. But it seems to work in the first test.
> 
> Jean-Philippe Lang wrote in #13460-7 (note-7):
> > I've committed the translations in r11654 but I think it's a bit late to change the methods for 2.3.0.
"
15113,Redmine,Defect,"",Closed,Normal,The mail method should return a Mail::Message,Florian Schwab,Florian Schwab,2013-10-13 09:59,Code cleanup/refactoring,2.4.0,"","","",0,2013-10-12 14:19,2013-10-13 09:59,"",Fixed,"",The overwritten _mail_ method (_ActionMailer::Base_) in source:trunk/app/models/mailer.rb should return a _Mail_ object instead of a symbol (the locale set/returned by _set_language_if_valid_) to be compliant with the original _mail_ method.
15110,Redmine,Defect,"",New,Normal,Wiki annotate is showing wrong versions in which lines were last changed,Mischa The Evil,Jean-Philippe Lang,2015-07-04 05:04,Website (redmine.org),"","","","",0,2013-10-12 04:22,"","","","","I haven't tested this personally; I only observed the issue on redmine.org and thought it might be good to report it.

Goto the annotate view of [[RedmineTextFormatting]], check lines 63 to 70 (repository files linking syntax). These lines were not changed/introduced in version 1 of the page (see ""it"":/projects/redmine/wiki/RedmineTextFormatting?version=1), instead their history is: 14, 15, 24, 26, 39, 77."
15105,Redmine,Defect,"",Closed,Normal,Redmine::Helpers::Diff missing require,Felix B?nemann,"",2013-10-12 12:32,"","","","","",0,2013-10-10 22:26,2013-10-12 12:32,"",Fixed,"","The @lib/redmine/helpers/diff.rb@ is missing a @require 'diff'@ to load @lib/diff.rb@ so it fails to call diff on an array in inititialize:
<pre><code class=""ruby"">
>> Redmine::Helpers::Diff.new(""foo"", ""bar"")
NoMethodError: undefined method `diff' for [""foo"", ""bar""]:Array
</code></pre>

This can be reproduced by changing the description of an issue and then clicking on the diff link."
15075,Redmine,Patch,"",Closed,Normal,"Fix typo in the Dutch ""label_user_mail_option_all"" translation",Toshi MARUYAMA,"",2013-10-09 20:20,Translations,2.4.0,"","","",0,2013-10-09 20:14,2013-10-09 20:20,"","","","https://github.com/redmine/redmine/pull/19

<pre><code class=""diff"">
diff --git a/config/locales/nl.yml b/config/locales/nl.yml
index da86aa8..e9459be 100644
--- a/config/locales/nl.yml
+++ b/config/locales/nl.yml
@@ -583,7 +583,7 @@ nl:
   label_user: Gebruiker
   label_user_activity: ""%{value}'s activiteit""
   label_user_mail_no_self_notified: Ik wil niet op de hoogte gehouden worden van mijn eigen wijzigingen
-  label_user_mail_option_all: ""Bij elk gebeurtenis in al mijn projecten...""
+  label_user_mail_option_all: ""Bij elke gebeurtenis in al mijn projecten...""
   label_user_mail_option_selected: ""Enkel bij elke gebeurtenis op het geselecteerde project...""
   label_user_new: Nieuwe gebruiker
   label_user_plural: Gebruikers
</code></pre>"
15073,Redmine,Patch,"",Closed,Normal,list custom fields : multiple select filter wider,J?r?me BATAILLE,"",2017-04-29 22:19,Custom fields,2.4.0,"","","",0,2013-10-09 12:34,2013-10-13 10:42,"","","","If there are more than 4 option values, increase teh size from 4 to 10"
15072,Redmine,Patch,"",Closed,Normal,Optimization of issues journal custom fields display,J?r?me BATAILLE,Jean-Philippe Lang,2017-04-29 20:28,Code cleanup/refactoring,2.4.0,"","","",0,2013-10-09 12:22,2013-10-13 12:05,"","","","Custom filed is reloaded for each detail
even if cached by active record, we can avoid to reload them"
15058,Redmine,Defect,"",Closed,Normal,Project authorization EnabledModule N+1 queries,Felix B?nemann,"",2013-10-21 00:20,Code cleanup/refactoring,2.4.0,"","","",0,2013-10-07 21:51,2013-10-20 18:05,"",Fixed,"","There's a problem with project authorization that causes N+1 queries (one per project in @projects).

In ApplicationController#authorize redmine checks authorization on <notextile>@project or @projects</notextile>. This triggers the code in Project#allowed_permissions which calls @enabled_modules.pluck(:name)@.

The problem here is that pluck circumvents preloading, so no matter wether we do @@projects = Project.includes(:enabled_modules).where(conditions)@ in a controller, it will still trigger one extra query per project.

Given that the EnableModule model is tiny, this could be prevented by using @enabled_modules.map(&:name)@ instead."
15057,Redmine,Defect,"",Closed,Normal,Can't change status from new if project have no members,Elena Mitkina,"",2013-10-14 03:59,"","","","","",0,2013-10-07 20:14,2013-10-14 03:59,"",Invalid,"","I create project, if it have not members - status cant be change from new to any one another"
15056,Redmine,Defect,"",Closed,Low,Command missing in the RedmineInstall page,Yann PENIGUEL,"",2013-10-08 10:28,Documentation,"","","","",0,2013-10-07 17:21,2013-10-07 21:10,"",Invalid,"","Hello there,

At step 4 of the RedmineInstall guide, it seem to miss a command.
If you follow the instructions, you will get a Bundler::GemfileNotFound when trying to use ""bundle install --without development test"".
It is because you need to use ""bundle init"" first, which initiate the required Gemfile.

Yann PENIGUEL"
15055,Redmine,Defect,"",Closed,Normal,branches not properly displayed in IE8,Elvys Melo Duarte Almeida,"",2016-01-13 14:38,SCM,"","","","",0,2013-10-07 16:39,2016-01-13 14:38,"",Wont fix,"","IE8 doesn't show well GIT-Repository-Branches. 

S. Picture below (Left IE8, Right Chrome)

!Clipboard01.jpg!

With other Browser (tested with Firefox 24.0 and Chrome 30.0) there was no problem in the view.
"
15050,Redmine,Defect,"",Closed,Normal,redmine:migrate_from_mantis  fails to migrate projects with all upper case name,Vikram Lele,Jean-Philippe Lang,2013-10-13 12:08,Importers,2.4.0,"","","",0,2013-10-07 08:16,2013-10-13 12:08,"",Fixed,"","redmine:migrate_from_mantis does not migrate data of mantis projects with full upper case names. For example - a project with name MY PROJECT does not get migrated at all without indicating any error.

An easy work around for this is to change the project name to mixed case in mantis database."
15047,Redmine,Defect,"",New,Normal,Issue edit view does not show description and notes,Sebastian Helbig,"",2013-10-06 11:35,Issues,"","","","",0,2013-10-06 11:35,"","","",2.3.3,"Whenever I rightclick on an issue and use edit, I get to the ticket edit view, but I see no description and notes of the ticket. This is in contrast to opening the ticket directly and clicking on updates which shows description and notes."
15046,Redmine,Defect,"",Closed,Normal,500 Error on add Project,Soner Sanane,"",2013-10-05 11:37,"","","","","",0,2013-10-05 02:20,2013-10-05 11:37,"",Invalid,"","Hello,
i have installed redmine. When i add Project i have a 500 Internal Server Error:""Internal error

An error occurred on the page you were trying to access.
If you continue to experience problems please contact your Redmine administrator for assistance.

If you are the Redmine administrator, check your log files for details about the error.

Back""

http://pastebin.com/4XGTSdJL there is the log.

Please help me.

Regards,
Soner
"
15045,Redmine,Defect,"",New,Normal,Filter by custom field (only) doesn't work in REST API,Bruno Medeiros,"",2013-10-04 23:17,REST API,"","","","",0,2013-10-04 23:17,"","","",2.3.3,"> cf_x: get issues with the given value for custom field with an ID of x. (Custom field must have 'used as a filter' checked.)

I tried to filter issues by custom field and initially I tried to put only this filter in the URL. I issued the following request on my Redmine instance:

<pre>
http://hq.company.com.br/redminetest/issues.xml?cf_24=1&limit=25&key=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
</pre>
The query above fetch all the issues on my instance, regardless of the custom field 24's value.

<pre>
http://hq.company.com.br/redminetest/issues.xml?project_id=176&cf_24=1&limit=25&key=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
</pre>
The query above works perfectly, filters by project and by custom field.

The REST is only working properly if there is a project filter together with the custom field filter, it doesn't work alone.
My field is marked with 'use as filter' only."
15044,Redmine,Defect,"",Closed,Normal,Patch for giving controller_issues_edit_after_save api hook the correct context,Jordan Hollinger,Jean-Philippe Lang,2013-10-13 12:32,Plugin API,2.4.0,"","","",0,2013-10-04 23:14,2013-10-13 12:32,"",Fixed,2.3.3,"The API hooks ""controller_issues_edit_before/after_save"" are not given the correct context (i.e. the same context that ""controller_issues_new_before/after_save"" get.)

Expected behavior: ""controller_issues_new_after_save"" and ""controller_issues_edit_after_save"" should be given the same context.

Actual behavior: ""controller_issues_edit_after_save""'s context lacks a  controller, project, request, and hook_caller. Plugins must use crazy work-arounds to gain access to them.

Fix: Issue#save_issue_with_child_records has no particular need to be in the Issue model. Moving it to IssuesController allows for a simple fix with minimal impact.

This is my first Redmine patch, and I'm happy to submit it through github, svn, etc, but I've attached it here for comment.
"
15041,Redmine,Defect,"",Reopened,Normal,Issues list bad ordering by Subject,Victor Sinceac,Jean-Philippe Lang,2014-05-23 14:47,Issues,"","","","",0,2013-10-04 13:51,2013-10-13 20:24,"",Invalid,"","Sorting the list by column Subject returns unexpected results.

Steps to reproduce:
- Display All Issues; by default the list is ordered by Subject;
- Click two times on the column Subject;
- The screen copy in attachments shows the bad ordering by Subject. The resulting order is as follows:
* Cy...
* ...some items not in [A-Z, a-z]...
* Se...
* Ye...
* Ya...
* XP
* XM...
* xm...
* Wr
* 

"
15039,Redmine,Defect,"",Closed,Normal,Custom fields in spent time details are not shown,Agust? Rivero,"",2013-10-26 02:08,Custom fields,"","","","",0,2013-10-04 13:04,2013-10-26 02:08,"",Invalid,2.3.3,"If you have a custom field in your trackers, in Spent time view, in ""options"" section you can add this ""column"" to details view.

Misteriously the content is not shown in html view but if you click CSV you can see it there. This happens with either text or select content."
15038,Redmine,Defect,"",Closed,Normal,Email test failed: no implicit conversion of true into String,Sergey Katasonov,"",2013-11-12 10:05,Email notifications,"","","","",0,2013-10-04 12:34,2013-10-08 10:58,"","","","Hi,
I tray to set up e-mail on Redmine 2.3.3, and after click  on ""e-mail test"" I get: error (no implicit conversion of true into String)

Email server MS Exchange.
I have 2 instalation of Redmine 1.1.3 and 2.0.3 both of them work fine with this server.
Now I tray to upgrade 1.1.3 to 2.3.3 - all work fine except e-mail 

configuration.yml:
development:
 email_delivery:
  delivery_method: :smtp
  smtp_settings:
#   tls: false
   enable_starttls_auto: true
   address: ""MS Exchange server""
   port: 587
   authentication: :login
   domain: ""domain""
   user_name: ""xxx""
   password: ""xxx""
 
attachments_storage_path: /opt/redmine/files
"
