#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
15736,Redmine,Defect,"",New,Normal,WARNING: making https request to https:// ... without verifying server certificate; no CA path was specified.,Marcel M,"",2013-12-18 21:27,Security,"","","","",0,2013-12-18 21:27,"","","","","Hi,

when I do a openid authentication I always had this in the logs

<pre>
WARNING: making https request to https://.../index.php?user=.. without verifying server certificate; no CA path was specified.
</pre>

Fixing it is really simple if you know how. Simply add the following to config/environments.rb


<pre>
3,5d2
< require 'openid/fetchers'
< 
< 
18d14
< OpenID.fetcher.ca_file = ""#{Rails.root}/config/ca-bundle.crt""
</pre>

and create the file ca-bundle.crt which stores your trusted CAs (in pem format) . Example file content

-----BEGIN CERTIFICATE-----
<1st trusted CA in base 64 >
-----END CERTIFICATE-----
-----BEGIN CERTIFICATE-----
<2nd trusted CA in base 64>
-----END CERTIFICATE-----

I suggest to add the changes in enviroment.rb and add a comment in the file which explains how to use it. Also this might be added to the docu somewhere.
"
15735,Redmine,Defect,"",Closed,Normal,OpenID login fails due to CSRF verification,Marcel M,Jean-Philippe Lang,2013-12-22 15:48,Accounts / authentication,2.4.2,"","","",0,2013-12-18 21:18,2013-12-22 15:48,"",Fixed,2.4.1,"Hi,

after upgrading from 2.3.0 to 2.4.1 I could no longer login via openid.

This is the log snippet:

<pre>
Generated checkid_setup request to https://openid.xxx.com/index.php?user=John.Doe
 with assocication bmshmeqgqqlrpqbu5sjo4g3g84
Started GET ""/support/login?_method=post&openid1_claimed_id=...
 for 192.168.x.x at Sun Dec 15 15:24:48 +0100 2013
Processing by AccountController#login as HTML
  Parameters: {""openid1_claimed_id""=>""https://openid.xxx.com/John.Doe"", ""rp_nonce""=>""2013-12-15T14:24:43ZZ0jbBB""}
WARNING: Can't verify CSRF token authenticity
  Rendered common/error.html.erb within layouts/base (0.8ms)
Filter chain halted as :verify_authenticity_token rendered or redirected
Completed 422 Unprocessable Entity in 28.0ms (Views: 27.3ms | ActiveRecord: 0.0ms)
</pre>

After googling a bit I found a solution based on this https://github.com/xaviershay/enki/issues/91

So I tweaked app/controllers/account_controller.rb a bit:

<pre>
diff redmine/app/controllers/account_controller.rb redmine-2.4.1/app/controllers/account_controller.rb
23,25c23
<   skip_before_filter :check_if_login_required, :check_password_change, :verify_authenticity_token, :only => :login
<   before_filter :verify_authenticity_token_unless_openid, :only => :create
< 
---
>   skip_before_filter :check_if_login_required, :check_password_change
345,349d342
< 
<   def verify_authenticity_token_unless_openid
<     verify_authenticity_token unless using_open_id?
<   end
<
</pre> 

and I can now successfully  login. 

From my point of view I did not introduce a security issue here but a 2nd opionion would be great before this is added to redmine.

"
15732,Redmine,Defect,"",New,Normal,install not working when using a specific mysql password,Victor Isabel Bueno,"",2013-12-18 14:20,Database,"","","","",0,2013-12-18 14:20,"","","",2.4.1,"Hi,

I've been having some problems installing redmine 2.4.1. On my local virtual machine i was using a very simple password for the mysql user (only numbers and letters). On the production server we had the following password (which we are not using any more, of course): %$enerD%$Mi2

If during the installation process I create the user redmine in Mysql and give it this password, this is what happens:

root@redmine:/usr/local/share/redmine# bundle install --without development test postgresql sqlite
Gemfile syntax error:

There is absolutely no more information than this, but the installation process stops here and there is no way to carry on. 

If I try the same with my local password (only numbers and letters), it works on my local machine and also on the production server. 

I initially though that maybe the problem was that I was using special characters (% and $), but then I tried using the password $%hola and it worked. 

I spent quite a lot of time trying to find out what was going on, so it would be nice if you could check it out. Just in case someone finds themselve in the same situation.

This is what we are using:

MySQL                          5.5.31
Redmine version                2.4.1.stable
Ruby version                   1.9.3-p194 (2012-04-20) [x86_64-linux]
Rails version                  3.2.15
Environment                    production
Database adapter               Mysql2

Thanks a lot and let me know if you need more information."
15723,Redmine,Defect,"",Closed,Normal,can not preview the attachement,12 auqf,12 auqf,2013-12-19 08:16,Attachments,"","","","",0,2013-12-17 09:45,2013-12-19 08:16,"",Invalid,"","hi, i add a picture,but i can not preview it,can you help me to resolve it?thanks!"
15716,Redmine,Defect,"",Closed,Normal,Scraped emails include CSS from HTML emails,Deoren Moor,Jean-Philippe Lang,2015-07-15 15:18,Email receiving,3.1.0,"","","",0,2013-12-16 15:34,2015-06-16 20:24,"関連している #19740, 関連している #20311",Fixed,2.4.1,"I'm not sure how many others are encountering this behavior, but when replying to an email notification (and making sure to remove all text from the body) the CSS for HTML emails is included as if it were written by the user. In this particular case I responded to a notification using the default mail client from iOS 7.

Example reply:

<pre>
Sure, that will work.

body {
font-family: Verdana, sans-serif;
font-size: 0.8em;
color:#484848;
}
h1, h2, h3 { font-family: ""Trebuchet MS"", Verdana, sans-serif; margin: 0px; }
h1 { font-size: 1.2em; }
h2, h3 { font-size: 1.1em; }
a, a:link, a:visited { color: #2A5685;}
a:hover, a:active { color: #c61a1a; }
a.wiki-anchor { display: none; }
fieldset.attachments {border-width: 1px 0 0 0;}
hr {
width: 100%;
height: 1px;
background: #ccc;
border: 0;
}
span.footer {
font-size: 0.8em;
font-style: italic;
}
</pre>

Our environment:

<pre>
  Redmine version                2.4.1.stable.12325
  Ruby version                   1.8.7-p352 (2011-06-30) [i686-linux]
  Rails version                  3.2.15
  Environment                    production
  Database adapter               MySQL
</pre>

"
15714,Redmine,Defect,"",Closed,Normal,Notification on loosing assignment does not work,Marc M.,Jean-Philippe Lang,2014-01-13 22:02,Email notifications,2.4.2,"","","",0,2013-12-16 13:42,2013-12-21 12:26,"",Fixed,2.4.1,"It was implemented long long time ago in r8695, but it seems that it doesnt work.
Only the new ""Assigned to"" user, the author and watcher are notified, but not the old ""assigned to"" user.
The mailnotificationoptions are on both ""Only for Issue I'm watching or working on""

Am I missing something or is it broken?

Our Redmine:

<pre>
Environment:
  Redmine version                2.4.1.stable.12357
  Ruby version                   1.9.3-p0 (2011-10-30) [x86_64-linux]
  Rails version                  3.2.16
  Environment                    production
  Database adapter               Mysql2
</pre>"
15711,Redmine,Defect,"",New,Normal,"Assignee does not receive email with ""only for things I watch or I'm involved in"" ",Sang Tan,"",2013-12-16 10:23,Email notifications,"","","","",0,2013-12-16 10:23,"","","",2.2.3,"My assignee does not receive email even I select ""only for things I watch or I'm involved in""  for each users.
Do I mess anything?"
15710,Redmine,Patch,"",Closed,Normal,Traditional Chinese translation (to r12417),ChunChang Lo,"",2013-12-16 08:54,Translations,"","","","",0,2013-12-16 08:11,2013-12-16 08:54,"","","","* Added translations:
** label_link, label_only, label_drop_down_list, label_checkboxes"
15709,Redmine,Defect,"",Closed,Normal,TimeEntry custom_values are not deleted from the database when destroying the associated project,Mischa The Evil,Jean-Philippe Lang,2013-12-18 19:39,Custom fields,2.5.0,"","","",0,2013-12-16 05:36,2013-12-18 19:39,"",Fixed,"","This defect emerged while I was writing some tests (with new fixtures) for my patch for issue #4138. When I ran these new tests they passed without issues, but when I ran the whole test suite to make sure I didn't break any existing functionality I encountered a failing unit test. The failing test is @ProjectTest#test_destroying_root_projects_should_clear_data@.

The assertion that triggers the test failure is
<pre>assert_equal 0, CustomValue.where(:customized_type => ['Project', 'Issue', 'TimeEntry', 'Version']).count</pre>

This assertion tests if all custom_values of the designated @cutomized_type@ are deleted from the database when the associated project has been destroyed. This functionality works for custom_values of the type @Project@, @Issue@ and @Version@ (where the first two are explicitly tested because they have fixtures, in contrast to the @Version@ type that is not-yet tested because it is missing fixtures), +but it does not work for custom_values of the type @TimeEntry@+.

The defect (and the error-free behavior of the @Version@ type custom_values) can be made visible by adding some custom_value fixtures like shown below, followed by running @ProjectTest#test_destroying_root_projects_should_clear_data@:
<pre><code class=""diff"">
Index: test/fixtures/custom_fields.yml
===================================================================
--- test/fixtures/custom_fields.yml	(revision 12406)
+++ test/fixtures/custom_fields.yml	(working copy)
@@ -145,3 +145,35 @@
     SGXDqWzDp2prc2Tigqw2NTTDuQ==
   - Other value
   field_format: list
+custom_fields_012: 
+  name: Searchable time entry field
+  regexp: """"
+  is_for_all: false
+  is_filter: false
+  type: TimeEntryCustomField
+  possible_values: """"
+  id: 12
+  is_required: false
+  field_format: string
+  searchable: true
+  default_value: """"
+  editable: true
+  position: 2
+custom_fields_013: 
+  name: vState
+  regexp: """"
+  is_for_all: false
+  is_filter: false
+  type: VersionCustomField
+  possible_values: 
+  - Stable
+  - Beta
+  - Alpha
+  - Planning
+  id: 13
+  is_required: false
+  field_format: list
+  searchable: false
+  default_value: """"
+  editable: true
+  position: 1
Index: test/fixtures/custom_values.yml
===================================================================
--- test/fixtures/custom_values.yml	(revision 12406)
+++ test/fixtures/custom_values.yml	(working copy)
@@ -101,3 +101,15 @@
   customized_id: 1
   id: 17
   value: '2009-12-01'
+custom_values_018: 
+  customized_type: TimeEntry
+  custom_field_id: 12
+  customized_id: 2
+  id: 18
+  value: ""stringfortimeentry custom field search""
+custom_values_019: 
+  customized_type: Version
+  custom_field_id: 13
+  customized_id: 2
+  id: 19
+  value: Stable
</code></pre>

The assertion fails because the @TimeEntry@ custom_value is not deleted from the db when the associated project is destroyed (as opposed to the yet-untested @Version@ custom_value which is indeed properly deleted [as like for the already-tested @Issue@ and @Project@ custom_values]).

This issue seems pretty much related to #7385 and #7904.

Environment information:
* Redmine Trunk at r12406
* Ruby 2.0.0-p353 (2013-11-22) [i686-linux
* Rails 3.2.16

Please let me know if more information is needed..."
15708,Redmine,Defect,"",Closed,High,Issue Post broken in 2.4.1,Marco Descher,"",2013-12-16 03:46,REST API,"","","","",0,2013-12-15 20:08,2013-12-16 03:46,"",Invalid,2.4.1,"It seems like posting issues using the api is broken in 2.4.1
<pre>
Started POST ""/issues.xml?key=asdf"" for 84.115.253.86 at 2013-12-15 20:01:46 +0100
Processing by IssuesController#create as XML
  Parameters: {""issue""=>{""id""=>""0"", ""subject""=>""at.medevit.redmine.rest.RedmineConnectorTest"", ""description""=>""at.medevit.redmine.rest.RedmineConnectorTest Description"", ""project_id""=>""3"", ""tracker_id""=>""4""}, ""key""=>""asdf""}
  Current user: wfeconnector (id=4)
  Rendered common/error_messages.api.rsb (0.3ms)
Completed 422 Unprocessable Entity in 224.6ms (Views: 2.2ms | ActiveRecord: 4.1ms)
</pre>

where the incoming data is 

<pre>
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<issue>
    <id>0</id>
    <subject>at.medevit.redmine.rest.RedmineConnectorTest</subject>
    <description>at.medevit.redmine.rest.RedmineConnectorTest Description</description>
    <project_id>3</project_id>
    <tracker_id>4</tracker_id>
</issue>
</pre>"
