#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
23055,Redmine,Defect,"",Confirmed,Normal,Error with Fetch commits with Mercurial repository when log has invalid char,mole mole,Toshi MARUYAMA,2016-11-28 13:58,SCM,"","","","",0,2016-06-13 13:31,"","","",3.1.3,"Error with Fetch commits automatically with mercurial repository

When I add a mercurial repository, redmine start to scan and add to Mysql. This take several minutes. When redmine finish to index  .Redmine show a error page. In production.log show this message. It happen with a huge repository about 70335 commits

*production.log*
<pre>
Started GET ""/projects/iset/repository"" for 192.168.1.164 at 2016-06-13 10:56:04 +0000
Processing by RepositoriesController#show as HTML
  Parameters: {""id""=>""iset""}
  Current user: admin (id=1)
Completed 500 Internal Server Error in 2039ms (ActiveRecord: 4.8ms)

NoMethodError (undefined method `[]' for nil:NilClass):
  lib/redmine/scm/adapters/mercurial_adapter.rb:194:in `each_revision'
  app/models/repository/mercurial.rb:187:in `block in fetch_changesets'
  app/models/repository/mercurial.rb:186:in `step'
  app/models/repository/mercurial.rb:186:in `fetch_changesets'
  app/controllers/repositories_controller.rb:114:in `show'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
</pre>

If you exec a manual auto_fetch to refresh data with *rake -f Rakefile RAIL_ENV=production redmine:fetch_changesets --trace*
Console shows:
<pre>
/usr/local/bundle/gems/htmlentities-4.3.1/lib/htmlentities/mappings/expanded.rb:465: warning: duplicated key at line 466 ignored: ""inodot""
** Invoke redmine:fetch_changesets (first_time)
** Invoke environment (first_time)
** Execute environment
** Execute redmine:fetch_changesets
rake aborted!
NoMethodError: undefined method `[]' for nil:NilClass
/usr/src/redmine/lib/redmine/scm/adapters/mercurial_adapter.rb:194:in `each_revision'
/usr/src/redmine/app/models/repository/mercurial.rb:187:in `block in fetch_changesets'
/usr/src/redmine/app/models/repository/mercurial.rb:186:in `step'
/usr/src/redmine/app/models/repository/mercurial.rb:186:in `fetch_changesets'
/usr/src/redmine/app/models/repository.rb:344:in `block (2 levels) in fetch_changesets'
/usr/local/bundle/gems/activerecord-4.2.5/lib/active_record/relation/delegation.rb:46:in `each'
/usr/local/bundle/gems/activerecord-4.2.5/lib/active_record/relation/delegation.rb:46:in `each'
/usr/src/redmine/app/models/repository.rb:342:in `block in fetch_changesets'
/usr/local/bundle/gems/activerecord-4.2.5/lib/active_record/relation/delegation.rb:46:in `each'
/usr/local/bundle/gems/activerecord-4.2.5/lib/active_record/relation/delegation.rb:46:in `each'
/usr/src/redmine/app/models/repository.rb:341:in `fetch_changesets'
/usr/src/redmine/lib/tasks/redmine.rake:47:in `block (2 levels) in <top (required)>'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:240:in `call'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:240:in `block in execute'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:235:in `each'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:235:in `execute'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:179:in `block in invoke_with_call_chain'
/usr/local/lib/ruby/2.2.0/monitor.rb:211:in `mon_synchronize'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:172:in `invoke_with_call_chain'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/task.rb:165:in `invoke'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:150:in `invoke_task'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:106:in `block (2 levels) in top_level'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:106:in `each'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:106:in `block in top_level'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:115:in `run_with_threads'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:100:in `top_level'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:78:in `block in run'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:176:in `standard_exception_handling'
/usr/local/bundle/gems/rake-10.5.0/lib/rake/application.rb:75:in `run'
/usr/local/bundle/gems/rake-10.5.0/bin/rake:33:in `<top (required)>'
/usr/local/bundle/bin/rake:16:in `load'
/usr/local/bundle/bin/rake:16:in `<main>'
Tasks: TOP => redmine:fetch_changesets
</pre>


<pre>
  Redmine version                3.1.3.stable
  Ruby version                   2.2.4-p230 (2015-12-16) [x86_64-linux-gnu]
  Rails version                  4.2.5
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.13
  Mercurial                      3.1.2
  Git                            2.1.4
  Bazaar                         2.7.0
  Filesystem                     
Redmine plugins:
  no plugin installed
</pre>"
23054,Redmine,Defect,"",Closed,Normal,Clearing time entry custom fields while bulk editing results in values set to __none__,Felix Sch?fer,Jean-Philippe Lang,2016-06-18 08:02,Time tracking,3.2.4,"","","",0,2016-06-13 11:46,2016-06-18 08:02,"",Fixed,"",""
23053,Redmine,Defect,"",Closed,Normal,Secure cookie not working,Rodrigo Valladares,"",2016-06-13 15:33,Security,"","","","",0,2016-06-13 11:42,2016-06-13 15:33,"","",2.6.5,"Hi,

I'm using Redmine 2.6.5. We've tried to set the redmine_session cookie as secure in application.rb like this:

<pre>
config.session_store :cookie_store, :key => '_redmine_session', :secure => true
</pre>

However, when we try to login in Redmine, a 422 error happens:

!error_422.png!

Is this the correct way to achieve this? Or is this solved in another version?

Thank you."
23051,Redmine,Defect,"",Closed,Normal,"Got Problem, And no resolution for this: Don't know how to build task 'test:scm:units' (see --tasks)",guidi zeng,"",2016-06-16 16:31,Issues,"","","","",0,2016-06-13 10:26,2016-06-13 15:37,"",Invalid,3.2.3,"when i installing redmine follow this link:[[http://www.redmine.org/projects/redmine/wiki/RedmineInstall]]
Environment:
   System: Linux version 3.10.0-327.10.1.el7.x86_64 (builder@kbuilder.dev.centos.org) (gcc version 4.
           8.3 20140911 (Red Hat 4.8.3-9) (GCC) ) #1 SMP Tue Feb 16 17:03:50 UTC 2016)

   Ruby:   ruby 2.2.5p319 (2016-04-26 revision 54774) [x86_64-linux]
   Rails 4.2.5.2
   rake, version 11.2.0

1. process database.yml
2. modify source to https://gems.taobao.org/ in Gemfile.
3. bundle install --without test development
   (completed: Bundle complete! 31 Gemfile dependencies, 56 gems now installed.)
4. bundle exec rake generate_secret_token
   [root@Kz redmine]# bundle exec rake generate_secret_token
   /usr/local/ruby2.2/lib/ruby/gems/2.2.0/gems/htmlentities-4.3.1/lib/htmlentities/mappings/e
   xpanded.rb:465: warning: duplicated key at line 466 ignored: ""inodot""rake aborted!
   Don't know how to build task 'test:scm:units' (see --tasks)
   /usr/local/redmine/lib/tasks/testing.rake:87:in `block (2 levels) in <top (required)>'
   /usr/local/redmine/lib/tasks/testing.rake:22:in `block in <top (required)>'
   /usr/local/redmine/lib/tasks/testing.rake:1:in `<top (required)>'
   /usr/local/redmine/Rakefile:7:in `<top (required)>'
   /usr/local/ruby2.2/bin/bundle:23:in `load'
   /usr/local/ruby2.2/bin/bundle:23:in `<main>'
   (See full trace by running task with --trace)
   [root@Kz redmine]# 

Some one can help me?"
23050,Redmine,Patch,"",Closed,Normal,Bulgarian translation (jstoolbar-bg.js),Ivan Cenov,"",2016-06-14 06:16,Translations,"","","","",0,2016-06-13 08:53,2016-06-14 06:16,"","","","Translated
* jsToolBar.strings['Highlighted code']"
23048,Redmine,Patch,"",Closed,Normal,Bulgarian translation (r15509),Ivan Cenov,"",2016-06-13 08:45,Translations,"","","","",0,2016-06-13 07:27,2016-06-13 07:48,"","","","Translated two strings related to #15880
* setting_new_item_menu_tab
* label_new_object_tab_enabled"
23046,Redmine,Patch,"",Closed,Normal,Traditional Chinese translation (to r15521),ChunChang Lo,"",2016-06-13 07:24,Translations,"","","","",0,2016-06-13 03:29,2016-06-13 07:24,"ÉRÉsÅ[å≥ #23013, ÉRÉsÅ[êÊ #23637","","","* New
** setting_new_item_menu_tab, label_new_object_tab_enabled
* Changed
** label_new_project_issue_tab_enabled
"
23044,Redmine,Defect,"",Closed,Normal,Typo in Azerbaijani general_lang_name,Go MAEDA,"",2016-06-13 07:23,Translations,3.3.0,"","","",0,2016-06-12 14:13,2016-06-13 07:23,ä÷òAÇµÇƒÇ¢ÇÈ #21692,Fixed,"","general_lang_name for az.yml should be ""Azerbaijani"". It was pointed out in #21692.

https://www.loc.gov/standards/iso639-2/php/code_list.php"
23040,Redmine,Patch,"",Closed,Normal,Japanese translation update (r15509),Go MAEDA,Toshi MARUYAMA,2016-06-12 08:54,Translations,"","","","",0,2016-06-11 09:45,2016-06-12 08:54,ä÷òAÇµÇƒÇ¢ÇÈ #15880,"","","Translated the following strings.

* setting_new_item_menu_tab
* label_new_object_tab_enabled"
23037,Redmine,Defect,"",New,Normal,500 error when posting on the forums,Stefan Langenmaier,Jean-Philippe Lang,2016-06-10 15:05,Website (redmine.org),"","","","",0,2016-06-10 15:05,"",ä÷òAÇµÇƒÇ¢ÇÈ #22085,"","","I want to post a reply here: http://www.redmine.org/boards/2/topics/48506/replies

But I always get an internal error."
23036,Redmine,Defect,"",Closed,Normal,Roadmap for redmine 3.2.x is missing,Marcin PY,"",2016-06-11 07:07,Roadmap,"","","","",0,2016-06-10 11:35,2016-06-11 07:07,"",Invalid,3.2.1,"There is no Roadmap tab in tabbed menu.
Even when I enable the Issue tracking according to :
http://www.redmine.org/projects/redmine/wiki/RedmineRoadmap

How can I fix it?"
23031,Redmine,Defect,"",Closed,Normal,CSS Wrong icon for details,C?sar Lizurey,"",2016-12-11 08:33,UI,"","","","",0,2016-06-09 23:12,2016-12-11 08:33,ä÷òAÇµÇƒÇ¢ÇÈ #24578,Wont fix,3.1.3,"Hello,
I'm currently developing a plugin for Redmine, and I saw that there may be a mistake regarding a class:

<pre>
.icon-details  { background-image: url(../images/zoom-in.png); }
</pre>

I would have written:

<pre>
.icon-details  { background-image: url(../images/magnifier.png); }
</pre>

Because ""zoom-in"" already exists here:

<pre>
.icon-zoom-in { background-image: url(../images/zoom_in.png); }
</pre>

And ""magnifier"" doesn't exist anywhere.
"
23027,Redmine,Patch,"",Closed,Normal,Lighter colors for revision info,Go MAEDA,"",2016-09-04 06:35,UI,"","","","",0,2016-06-09 11:38,2016-09-04 06:35,ä÷òAÇµÇƒÇ¢ÇÈ #23146,"","","In RepositoriesController#revision screen, it is a little bit hard to find commit messages because there are many detailed information (e.g. ID, Parent, Child). Probably commit message is important information for many people, I think it should be more obvious.

This patch set lighter colors for revision info like journal details (see #20370) to make commit messages more obvious.

!screenshot.png!"
23026,Redmine,Defect,"",Closed,Normal,Subject in Custom query not showing NESTED issues properly,Milan Prica,"",2016-07-02 15:05,Issues,"","","","",0,2016-06-09 11:18,2016-07-02 15:05,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #7417,Duplicate,"","I created a custom query to display my issues.

Subject shows issues in nested form, but not in every case.

In my example, an issue called ""Pagespeed test result"" has subtasks, and in the subject these tasks are shown as nested, which is ok.
However, an issue called ""Bug fixes"" which also has subtasks, these subtasks are not shown as nested in the subject.

Is this a defect?
"
23024,Redmine,Defect,"",Closed,Normal,Can we configure multiple redmine servers with Sprira.,riya chouksey,"",2016-06-09 10:23,Issues,"","","","",0,2016-06-09 10:18,2016-06-09 10:23,"",Invalid,"","We want to configure multiple redmine servers with Sprira. Please let us know the procedure for the same.

 

We could integrate only one redmine server after plugin installation. "
23021,Redmine,Patch,"",Closed,Normal,"fix Russian ""setting_thumbnails_enabled"" misspelling",Antonio Kless,"",2016-06-09 09:09,Translations,3.3.0,"","","",0,2016-06-09 00:36,2016-06-09 09:09,"","","","This is the fix for misspelling in Russian locale (use ""ÑrÑ|ÑÄÑwÑuÑ~ÑyÑu"" instead of ""ÑÅÑÇÑyÑ|ÑÄÑwÑuÑ~ÑyÑu"").

It was ""rejected on GitHub"":https://github.com/redmine/redmine/pull/81 so I bring it here.
"
23019,Redmine,Defect,"",New,Normal,Markdown doesn't recognize mails,kay rus,"",2017-06-04 05:38,Text formatting,"","","","",0,2016-06-08 18:19,"","","","","Redmine hides this email in markdown:

<pre>
<a_bc@def.com>
</pre>

But it doesn't hide this:


<pre>
<abc@def.com>
</pre>"
23017,Redmine,Defect,"",Closed,Normal,Notification had a header from an other ticket,Markus Oelsner,"",2016-06-09 09:17,"","","","","",0,2016-06-08 16:47,2016-06-09 09:17,"",Invalid,"","Hi,

maybe I found a bug?!

I get an notification from our redmine system with the header from an other ticket?! This was the first time...

The entrys below these 2 tickets are wrightm, but not the notification I've received.

"
23013,Redmine,Patch,"",Closed,Normal,Traditional Chinese translation (to r15493),ChunChang Lo,"",2016-06-08 13:01,Translations,"","","","",0,2016-06-08 12:15,2016-06-08 13:01,ÉRÉsÅ[êÊ #23046,"","","* New
** error_no_tracker_allowed_for_new_issue_in_project, label_tracker_all
"
23010,Redmine,Defect,"",Needs feedback,Normal,ActiveRecord::StaleObjectError in issue bulk update,Steven Wong,"",2016-06-29 15:15,Issues,"","","","",0,2016-06-08 09:58,"","","",3.2.2,"I used the issue list, and select all issue.
then right click and choose assign to someone , then loading for long time and at last occured an blank page.

I checked the log as follows:

<pre>
F, [2016-06-08T15:54:36.314677 #1660] FATAL -- : 
ActiveRecord::StaleObjectError (Attempted to update a stale object: Issue):
  app/models/issue.rb:182:in `create_or_update'
  app/controllers/issues_controller.rb:292:in `block in bulk_update'
  app/controllers/issues_controller.rb:278:in `each'
  app/controllers/issues_controller.rb:278:in `bulk_update'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
</pre>



"
