#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
28209,Redmine,Defect,"",Closed,Normal,cannot download attachment .vsd,ìΩñºÉÜÅ[ÉUÅ[,"",2018-02-18 18:55,"","","","","",0,2018-02-18 16:58,2018-02-18 18:55,"",Invalid,"","I have some problem with my Redmine server.

I have some attachments file that formated from visio (.vsd documents).

Where the file downloaded from our server, this is the production.log in the server :

<pre>
Started GET ""/redmine/dmsf/files/2427/download"" for 114.124.141.205 at 2018-02-18 22:51:36 +0700
Processing by DmsfFilesController#show as HTML
  Parameters: {""download""=>"""", ""id""=>""2427""}
  Current user: harapan (id=124)
2018-02-18 22:51:36 harapan@114.124.141.205/: downloaded dmsf://crt/2427/4802
Sent file /var/www/redmine/files/dmsf/p_crt/170924140613_2427_Compositional_Tpc_and_Ppc.vsd (0.1ms)
Completed 200 OK in 40.3ms (ActiveRecord: 23.3ms)
</pre>

but in the browser don't download anything

how to resolve this issues?"
28208,Redmine,Defect,"",Closed,Normal,Anonymous icon is wrongly displayed when assignee is a group,Go MAEDA,Jean-Philippe Lang,2018-04-07 09:30,UI,3.3.7,"","","",0,2018-02-18 03:03,2018-04-07 09:30,"ä÷òAÇµÇƒÇ¢ÇÈ #26699, ä÷òAÇµÇƒÇ¢ÇÈ #28204",Fixed,3.3.6,"When the assignee of an issue is a group, an icon for an anonymous user is wrongly displayed. This behavior misleads as if the assignee is an anonymous user.

I think there are two solutions:
1. Display an icon representing groups.
2. Don't display any icon (same behavior with Redmine 3.4.3 and earlier)

!{width: 500px; border: 1px solid #ccc}.wrong-icon@2x.png!"
28207,Redmine,Patch,"",Closed,Normal,Test improvements for footnotes formatting syntax,Mischa The Evil,Go MAEDA,2018-03-02 06:00,Text formatting,4.0.0,"","","",0,2018-02-18 00:05,2018-03-02 06:00,ä÷òAÇµÇƒÇ¢ÇÈ #16072,"","","_This originates from #28119#note-2._

# We might want to add a simple test (like ""@ApplicationHelperTest#test_footnotes@"":/projects/redmine/repository/revisions/17198/entry/trunk/test/helpers/application_helper_test.rb#L1051, but than in source:trunk/test/unit/lib/redmine/wiki_formatting/markdown_formatter_test.rb) for markdown footnotes as enabled per #16072.
# And while looking at the above, the question of 'how many other textile syntax tests are there remaining, lurking outside of source:/trunk/test/unit/lib/redmine/wiki_formatting/textile_formatter_test.rb and what do we want to do with them?' came up...
** The answer to the first part would be 'several' (among them e.g. @ApplicationHelperTest#test_footnotes@). My answer to the second part of the question would be 'move them to the dedicated @TextileFormatterTest@ class'.

I'll leave two patches against source:/trunk@17198:
* _0001-Add-footnotes-test-for-markdown-formatter-16072.patch_
** This patch adds a footnotes test for the markdown formatter (@MarkdownFormatterTest#test_footnotes@).
* _0002-Move-textile-footnotes-test-to-TextileFormatterTest.patch_
** This patch moves @ApplicationHelperTest#test_footnotes@ to become @TextileFormatterTest#test_footnotes@.

In case there is consensus on my answer to the question raised under point 2, I'll open a dedicated container issue for it.

Note: I won't target this issue to any version, as I don't think this is of any use for the changelogs.
"
28205,Redmine,Defect,"",New,Normal,Wrong values in status combo,Albrecht Dre?,"",2018-02-17 15:32,Issues workflow,"","","","",0,2018-02-17 15:32,"","","",3.3.1,"I would like to have the following configuration for the workflow of a _Reporter_:

# [s]he may only create or re-open a closed ticket;
# if a ticket is in state ÅhFeedbackÅh, [s]he may edit the ticket, and the next state *must* be _In Progress_.

So I gave the Reporter Role the issue tracking permissions (inter alia) ÅgEdit issuesÅh and ÅgAdd notesÅh, and configured the workflow as in the attached screenshot ÅgConfig.pngÅh.

However, when a user with role Reporter now edits a ticket in state ÅhFeedbackÅh for which [s]he is the assignee, the combo for ÅgStatusÅh (see screenshot ÅgResult.pngÅh) shows both the ÅgrequiredÅh next state (_In Progress_) *and* the current state (_Feedback_) as possible values.  But the latter should actually not be allowed according to the configuration.

Did I miss something in the configuration, or is this a bug (or feature)?

My environment, on a standard Debian Stable (Stretch) box:
* Redmine version: 3.3.1.stable
* Ruby version: 2.3.3-p222 (2016-11-21) [x86_64-linux-gnu]
* Rails version: 4.2.7.1
* Environment: production
* Database adapter: PostgreSQL
"
28204,Redmine,Defect,"",Closed,Normal,Too large avatar breaks gantt when assignee is a group,Go MAEDA,Go MAEDA,2018-02-18 06:31,Gantt,3.3.7,"","","",0,2018-02-17 10:37,2018-02-18 06:31,"ä÷òAÇµÇƒÇ¢ÇÈ #26699, ä÷òAÇµÇƒÇ¢ÇÈ #28208",Fixed,3.3.6,"A 128px wide avatar icon breaks gantt view when the assignee of an issue is a group and ""Use Gravatar user icons"" setting is enabled.

!{width: 525px}.too-large-icon@2x.png!

The problem is introduced in Redmine 3.3.6 and 3.4.4 by #26699. The cause is that the HTML doesn't include ""width"" and ""height"" option because image_tag in Rails 4 doesn't accept an integer value for "":size"" option (Rails 5 accepts both integer and string value, so the current trunk is not affected).


Redmine 3.4 (img element doesn't have ""width"" and ""height"" attributes):
<pre>
<img alt="""" title=""Assignee: A Team"" class=""gravatar icon-gravatar"" default=""default"" src=""/images/anonymous.png?1518850381"">
</pre>

The current trunk (img element has ""width"" and ""height"" attributes):
<pre>
<img alt="""" title=""Assignee: A Team"" class=""gravatar icon-gravatar"" default=""default"" src=""/images/anonymous.png?1517405352"" width=""13"" height=""13"">
</pre>"
28193,Redmine,Defect,"",New,Normal,watcher list can not be edited after issue is created,Uro? Malen?ek,"",2018-02-15 13:01,Issues,"","","","",0,2018-02-15 12:50,"","","",3.4.4,"Watcher list can be edit only at creation time.

There is missing parameter presentation on the issue view with its walues and edit triggers.
In the roles and permissions all watchers switches are enabled (view, add, delete)."
28192,Redmine,Defect,"",Closed,Normal,Fix typo in German label_font_monospace,Andreas Deininger,Go MAEDA,2018-03-02 09:30,Translations,3.4.5,"","","",0,2018-02-15 12:15,2018-03-02 09:30,"",Fixed,3.4.0,I just came across a small glitch in the German translation that I would like so see fixed.
28191,Redmine,Patch,"",New,Normal,Extend roles API with all additional fields,Alex Stanev,"",2018-03-10 05:49,REST API,Candidate for next major release,"","","",0,2018-02-14 15:38,"","","","","Currently we are missing global roles fields: assignable, issues_visibility, time_entries_visibility and users_visibility. The assignable one is pretty useful when editing issue via API."
28190,Redmine,Defect,"",New,High,Apache passenger stopped work after upgrade passenger from 5.1.12 to 5.20,Karen Arzumanyan,"",2018-02-14 13:03,Administration,"","","","",0,2018-02-14 12:05,"","","",3.2.1,"After upgrade Apache module Passenger from 5.1.12 to 5.2.0 Apache doesn't start properly and exit with the error

@# apache2ctl configtest
Invalid command 'PassengerResolveSymlinksInDocumentRoot', perhaps misspelled or defined by a module not included in the server configuration@
After comment string in Apache virtual host

@# PassengerResolveSymlinksInDocumentRoot on@
Apache starts but Redmine doesn't work showing listing directoty/files insted of main page(another words can't find index file)

OS: Ubuntu 14.04.5 LTS

*PassengerResolveSymlinksInDocumentRoot*
This option has been removed in 5.2.0 version according to
https://blog.phusion.nl/2018/01/29/passenger-5-2-0/

How to install instruction (https://www.redmine.org/projects/redmine/wiki/HowToInstallRedmineOnUbuntuServer) is incorrect now.
Detail: https://stackoverflow.com/questions/48623209/apache-passenger-stopped-work-after-upgrade-passenger-from-5-1-12-to-5-20"
28189,Redmine,Defect,"",Needs feedback,Normal,Subprojects don't appear under the rights projects,Amine Mazouz,"",2018-02-14 19:58,Projects,"","","","",0,2018-02-14 11:39,"","","","","Hello,

I have a problem with Redmine. my projects tree seems completely random. Most of my subprojects appear under the wrong projects. Eventhough in the settings of the subprojects, the parent project is well set, the projects tree is completely different (see image attached). This is very problematic for my tickets management with Agile board.

Thanks in advance for your help,"
