#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
20646,Redmine,Defect,"",New,Normal,Maximum attachment size displayed/labeled incorrectly,mathew murphy,"",2015-09-14 18:54,UI,"","","","",0,2015-08-31 23:22,"","","","","I set maximum attachment size to 5000KB in Settings, since I wanted a maximum of 5MB.

However, the 'new issue' form displays the maximum size as 4.88MB.

I can see three possibilities here:

1. The form should say 4.77MiB, but is calculating incorrectly.
2. The form should say 5MB.
3. The settings field should be relabeled to specify that the maximum file size is in KiB, not KB.

Since I use Linux and OS X, and generally care about how file sizes relate to disk space (which hardware manufacturers measure in base 10), my preference would be for KB/MB/GB throughout.

However, you might want to go with KiB/MiB/GiB for the benefit of Windows users, unless Microsoft has fixed the display of file sizes in Windows 10.

Link for the unconvinced: <http://lpar.ath0.com/2008/07/15/si-unit-prefixes-a-plea-for-sanity/>"
20645,Redmine,Defect,"",Closed,Normal,How can I create a new project for discussion,hien bui,"",2015-09-01 00:19,"","","","","",0,2015-08-31 19:14,2015-09-01 00:19,"",Invalid,3.1.0,"How can I create a new project for discussion?
This website is just demo version, isn't it?"
20638,Redmine,Defect,"",Closed,Normal,Plugins not working with Redmine 3.1.0,4zNzTRvC K6yjVLSX,"",2015-08-31 00:38,"","","","","",0,2015-08-30 21:24,2015-08-31 00:38,"",Invalid,"","When trying to install the 'scrum' plugin.
I ran rake, as instructed:
rake redmine:plugins:migrate RAILS_ENV=test
the output:
Migrating scrum (Scrum Redmine plugin)...

However, it does not show in Administration, Plugins.
And also the /plugin/<name> folder structure is not used between /site/,/apps/ when trying to find resources:

Showing /srv/www/vhosts/redmine-test.domain.name/site/app/views/layouts/base.html.erb where line #14 raised:
Missing partial scrum_hooks/_head with {:locale=>[:en], :formats=>[:html], :variants=>[], :handlers=>[:erb, :builder, :raw, :ruby, :rsb]}. Searched in:
  * ""/srv/www/vhosts/redmine-test.domain.name/site/app/views""

Perhaps I am missing some instructions here?
http://www.redmine.org/projects/redmine/wiki/Plugins
"
20637,Redmine,Defect,"",Closed,High,#16353 broke email notification layout in Outlook,Sebastian Paluch,"",2015-08-31 08:56,Email notifications,"","","","",0,2015-08-30 18:21,2015-08-31 00:36,次のチケットと重複 #20466,Duplicate,3.1.0,"The new notification email format/layout introduced in #16535 does not work in Outlook, the outer div is not centered and has no background color while other spans do.


!email.png!"
20636,Redmine,Defect,"",Closed,Normal,Internal error when you submit and invalid character,Alberto Menendez Romero,"",2015-12-14 11:41,Issues,"","","","",0,2015-08-30 04:08,2015-12-14 11:41,"",No feedback,3.0.4,"System doesn't validate the charset in the description field. This might carry on to Internal error when you submit something like ? (with invalid tilde).

Error details:
-------------------------------
Internal error

An error occurred on the page you were trying to access.
If you continue to experience problems please contact your Redmine administrator for assistance.

If you are the Redmine administrator, check your log files for details about the error.

Back
------------------

Thanks."
20633,Redmine,Defect,"",Closed,Normal,Help cursor showing up since r14154,Martin Dub?,Jean-Philippe Lang,2015-09-12 14:31,UI,3.1.1,"","","",0,2015-08-28 21:46,2015-09-12 14:31,関連している #19296,Fixed,3.1.0,Change in stylesheet in r14154 (added span[title]) make a help cursor (and dotted line) appear at various places.
20632,Redmine,Patch,"",Closed,Normal,Tab left/right buttons for project menu,Felix Gliesche,Jean-Philippe Lang,2016-06-21 09:11,UI,3.3.0,"","","",0,2015-08-28 17:26,2016-03-15 23:08,"関連している #13892, 関連している #9275, 関連している #6624, ブロックされている #20271","","","On small screens with many tabs in the project navigation the tabs of the far right are not visible. It would be nice if the tabs can be scrolled left / right like in the second level navigation (e.g. project settings). 

This patch introduces this feature. It uses the same javascript as the second level navigation.

In order for this to work, you need the the patch attached to #20271"
20630,Redmine,Defect,"",New,Normal,Repeat table header in wiki exports,Antonio Exp?sito,"",2015-08-28 09:46,PDF export,"","","","",0,2015-08-28 09:46,"","","","","In wiki export to pdf, there is no way to indicate that the header has to be repeated on every page.

!Table_wiki.png!


If found this, but it doesn't work with Redmine:

http://txstyle.org/doc/15/tables
2) HTML5 requires the use of a <thead> tag. A <tfoot> tag is optional.

*The <thead> tag is added when |^. above and |-. below the heading are used.*

|^.
|_. First Header |_. Second Header |
|-.
| Content Cell | Content Cell |
| Content Cell | Content Cell |

The <tfoot> tag is added when |~. above and |-. below the footer are used.

|~.
|\2=. A footer, centered & across two columns |
|-.
| Content Cell | Content Cell |
| Content Cell | Content Cell |"
20628,Redmine,Defect,"",Closed,Normal,Standard field (Due Date) for Redmine not showing as required.,Rafael Neves,"",2015-10-16 07:14,Issues workflow,"","","","",0,2015-08-27 19:40,2015-10-16 07:14,次のチケットと重複 #11887,Duplicate,2.6.2,"I´m using Redmine 2.6.2. Logged as admin user, standard field (Due Date) not required when adding a new issue, despite having set up as required on workflow field permission.

I mean, When logged as other user (not admin) it works fine  (appears an red asterisk besides Due Date field), but i need to prevent ALL users to not forget to fill due date, even they are admin users.  Is that a bug ? Possible to fix it ?

Thanks!"
20621,Redmine,Defect,"",Closed,Normal,Internal Server Error when creating/copying issues,Jurgen Reniers,"",2015-09-09 09:45,Issues,"","","","",0,2015-08-26 15:41,2015-09-09 09:45,"",Invalid,3.1.0,"I have upgraded from Redmine 2.5.2 to 3.1.0 and I'm currently running into an Internal Server Error when creating/copying issues. The @log/production.log@ shows:

<pre>
NameError (undefined method `_run_save_callbacks' for class `Issue'):
  app/models/issue.rb:175:in `create_or_update'
  app/controllers/issues_controller.rb:141:in `create'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
</pre>

*Configuration Info*

<pre>
Environment:
  Redmine version                3.1.0.stable
  Ruby version                   1.9.3-p392 (2013-02-22) [i686-linux]
  Rails version                  4.2.3
  Environment                    production
  Database adapter               PostgreSQL
SCM:
  Subversion                     1.6.17
  Cvs                            1.12.13
  Git                            1.7.10.4
  Filesystem                     
Redmine plugins:
  redmine_agile                  1.3.10
  redmine_better_gantt_chart     0.9.0
  redmine_checklists             3.1.1
  redmine_github_hook            2.2.0
  redmine_gitlab_hook            0.1.3
  redmine_issue_templates        0.1.0
  redmine_mylyn_connector        2.8.2.stable
  redmine_spent_time             3.0.2
  redmine_stealth                0.6.0
  redmine_testlinklink           1.0.0
  redmine_wiki_extensions        0.7.0
  redmine_wiki_lists             0.0.6
</pre>"
20619,Redmine,Defect,"",Closed,Normal,When incomming mail has invalid journal id the mail is ignored,Erlend ter Maat,"",2015-08-27 00:51,Email receiving,"","","","",0,2015-08-26 08:48,2015-08-27 00:51,"","",3.1.0,"Incomming mail - replies to issue notifications - may contain an email header with a journal id.

In some cases the journal-id does not exist in the database. I asume this can be due to system crash or some other kind of inconsistency.

When the journal ID is not found in the database the email is ignored and processing continues the next mail.

I think better handling would be to at least process the email as a new issue, then it would be noticed in the webinterface at the moment of sending, instead of when the sender complains about an unnoticed email message.

Please add dispatch_to_default to the receive_XXX_reply functions at app/models/mail_handler.rb

This affects all versions."
20609,Redmine,Defect,"",New,Normal,Double click on send/save in time tracking results in double entries,A W,"",2015-09-10 18:26,Time tracking,"","","","",0,2015-08-25 10:48,"","","","","

Hello,

In our redmine we have an issue with adding entries to the time tracking. As we use it in german language I can not give you the exact names. In a ticket and in time tracking directly, a double click on send/save results in double entries. Is that a known issue? How can this be fixed?
I added screenshots of the form and the result when save ist double clicked.

And as the first two screenshots are out of a plugin I added two from adding time in a ticket.

Please let me know in case you need more information!

Our system info:

About your application's environment
Ruby version 1.8.7 (x86_64-linux)
RubyGems version 1.3.7
Rack version 1.1.3
Rails version 2.3.14
Active Record version 2.3.14
Active Resource version 2.3.14
Action Mailer version 2.3.14
Active Support version 2.3.14
Application root /srv/redmine-1.3
Environment production
Database adapter mysql
Database schema version 20110902000000

About your Redmine plugins
Stuff To Do Plugin 0.4.0
Redmine Carousel plugin 1.0.1
Timesheet Plugin 0.6.0
Redmine Time Tracker plugin 0.4
Bulk Time Entry 0.5.0


PS: Same issue in current versions of redmine, tested with version 2.6"
20598,Redmine,Defect,"",New,Normal,Plugin ratings with zero stars not possible,Jan from Planio www.plan.io,Jean-Philippe Lang,2015-09-06 18:51,Website (redmine.org),"","","","",0,2015-08-23 11:41,"","","","","I tried giving the ""Custom Workflows"":http://www.redmine.org/plugins/custom-workflows plugin a zero-star rating because of my security concerns. Unfortunately, my rating was not saved. When I repeated the rating with 1 star, it was saved.

Assigning this directly to you, Jean-Philippe, because I think no one else can fix this, or is the code for the plugin directory available somewhere?"
20597,Redmine,Defect,"",New,Normal,Ajax indicator is displayed below modal boxes,Nicolas Rodriguez,"",2015-08-26 06:15,UI,"","","","",0,2015-08-23 06:19,"","","","","z-index should be set to a higher value than 100 to be displayed correcly.
"
20592,Redmine,Defect,"",Closed,Normal,Issue Default Status is gone,J K,"",2015-08-26 15:55,"","","","","",0,2015-08-21 14:20,2015-08-21 14:46,"",Invalid,"","Hey guys.

Has the default issue status been removed in the 3.1 release? The backlog plugin (http://www.redminebacklogs.net/) is trying to use the method @is_default?@ but it's not defined anymore. Furthermore look at the screenshot please:

!{width:90%}redmineFehler.png!

If I remember correctly, there was a column for the default status, or am I wrong?

Can somebody light me up a bit?

Thank you!"
20591,Redmine,Defect,"",Closed,Normal,PDF export does not determine picture (.png) height correctly,Marwijn Hessel,"",2015-11-07 14:09,PDF export,2.6.8,"","","",0,2015-08-21 14:03,2015-11-07 14:09,"",Fixed,3.1.0,"When exporting a redmine page as PDF. Somehow the height of pictures (.png) is not determined correctly. When there are more pictures on a page, in the PDF export these are laying on top of each other (see example in attachment)."
20589,Redmine,Patch,"",Closed,Normal,Activate sudo mode after password based login,Jens Kr?mer,Jean-Philippe Lang,2015-10-01 19:07,Accounts / authentication,3.2.0,"","","",0,2015-08-21 11:07,2015-10-01 19:07,"","","","We found that users get confused / annoyed when they just logged in and sudo mode requires their password again if they wanted to perform some administrative action.

Therefore this patch activates the sudo mode for the configured time span if the user logged in using username/password.

"
20583,Redmine,Defect,"",Closed,Normal,Setting Category/Version as a required field causes error in projects without categories/versions,Robert Barnebeck,Jean-Philippe Lang,2015-10-24 08:23,Issues workflow,3.2.0,"","","",0,2015-08-20 16:49,2015-10-24 08:23,関連している #18004,Fixed,2.5.3,"When I go to ""Administration"" --> ""Workflow"" --> ""Fields permissions"", then I can set the ""Category"" as required. The effect now is, that when I create or edit an issue, the field ""Category"" is required.

But if the project has no defined categories, this validation accidently tells me, that no category is selected. In my opinion the validation should only check in projects, where one ore more categories are present."
20582,Redmine,Defect,"",Closed,Normal,Redmine Timesheets Application - Installation,Balasubramaniyan Baskaran,"",2015-08-21 01:13,"","","","","",0,2015-08-20 16:24,2015-08-21 01:13,"",Invalid,2.4.2,"I'm trying to install Redmine Timesheets Application plugin as mentioned in the link below:

https://www.redmine.org/plugins/redmine_app_timesheets

But I was not able to find the option Order management in the redmine.

As anyone guide me to solve this issue."
20565,Redmine,Defect,"",Closed,Low,Search and get a 404 page when adding a new project,diguang xiao,Jean-Philippe Lang,2015-09-20 13:50,Search engine,3.2.0,"","","",0,2015-08-19 12:44,2015-09-20 13:50,"",Fixed,3.1.0,"Steps to recurrence the problem:

# Goto page /projects/new (Add a new project)
# Click the Search link on the top-right of the page (Or just input some key word and press Enter key)
# Now, you got a 404 page

Reason, in this scenario, search is linked to /projects//search instead of /search."
