#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
16460,Redmine,Defect,"",Closed,Normal,"Missing ""Add Watchers"" in edit issue",Andrea Ludin,"",2014-03-29 15:56,Issues,"","","","",0,2014-03-28 12:07,2014-03-29 15:56,"",Invalid,2.5.0,"In 2.5.0 there seems to be no way to add watcher to an already +existing+ issues.

In 2.5.0 is it is possible to add watcher to a +new+ issue with:

Watchers _Search for watchers to add_ 

This link seems to be missing for editing issues.



<pre>
# ruby script/about

sh: 1: darcs: not found
sh: 1: hg: not found
sh: 1: cvs: not found
sh: 1: bzr: not found
Environment:
  Redmine version                2.5.0.stable
  Ruby version                   1.9.3-p327 (2012-11-10) [x86_64-linux]
  Rails version                  3.2.17
  Environment                    production
  Database adapter               PostgreSQL
SCM:
  Subversion                     1.6.17
  Git                            1.7.9.5
  Filesystem                     
Redmine plugins:
  redmine_issue_templates        0.0.6

</pre>

(""Roles and permissions"" are set for ""Add watchers"".)"
16457,Redmine,Defect,"",Closed,Normal,Can't uninstall the plugin CRM,ilhami visne,"",2014-03-29 16:32,"","","","","",0,2014-03-28 11:11,2014-03-29 16:32,"",Invalid,2.5.0,"Hi,

I could successfully installed the plugin CRM (http://www.redmine.org/plugins/contacts). After i played a little with it, i have wanted to uninstall it.


My system: Ruby 2.0, Redmine 2.5, Rails 3.2, Ubuntu 12.04

<pre>
>rake redmine:plugins:migrate NAME=redmine_contacts VERSION=0 RAILS_ENV=production --trace

** Invoke redmine:plugins:migrate (first_time)
** Invoke environment (first_time)
** Execute environment
** Execute redmine:plugins:migrate
Migrating redmine_contacts (Redmine CRM plugin)...
==  CreateAddresses: reverting ================================================
rake aborted!
An error has occurred, all later migrations canceled:

ActiveRecord::IrreversibleMigration/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration/command_recorder.rb:42:in `block in inverse'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration/command_recorder.rb:40:in `map'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration/command_recorder.rb:40:in `inverse'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:401:in `block (3 levels) in migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:358:in `revert'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:400:in `block (2 levels) in migrate'
/usr/local/lib/ruby/2.0.0/benchmark.rb:281:in `measure'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:399:in `block in migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/connection_adapters/abstract/connection_pool.rb:129:in `with_connection'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:389:in `migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:528:in `migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:720:in `block (2 levels) in migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:777:in `call'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:777:in `ddl_transaction'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:719:in `block in migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:700:in `each'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:700:in `migrate'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:574:in `down'
/usr/local/lib/ruby/gems/2.0.0/gems/activerecord-3.2.17/lib/active_record/migration.rb:555:in `migrate'
/opt/redmine-all/lib/redmine/plugin.rb:452:in `migrate_plugin'
/opt/redmine-all/lib/redmine/plugin.rb:424:in `migrate'
/opt/redmine-all/lib/redmine/plugin.rb:435:in `migrate'
/opt/redmine-all/lib/tasks/redmine.rake:126:in `block (3 levels) in <top (required)>'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:236:in `call'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:236:in `block in execute'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:231:in `each'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:231:in `execute'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:175:in `block in invoke_with_call_chain'
/usr/local/lib/ruby/2.0.0/monitor.rb:211:in `mon_synchronize'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:168:in `invoke_with_call_chain'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/task.rb:161:in `invoke'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:149:in `invoke_task'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:106:in `block (2 levels) in top_level'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:106:in `each'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:106:in `block in top_level'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:115:in `run_with_threads'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:100:in `top_level'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:78:in `block in run'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:165:in `standard_exception_handling'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/lib/rake/application.rb:75:in `run'
/usr/local/lib/ruby/gems/2.0.0/gems/rake-10.1.1/bin/rake:33:in `<top (required)>'
/usr/local/bin/rake:23:in `load'
/usr/local/bin/rake:23:in `<main>'
Tasks: TOP => redmine:plugins:migrate
</pre>

Thanks,Ilhami

P.S.: I'm not sure if this is the right place about 3rd party plugins issues."
16453,Redmine,Patch,"",Closed,Normal,Czech localisation,Karel Pi?man,"",2014-03-28 15:39,Translations,2.5.1,"","","",0,2014-03-28 09:39,2014-03-28 15:39,"","","",Czech localisation of the new not yet translated texts of the version 2.5.
16451,Redmine,Defect,"",Closed,Normal,Incomprehensible number of issues returned from REST API (issues.json),TipTop Labs,"",2014-03-29 15:42,REST API,"","","","",0,2014-03-28 06:17,2014-03-29 15:42,"",Invalid,"","I am looking at a public Redmine project at http://www.hostedredmine.com/projects/hosted-redmine/roadmap

It currently lists 2 versions and 59 + 77 = 156 issues.

When I query issues at http://www.hostedredmine.com/projects/hosted-redmine/issues.json I get only 32 (i.e. total_count with limit 25) and it is unclear to me how the selection is made.

Is this a feature or a bug? How can one retrieve all issues in a project with multiple versions?"
16449,Redmine,Defect,"",Closed,Normal,Random error when I set the parent task,Diego Tiemann,"",2014-04-25 13:44,Issues,"","","","",0,2014-03-28 00:04,2014-04-25 13:44,"","",2.5.0,"Sometimes, when I tell a parent task to a issue, the system displays the error: 

""Invalid parent task', as the attached image."
16447,Redmine,Defect,"",Closed,Normal,Wrong information in http://www.redmine.org/plugins/resource-management-utilization,xai xai,"",2014-03-28 11:09,Wiki,"","","","",0,2014-03-27 17:18,2014-03-28 11:07,"",Invalid,"","There's wrong information on page
    http://www.redmine.org/plugins/resource-management-utilization

It's said:
<pre>Compatible with:	 Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x</pre>

However on the site of the developer it's said:
<pre>Extensions work only with Easy Redmine, not default Redmine, it is not sale policy, it is by design</pre>"
16446,Redmine,Patch,"",Closed,Normal,Generate full URLs to images and linked pages in the Wiki HTML export,Holger Just,Go MAEDA,2018-03-08 08:02,Wiki,4.0.0,"","","",0,2014-03-27 16:30,2018-03-08 08:02,"ä÷òAÇµÇƒÇ¢ÇÈ #3228, ä÷òAÇµÇƒÇ¢ÇÈ #20910","","","The HTML export of wiki pages does not generate full links which makes them about useless in the actual standalone HTML document.

The attached patch changes the export so that full URLs are generated for generated links including @src@ attributes in images. This leads to the correct image attachmentss being referenced in the HTML page, which however might still require authentication.

The proposed solution is more correct than the current one but much simpler than the one proposed in #3228."
16441,Redmine,Defect,"",New,Normal,"update issue custom field multiple ,not show all detail in journalized",alfa zhang,"",2014-04-25 03:25,Custom fields,"","","","",0,2014-03-27 10:16,"","","",2.5.0,"Environment:
  Redmine version                2.5.0.stable
  Ruby version                   1.8.7-p352 (2011-06-30) [x86_64-linux]
  Rails version                  3.2.17
  Environment                    production
  Database adapter               Mysql2
SCM:
  Filesystem                     
Redmine plugins:
  no plugin installed


I add a custom field list(AAA/BBB/CCCC) which multiple is TRUE
when user update this custom field value from AAA/CCC to AAA/BBBB
journalized only show he added BBBB,not show he deleted CCC

I fixed  by this:

@# diff  /root/soft/redmine-2.5.0/app/helpers/issues_helper.rb fixed/app/helpers/issues_helper.rb@
@284,285c284,285@
@<         strings << show_detail(detail, no_html, options)@
@<       elsif changes[:deleted].any?@@
@---@
@>       end@
@>       if changes[:deleted].any?@
@287d286@
@<         strings << show_detail(detail, no_html, options)@
@288a288@
@>       strings << show_detail(detail, no_html, options)@


"
16437,Redmine,Patch,"",Closed,Normal,Parent task is not wrapped in the Issues list,Jun NAITOH,"",2014-11-04 21:19,Issues,"","","","",0,2014-03-27 00:02,2014-11-04 21:19,ä÷òAÇµÇƒÇ¢ÇÈ #13673,"","","Parent task is not wrapped.

* Redmine 2.5.0
!issues_before.png!

* after patch
!issues_after.png!

h3. patch for Redmine 2.5.0
<pre><code class=""css"">
--- public/stylesheets/application.css_org	2014-03-26 10:00:36.628506522 +0900
+++ public/stylesheets/application.css	2014-03-26 10:50:02.510459804 +0900
@@ -125,7 +125,7 @@
 table.list th {  background-color:#EEEEEE; padding: 4px; white-space:nowrap; }
 table.list td {text-align:center; vertical-align:top; padding-right:10px;}
 table.list td.id { width: 2%; text-align: center;}
-table.list td.name, table.list td.description, table.list td.subject, table.list td.comments, table.list td.roles {text-align: left;}
+table.list td.name, table.list td.description, table.list td.subject, table.list td.parent, table.list td.comments, table.list td.roles {text-align: left;}
 table.list td.tick {width:15%}
 table.list td.checkbox { width: 15px; padding: 2px 0 0 0; }
 table.list td.checkbox input {padding:0px;}
@@ -150,7 +150,7 @@
 tr.project.idnt-9 td.name {padding-left: 12.5em;}
 
 tr.issue { text-align: center; white-space: nowrap; }
-tr.issue td.subject, tr.issue td.category, td.assigned_to, tr.issue td.string, tr.issue td.text, tr.issue td.relations { white-space: normal; }
+tr.issue td.subject, tr.issue td.parent, tr.issue td.category, td.assigned_to, tr.issue td.string, tr.issue td.text, tr.issue td.relations { white-space: normal; }
 tr.issue td.relations { text-align: left; }
 tr.issue td.done_ratio table.progress { margin-left:auto; margin-right: auto;}
 tr.issue td.relations span {white-space: nowrap;}
</code></pre>

h3. My environment

CentOS 6.0

<pre>
# ruby script/about

sh: darcs: command not found
sh: bzr: command not found
Environment:
  Redmine version                2.5.0.stable
  Ruby version                   1.9.3-p392 (2013-02-22) [i686-linux]
  Rails version                  3.2.17
  Environment                    production
  Database adapter               SQLite
SCM:
  Subversion                     1.6.11
  Mercurial                      1.4
  Git                            1.7.1
  Filesystem                     
Redmine plugins:
  no plugin installed
</pre>"
16432,Redmine,Defect,"",Closed,Normal,"Export CSV : simple quotes replaced by ""?"" in description",Johan Guilbaud,"",2014-04-08 14:15,"","","","","",0,2014-03-26 10:05,2014-04-08 12:09,"",Invalid,"","Hello
When exporting in CSV with descriptions
""'"" are replaced by ""?"""
