#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
23449,Redmine,Defect,"",Closed,Normal,NoMethodError (undefined method `where' for,Rainer Rutka,"",2016-07-29 02:27,Search engine,"","","","",0,2016-07-27 18:10,2016-07-29 02:27,"",Invalid,3.2.0,"When i try to search for a string in RM 3.2 I get an error:

Internal error

An error occurred on the page you were trying to access.
If you continue to experience problems please contact your Redmine administrator for assistance.

If you are the Redmine administrator, check your log files for details about the error.

--
This is an excerpt from the log:

<pre>
redmine@projects:/srv/redmine/ror/log$ cat sea*
Processing by SearchController#index as HTML
  Parameters: {""utf8""=>""?"", ""q""=>""Rainer""}
  Current user: rainer.rutka (id=678)
Completed 500 Internal Server Error in 661ms (ActiveRecord: 467.5ms)

NoMethodError (undefined method `where' for #<Hash:0x007f3e16f5d740>):
  lib/plugins/acts_as_searchable/lib/acts_as_searchable.rb:93:in `search_result_ranks_and_ids'
  lib/redmine/search.rb:127:in `block in load_result_ids'
  lib/redmine/search.rb:125:in `each'
  lib/redmine/search.rb:125:in `load_result_ids'
  lib/redmine/search.rb:115:in `block in load_result_ids_from_cache'
  lib/redmine/search.rb:114:in `load_result_ids_from_cache'
  lib/redmine/search.rb:99:in `result_ids'
  lib/redmine/search.rb:70:in `result_count'
  app/controllers/search_controller.rb:65:in `index'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
redmine@projects:/srv/redmine/ror/log$
</pre> 

My configs:

<pre>
Environment:
  Redmine version        3.2.0.stable.15148
  Ruby version                   2.1.5-p273 (2014-11-13) [x86_64-linux-gnu]
  Rails version                  4.2.5
  Environment                    production
  Database adapter               PostgreSQL
SCM:
  Subversion                     1.8.10
  Mercurial                      3.1.2
  Cvs                            1.12.13
  Git                            2.1.4
  Filesystem                     
Redmine plugins:
  redmine_agile                  1.4.1
  redmine_code_review            0.7.0
  redmine_knowledgebase          3.2.0
  redmine_meetings               0.2.7
  redmine_mylyn_connector        2.8.2.stable
  redmine_tweaks                 0.5.8-dev
  redmine_watcher_groups         0.0.3git
  scrum                          0.14.0
</pre>

THANK YOU ! :-)"
23445,Redmine,Defect,"",Closed,Normal,follow issue who is closed don't appears,laurent plassard,"",2016-07-27 14:49,My page,"","","","",0,2016-07-27 10:02,2016-07-27 14:49,"",Invalid,"","When i closed an issue who is closed , this issue don't appears on my page.
thanks for help"
23441,Redmine,Defect,"",Closed,Normal,TestLink Integration With Redmine,Piyush Jalan,"",2016-07-27 08:30,"","","","","",0,2016-07-27 08:21,2016-07-27 08:30,"",Invalid,"","Hi,

I want to configure the Testlink with My redmine. I have done below configuration in My Testlink:-

<issuetracker>
<apikey>REDMINE API KEY</apikey>
<uribase>http://tl.m.remine.org</uribase>
<uriview>http://tl.m.remine.org/issues/</uriview> <!-- for Redmine 1.x add show/ --> 
<!-- Project Identifier is NEEDED ONLY if you want to create issues from TL -->
<projectidentifier>REDMINE PROJECT IDENTIFIER
 You can use numeric id or identifier string 
</projectidentifier>


Can Anyone Help Me I am getting below error:-
""Attention Please: 
Something is preventing connection to Bug Tracking System,
and is going to create performance issues.
Please contact your TestLink Administrator""

Please help as soon as possible"
23437,Redmine,Defect,"",Closed,Normal,update when CSV import with same id,Xavier Godon,"",2016-07-27 04:25,"","","","","",0,2016-07-26 11:06,2016-07-27 04:25,"",Invalid,3.2.0,"Could it be possible to update issues during a CSV import, when their ID are the same?
Atm, if i import a task with an already existing ID, the ID changes and a new task is created.

Thanks"
23430,Redmine,Defect,"",Needs feedback,Normal,I can not access a closed project Issues,Diego Gonzalez,"",2016-09-16 15:10,Issues,"","","","",0,2016-07-25 22:09,"","","",3.2.1,"Having closed the project and the Issues on it, I can not access them"
23425,Redmine,Defect,"",Closed,Normal,Wrong entries in custom fields after changing the content of the field,Fridolin Tam,"",2016-09-01 09:01,Custom fields,"","","","",0,2016-07-25 13:43,2016-09-01 09:01,"","",2.6.7,"Hello,
if i change the value of a custom field to a new value it doesnt change right.
After the change i have the old and the new value in the custom field.

Pictures below does show it.

Greetings,
Fridolin"
23421,Redmine,Defect,"",Closed,Normal,"Upgrade without ""development"" still tries to connect to ""development"" database",Arnis Juraga,"",2016-07-25 16:26,"","","","","",0,2016-07-25 09:52,2016-07-25 16:26,"",Invalid,3.3.0,"I was upgrading @3.0.1@ to @3.3.0@
I used this command:

<pre><code class=""ruby"">
  bundle install --without development test rmagick
</code></pre>

But (using official upgrade instruction) running this script:

<pre><code class=""ruby"">
  bundle exec rake generate_secret_token
</code></pre>

gives me an error:

<pre><code class=""ruby"">
  rake aborted!
  ActiveRecord::AdapterNotSpecified: 'development' database is not configured. Available: [""production""]
</code></pre>


Although, this one executes without an error and everything looks working fine now:

<pre><code class=""ruby"">
  RAILS_ENV=production bundle exec rake generate_secret_token 
</code></pre>

Is it correct behavior?



"
23420,Redmine,Defect,"",Closed,Normal,Error 500 whhen access to activity page of one project,Jean Louis,"",2016-07-25 16:41,Activity view,"","","","",0,2016-07-25 09:22,2016-07-25 16:41,"",Invalid,3.3.0,"Version Redmine 3.3.0.devel.15732

Access to the activity page says internal error.

The production.log says :

<pre>
Started GET ""/projects/xxxx/activity"" for xxxx at 2016-07-25 09:17:02 +0200
Processing by ActivitiesController#index as HTML
  Parameters: {""id""=>""xxxx""}
  Current user: xxxx (id=4)
  Rendered plugins/redmine_my_page/app/views/activities/esi.html.erb within layouts/base (819.7ms)
Completed 500 Internal Server Error in 1766ms (ActiveRecord: 47.7ms)

ActionView::Template::Error (undefined method `link_to_content_update' for #<#<Class:0x007f7a465c6760>:0x0000000ab849f8>):
    22: <%= content_tag('p', l(:label_no_data), :class => 'nodata') if @events_by_day.empty? %>
    23:
    24: <div style=""float:left;"">
    25: <%= link_to_content_update(""\xc2\xab "" + l(:label_previous),
    26:                    params.merge(:from => @date_to - @days - 1),
    27:                    :title => l(:label_date_from_to, :start => format_date(@date_to - 2*@days), :end => format_date(@date_to - @days - 1)),
    28:                    :accesskey => accesskey(:previous)) %>
  plugins/redmine_my_page/app/views/activities/esi.html.erb:25:in `_0a5d68e156dc6329c172caa2c15a931c'
  plugins/redmine_my_page/lib/my_page_patches/activities_controller_patch.rb:71:in `block (2 levels) in index_with_esi'
  plugins/redmine_my_page/lib/my_page_patches/activities_controller_patch.rb:65:in `index_with_esi'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
  plugins/redmine_dmsf/lib/redmine_dmsf/webdav/no_parse.rb:33:in `call'
</pre>

The problem is in DMSF plugin or in redmine ?
"
23419,Redmine,Patch,"",Closed,Normal,Change Japanese translation for label_display_used_statuses_only,Go MAEDA,"",2016-09-09 09:32,Translations,3.4.0,"","","",0,2016-07-25 02:30,2016-09-09 09:32,"","","","I suggest changing the translation for label_display_used_statuses_only as the following. the sentence will be more concise by this change.

<pre><code class=""diff"">
Index: config/locales/ja.yml
===================================================================
--- config/locales/ja.yml       (revision 15723)
+++ config/locales/ja.yml       (working copy)
@@ -808,7 +808,7 @@
   label_copy_source: コピー元
   label_copy_target: コピー先
   label_copy_same_as_target: 同じコピー先
-  label_display_used_statuses_only: このトラッカーで使われているステータスのみ表示する
+  label_display_used_statuses_only: このトラッカーで使用中のステータスのみ表示
   label_api_access_key: APIアクセスキー
   label_missing_api_access_key: APIアクセスキーが見つかりません
   label_api_access_key_created_on: ""APIアクセスキーは%{value}前に作成されました""
</code></pre>
"
23417,Redmine,Patch,"",New,Normal,Make the ID column configurable in the issues listing like the other columns,Marius BALTEANU,"",2017-01-29 16:05,Issues filter,"","","","",0,2016-07-25 01:11,"","","","","Currently, in the issues listing table, there are two ""hard coded"" columns:
# first column with the checkbox
# second column with the issue ID

In our custom theme, we want to have the subject in the first column in order to improve the readability of the issues and subtasks: !id_column.png!.  

To obtain that, we hide both columns from the CSS, but we weren't able to display the ID column as last column in the table by default without development (or let the users to decide the ID column position).

Attached is a patch that:
- makes the ID column configurable (like the other columns)
- adds the ID column as first column in the default Redmine settings
- migrates the default columns settings in order to add the ID column as first column.  
- updates the existing tests to include this change
- removes some empty spaces
  

  

"
23414,Redmine,Defect,"",Needs feedback,Normal,Datepickers don't show in Firefox,Andrew Deviatikh,"",2016-09-22 15:29,UI,"","","","",0,2016-07-24 07:29,"",関連している #23224,"",3.3.0,"Hi. 

Redmine version 3.3.0.stable
Ruby version    2.2.2-p95 (2015-04-13) [x86_64-linux]
Rails version   4.2.6
Firefox version 47.0.1.

All datepickers (in Issues especially) don't show (see screenshot in attachments). In Chrome, IE all is right.
 
What should i do to fix this problem?"
23412,Redmine,Defect,"",Closed,Normal,Cannot read git repository with .git in name,ruhang xu,"",2016-07-24 16:57,SCM,"","","","",0,2016-07-23 12:15,2016-07-24 16:57,"",Invalid,3.3.0,"As described in the wiki for repo configuration [[RedmineRepositories]], I created a bare repository by git clone --bare.

I named it myrepo.git and setup the full path name on redmine repository setup as /var/redmine/git_repositories/myrepo.git
Suffixing by .git is a naming convention I use for all my bare repositories.

When i tried to browse it with Repository tab on my project, it failed with :
404 The entry or revision was not found in the repository

If I recreate a bare repo exactly the same way but with another name like myrepoxyz, I am able to browse it in redmine."
23410,Redmine,Defect,"",Closed,Normal,Error if create new issue and there is no project,Quan VN,Jean-Philippe Lang,2016-08-31 18:55,Issues,3.3.1,"","","",0,2016-07-23 09:50,2016-08-31 18:55,関連している #6204,Fixed,3.3.0,"The error occurs in this case
1. install new redmine and there is no project. 
2. From top menu, click Project
3. From this project index page, click View All Issue
4. From that issue index page, click on New Issue
Then the error 500 occurs with the following logs

Started GET ""/redmine/issues/new"" for 123.20.56.163 at 2016-07-23 07:41:55 +0000
Processing by IssuesController#new as HTML
  Current user: admin (id=1)
  Rendered issues/_attributes.html.erb (7.5ms)
  Rendered issues/_form.html.erb (26.4ms)
  Rendered issues/new.html.erb within layouts/base (28.5ms)
Completed 500 Internal Server Error in 100ms (ActiveRecord: 34.2ms)

ActionView::Template::Error (undefined method `assignable_users' for nil:NilClass):
    15: <% end %>
    16: 
    17: <% if @issue.safe_attribute? 'assigned_to_id' %>
    18: <p><%= f.select :assigned_to_id, principals_options_for_select(@issue.assignable_users, @issue.assigned_to), :include_blank => true, :required => @issue.required_attribute?('assigned_to_id') %></p>
    19: <% end %>
    20: 
    21: <% if @issue.safe_attribute?('category_id') && @issue.project.issue_categories.any? %>
  app/models/issue.rb:857:in `assignable_users'
  app/views/issues/_attributes.html.erb:18:in `block in _app_views_issues__attributes_html_erb___3587757851355343547_69925371132800'
  app/helpers/application_helper.rb:1058:in `labelled_fields_for'
  app/views/issues/_attributes.html.erb:1:in `_app_views_issues__attributes_html_erb___3587757851355343547_69925371132800'
  app/views/issues/_form.html.erb:42:in `block in _app_views_issues__form_html_erb___3675110379538404660_69925371413960'
  app/helpers/application_helper.rb:1058:in `labelled_fields_for'
  app/views/issues/_form.html.erb:1:in `_app_views_issues__form_html_erb___3675110379538404660_69925371413960'
  app/views/issues/new.html.erb:11:in `block in _app_views_issues_new_html_erb__153899361600342295_69925371381020'
  app/helpers/application_helper.rb:1051:in `labelled_form_for'
  app/views/issues/new.html.erb:5:in `_app_views_issues_new_html_erb__153899361600342295_69925371381020'
  app/controllers/issues_controller.rb:129:in `block (2 levels) in new'
  app/controllers/issues_controller.rb:128:in `new'
  lib/redmine/sudo_mode.rb:63:in `sudo_mode'
"
23396,Redmine,Defect,"",Closed,Normal,Unable to import values for parent task,Sal Baki,"",2016-08-18 13:04,Issues,"","","","",0,2016-07-21 17:37,2016-07-22 19:11,"",Invalid,3.1.3,"Unable to import values for parent task

Added by shivaranjani v about 4 years ago

I encountered this bug with the latest version and found that it was discussed 4 years ago.
message#31804

Dear Friends,
I have created a issue in redmine. Let us suppose its redmine id is 10. I have created two other issues manuaaly through create new issues and then added the parent id 10 in both of thes two issues. So now 10 is the parents and 11 and 12 are childs for the parent task.
When I am trying to import data through CSV, when mapping is done with repect to the general fields, there in the import screen it displays us an option to select for unique field. Since I am creation a relatioship based on redmine id, it is not being popluated in the drop down and hence forth unable to import. Kindly provide your inputs.
thanks inadvance.

Regards,
SR.
"
23395,Redmine,Defect,"",Closed,Normal,Markdown formatter crashes,Andreas Kohlbecker,"",2016-07-22 18:59,Text formatting,"","","","",0,2016-07-21 14:05,2016-07-22 18:59,次のチケットと重複 #23246,Duplicate,3.3.0,"The markdown formatter crashes redmine 3.3.0 on interpreting the following incomplete markdown snipped.

<pre>
 [areas.php"" and ""points.php]()
</pre> 

This markdown has been created by converting textile to markdown using pandoc, see also #22005"
23394,Redmine,Defect,"",New,Normal,Auto-assign on category selection does not work when assignee is a required field,JW Fuchs,"",2016-08-19 06:42,Issues,"","","","",0,2016-07-21 13:08,"","関連している #6889, 関連している #17555","","","When the assignee is set as a mandatory field, the auto-assign function related to category does not work.

Test setting:
!01_required_field.PNG!

Category definition:
!02_category_settings.PNG!

Attempt to create issue:
!03_error_on_creation.PNG!

If the assignee requirement is removed, the assignee is set as expected after a category has been chosen and the issue has been created.


<pre>
Environment:
  Redmine version                3.3.0.stable
  Ruby version                   2.1.8-p440 (2015-12-16) [i386-mingw32]
  Rails version                  4.2.6
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.16
  Git                            2.7.4
  Filesystem                     
Redmine plugins:
  no plugin installed
</pre>

"
