#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
19443,Redmine,Defect,"",Closed,Normal,Email notification sent when assignee changes (if assignee was a group) even if 'Assignee updated' option on the Email notifications tab is unchecked,Deoren Moor,"",2015-04-15 07:58,Email notifications,"","","","",0,2015-03-21 20:43,2015-04-15 07:58,"",Invalid,2.6.3,"The changes applied to resolve #19197 (r14049) apparently introduced a bug that results in email notifications sent even if the Email notification setting is configured to mute those notifications.

Here is our setup:

We have a project called ""Unassigned"" where all incoming issues are stored. They're assigned to a group for processing. A member of that group then takes those unassigned tickets and will reassign to the appropriate technician.

When we ran 2.6.1 with these Email notification settings:

<pre>
[x] Issue added
[ ] Issue updated
    [x] Note added
    [ ] Status updated
    [ ] Assignee updated
    [ ] Priority updated
[x] News added
[x] Comment added to a news
[x] Document added
[x] File added
[x] Message added
[x] Wiki page added
[x] Wiki page updated
</pre>

everyone in the group was notified of the new issue, but nothing past that, regardless of whether a Note was added to the issue when it was moved. 

Now after the upgrade to 2.6.3 with the same Email notification settings the group is notified when the issue is reassigned. From what I can tell this only occurs if a comment is added."
19438,Redmine,Defect,"",Closed,Normal,"Webrick WARN: ""Could not determine content-length of response body""",Tobias Fischer,"",2015-10-01 00:22,Attachments,"","","","",0,2015-03-21 14:19,2015-10-01 00:22,ä÷òAÇµÇƒÇ¢ÇÈ #17403,"",3.0.1,"Extracted from issue #19435:

Webrick WARNing in Redmine 3.0.1:
<pre>
[2015-03-21 14:15:15] WARN  Could not determine content-length of response body. Set content-length of the response or set Response#chunked = true
</pre>

Happens for all attachments (even images) when trying to download them.
Download works as expected, but the filesize is unknown.
Seems as if the HTTP header can't be set.

This wasn't a problem in redmine 2.6"
19435,Redmine,Defect,"",Closed,Normal,"PDF's are being uploaded with wrong mimetype ""application/force-download"" instead of ""application/pdf""",Tobias Fischer,"",2015-03-23 00:57,Attachments,"","","","",0,2015-03-20 19:52,2015-03-23 00:57,"",Cant reproduce,3.0.1,"Starting with Redmine 3.0 all PDF attachments beeing uploaded are stored in the database with the wrong mimetype ""application/force-download"" instead of ""application/pdf"".

This is my redmine3 dev installation which I run on a mac:

<pre>
Environment:
  Redmine version                3.0.1.stable
  Ruby version                   2.0.0-p481 (2014-05-08) [universal.x86_64-darwin14]
  Rails version                  4.2.1
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.7.19
  Cvs                            1.12.13
  Git                            1.9.5
  Filesystem                     
Redmine plugins:
  redmine_lightbox2              0.2.2
</pre>

This happens for drag&drop uploads as well as for ""normal"" file uploads to tickets.

It seems as if this also results in the following webrick warning when trying to download a PDF attachment:

<pre>
[2015-03-20 19:37:04] WARN  Could not determine content-length of response body. Set content-length of the response or set Response#chunked = true
</pre>
This warning also appears for images when beeing downloaded."
19434,Redmine,Defect,"",Closed,Normal,Redmine ceased running.  502 Bad Gateway error shows.,Tom Neff,"",2015-03-21 22:03,"","","","","",0,2015-03-20 18:52,2015-03-21 22:03,"",Invalid,"","My system:
* Ubuntu 14.04
* Environment:
  Redmine version                2.5.2.stable
  Ruby version                   2.1.1-p76 (2014-02-24) [x86_64-linux]
  Rails version                  3.2.19
  Environment                    production
  Database adapter               Mysql2
* SCM:
  Subversion                     1.8.8
  Mercurial                      2.8.2
  Git                            1.9.1
  Filesystem                     
* Redmine plugins:
  redmine_contacts               3.2.17
  redmine_monitoring_controlling 0.1.1
  redmine_wktime                 1.7

Everything has been working great for 6 months.  Yesterday my system locked and I rebooted.  When I tried to get back into Redmine, I got ""502 Bad Gateway"" error.

I have two instances of Redmine on my system and one still runs.  The info above is from the instance still running.  They were setup to be functionally identical but serving different audiences.

I can hardly spell Ruby or Rails so any guidance concerning them will need to be detailed."
19430,Redmine,Defect,"",Closed,Urgent,"Create new issue/task/feature/user..., it will occurrence 502 Proxy Error ",Shi Wang,"",2015-03-20 07:55,"","","","","",0,2015-03-20 07:34,2015-03-20 07:47,"",Invalid,"","my step is:
1. i install redmine --> create new project (OK) --> create issue(e.g.: issue_01)/task/user(user_01) (it will appear above error message) --> i refresh the web --> issue_01 and user_01 have existed.

and i cannot found those log file, such as: mongrel.log

*please help me, thank you!*

Error Message:
Proxy Error

The proxy server received an invalid response from an upstream server.
The proxy server could not handle the request POST /redmine/projects/test_01/issues.

Reason: Error reading from remote server"
19419,Redmine,Defect,"",Closed,Normal,MinGW Ruby 2.2: NameError: uninitialized constant ActionView::Helpers::ActiveModelHelper,j j,"",2015-10-28 12:35,"","","","","",0,2015-03-19 09:01,2015-04-11 03:56,"ä÷òAÇµÇƒÇ¢ÇÈ #19952, éüÇÃÉ`ÉPÉbÉgÇ™èdï° #20285",Wont fix,"","I'm setting up to my computer
I'm at Step 5 - Session store secret generation
when i type 
bundle exec rake generate_secret_token
then error like:

rake aborted!
Name error: uninitialized constant ActionView::Helpers::ActionModeHelper
C:/Ruby22/redmine/config/application.rb:5:in '<top<required>>'
C:/Ruby22/redmine/Rakefile :5:in 'require'
C:/Ruby22/redmine/Rakefile :5:in '<top<required>>'
LoadError: cannot load such file -- actionpack-action_caching
C:/Ruby22/redmine/config/application.rb:5:in '<top<required>>'
C:/Ruby22/redmine/Rakefile :5:in 'require'
C:/Ruby22/redmine/Rakefile :5:in '<top<required>>'
<See full trace by running task with --trace>

You can see clearly in my attached file"
19417,Redmine,Defect,"",Closed,Normal,status change is allowed with empty workflow-required custom field,E Lipinsky,"",2015-06-11 05:50,Issues workflow,"","","","",0,2015-03-18 21:54,2015-06-11 05:50,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #11887,Duplicate,2.6.1,"Environment:
  Redmine version                2.6.1.stable
  Ruby version                   2.0.0-p598 (2014-11-13) [x86_64-linux]
  Rails version                  3.2.21
  Environment                    production
  Database adapter               Mysql2 (Ver 14.14 Distrib 5.5.40)
SCM:
  Subversion                     1.8.10
  Git                            1.9.5
  Filesystem
Redmine plugins:
  redmine_issue_templates        0.1.0
  scrum2b                        2.0

Steps:
# Create a custom field of type 'long text' (not required).  (I think a field of type 'text' has the same issue.)
# In Administration / Workflow / Fields Permissions, set a state for the custom field to Required.  Click Save.
# Go to an issue; without setting the field value, try to change the state to the state specified in step 2.

Expected:
Change to the state is blocked.  Maybe the custom field shows as required with red asterisk?

Actual:
Change to the state is allowed.  Field shows without red asterisk."
19413,Redmine,Defect,"",Closed,Normal,ANSI Windows coding 1251(Russian) unreadable then Redmine perfom diff sourse code operation,Dmitry Skibarko,"",2015-03-19 01:55,SCM,"","","","",0,2015-03-18 12:36,2015-03-18 13:18,"",Invalid,"","SVN repository and Redmine 2.6.1 good integrated and works.
Source code in SVN repository have ANSI Windows coding 1251.
If using redmine try see differences for selected file the
russian text in source is not readable. See attaced picture."
19411,Redmine,Defect,"",Closed,Normal,Internall Server Error,Thomas Chacko,"",2015-03-18 07:18,"","","","","",0,2015-03-18 07:12,2015-03-18 07:18,"",Invalid,1.3.2,"Dear All I Have installed Redmine on apache2 with postfix configuration. I followed all the steps given in the link http://www.redmine.org/projects/redmine/wiki/HowTo_Install_Redmine_on_Ubuntu_step_by_step. But My problem now is that whenever I am making some changes in Redmine and updating, I am getting an Internal Server error. Please Help"
19410,Redmine,Defect,"",Closed,Normal,Export to PDF problem while exporting Arabic text to pdf,vijay krishna,"",2015-03-30 10:52,PDF export,"","","","",0,2015-03-18 03:50,2015-03-30 10:52,"",Invalid,2.6.2,"We have a problem in exporting arabic text in issues list to pdf report using redmine version 2.5.1. 
We upgraded to version 2.6.2 including rbpdf 1.18.3 and ""DejaVuSans"" font Arabic locale.
Still we are facing the same issue."
