#,ƒvƒƒWƒFƒNƒg,ƒgƒ‰ƒbƒJ[,eƒ`ƒPƒbƒg,ƒXƒe[ƒ^ƒX,—Dæ“x,‘è–¼,ì¬Ò,’S“–Ò,XV“ú,ƒJƒeƒSƒŠ,‘ÎÛƒo[ƒWƒ‡ƒ“,ŠJn“ú,Šú“ú,—\’èH”,i’»—¦,ì¬“ú,I—¹“ú,ŠÖ˜A‚·‚éƒ`ƒPƒbƒg,Resolution,Affected version,à–¾
26139,Redmine,Patch,"",Reopened,Normal,Follow Gemfile's plugin loader as #24007,Sho HASHIMOTO,Jean-Philippe Lang,2017-06-18 13:57,Plugin API,"","","","",0,2017-06-12 11:31,2017-06-17 09:31,"ŠÖ˜A‚µ‚Ä‚¢‚é #13927, ƒuƒƒbƒN‚µ‚Ä‚¢‚é #24007","","",Plugin's Gemfile can't settable from Redmine::Plugin.directory yet.
26136,Redmine,Patch,"",Closed,Normal,Japanese translation update (r16538),Go MAEDA,"",2017-06-12 06:01,Translations,"","","","",0,2017-06-12 02:32,2017-06-12 06:01,"","","",Translated setting_show_custom_fields_on_registration introduced in r16538.
26130,Redmine,Patch,"",Closed,Normal,"Refactor ""multiple_values_detail"" struct creation",Thomas L?ber,Jean-Philippe Lang,2017-06-26 05:55,Code cleanup/refactoring,3.5.0,"","","",0,2017-06-09 14:42,2017-06-25 21:24,"","","","Hi,

In the ""IssuesHelper#details_to_strings"":/projects/redmine/repository/entry/trunk/app/helpers/issues_helper.rb method (source:trunk/app/helpers/issues_helper.rb@16387#L373) a new class (Struct) is created each time the method is called:

<pre><code class=""ruby"">
  multiple_values_detail = Struct.new(:property, :prop_key, :custom_field, :old_value, :value)
</code></pre>

Although classes are garbage collected in recent Ruby versions, it might be better to use a constant definition outside the method, like:

<pre><code class=""ruby"">
  MultipleValuesDetail = Struct.new(:property, :prop_key, :custom_field, :old_value, :value)
</code></pre>

Regards,
Thomas"
26125,Redmine,Patch,"",Closed,Normal,Unify form#query_form on calendar/gantt views with issues/spent time views,Mischa The Evil,Jean-Philippe Lang,2017-06-25 17:17,UI,3.5.0,"","","",0,2017-06-09 00:05,2017-06-25 17:17,"","","","I noticed a difference between the rendering of the query filter forms on the issues & spent time views and the query filter forms on the calendar and gantt views. I fixed it with the following changes:
* *1. Fix HTML structure of form#query_form on calendar/gantt views.*
This unifies the HTML structure of the query form on the calendars/show
and gantts/show views to be the same as it is currently for the issues
and spent time views, which were themself unified into the new
queries/_query_form partial in r15649.
* *2. Fix source indentation and newline usage.*
This unifies the source layout of the query form on the calendars/show
and the gantts/show views with the queries/_query_form partial.
* *3. Unify form#query_form structure on calendar/gantt views.*
This:
** moves the p with inline style on the calendar view (which
wraps the navigation buttons) out of div#query_form_content
and adds the contextual class to the element to unify this
with the gantt view (and to remove the inline style from
the element now that it's styled through a stylesheets'
style [.contextual in fact]);
** restores the 12px font-size of the calendar navigation
buttons;
** increases the font-size of the gantt zoom buttons to 12px;
** increases the margin of the calendar navigation and gantt
zoom buttons to 12px 0px.
* *4. Add test assertions to the four controller test cases.*

To make the changes a bit more visual, here some ASCII and image graphics:

|_.view    |_.was       |_.becomes   |
|issues    |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |
|          |!issues-current.png!       |!issues-fixed.png!      |
|spenttime |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |
|          |!spenttime-current.png!       |!spenttime-fixed.png!       |
|calendar  |<pre>  form#query_form
    inputs
    fieldset#filters.collapsible
    p(inlineStyles)
    p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
      p.contextual
      p.buttons</pre> |
|          |!calendar-current.png!       |!calendar-fixed.png!       |
|gantt     |<pre>  form#query_form
    inputs
    fieldset#filters.collapsible
    fieldset#options
    p.contextual
    p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.contextual
      p.buttons</pre> |
|          |!gantt-current.png!    |!gantt-fixed.png!       |

I'll attach four patches implementing these changes. This patch serial, against current source:/trunk@16643, is produced using @git format-patch@ which makes the individual patches apply-able using ""@patch -p1 < 0001-...@"".

Environment:
<pre>
Environment:
  Redmine version                3.3.3.devel@r16643
  Ruby version                   2.3.3-p222 (2016-11-21) [x86_64-linux]
  Rails version                  4.2.8
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.9.1
  Filesystem                     
Redmine plugins:
  no plugin installed
</pre>
"
26122,Redmine,Patch,"",New,Normal,Implementation of visible conditions with inner join instead of subselect,Pavel Rosick?,"",2017-06-09 08:57,Performance,"","","","",0,2017-06-07 22:51,"","","","","The change from #21608 should be reverted because it's a speed regression:

1/ current version
<pre>EXISTS (SELECT 1 AS one FROM enabled_modules em WHERE em.project_id = projects.id AND em. NAME = 'issue_tracking')</pre>

2/ previous version (actually faster even without an index on enabled modules)
<pre>projects.id IN (SELECT project_id FROM enabled_modules em WHERE em.project_id = projects.id AND em. NAME = 'issue_tracking'</pre>

3/ fastest version (in some cases better indexes were used)
<pre>INNER JOIN `enabled_modules` ON `enabled_modules`.`project_id` = `projects`.`id` WHERE `enabled_modules`.`name` = 'issue_tracking'</pre> or
<pre>INNER JOIN `enabled_modules` ON `enabled_modules`.`project_id` = `projects`.`id` AND `enabled_modules`.`name` = 'issue_tracking'</pre>

Patches:
* revert of #21608, because the previous version was faster (about 30%)
* new index ""enabled_modules_name"", but it's not very helpful unless you have many projects (3000+)
* implementation of visible conditions with inner join instead of subselect, it passes all tests, but it should be refactored. I want to know what do you think about it first

<pre>
Rails version             4.2.8
Ruby version              2.1.9-p490 (x64-mingw32)
RubyGems version          2.6.12
Rack version              1.6.8
Middleware                Rack::Sendfile, Rack::ContentLength, ActionDispatch::Static, Rack::Lock, #<ActiveSupport::Cache::Strategy::LocalCache::Middleware:0x00000007745610>, Rack::Runtime, Rack::MethodOverride, ActionDispatch::RequestId, Rails::Rack::Logger, ActionDispatch::ShowExceptions, ActionDispatch::DebugExceptions, ActionDispatch::RemoteIp, ActionDispatch::Reloader, ActionDispatch::Callbacks, ActiveRecord::ConnectionAdapters::ConnectionManagement, ActiveRecord::QueryCache, ActionDispatch::Cookies, ActionDispatch::Session::CookieStore, ActionDispatch::Flash, ActionDispatch::ParamsParser, ActionDispatch::XmlParamsParser, Rack::Head, Rack::ConditionalGet, Rack::ETag, RequestStore::Middleware, OpenIdAuthentication
Environment               development
Database adapter          mysql2
Database schema version   20170607051650
</pre>"
26104,Redmine,Patch,"",New,Normal,Quick jump to issue only if searching for issues,Holger Just,"",2017-06-25 17:03,Search engine,Candidate for next minor release,"","","",0,2017-06-06 15:31,"","","","","Previously, we would always jump to the issue if a user searches for a, number which exists as an issue ID, regardless where the user searches. That made it impossible to search for e.g. prefixes of phone numbers in wiki pages.

With the attached patch, we are only jumping to the matching issue if we are searching for issues. This results in a behavior change for the quick search box in the the wiki and other areas. Previously, we would also jump to an issue there. Now, we just search in the wiki for the number.

The quick search bar in issues as well as the global search for all objects is unaffected by this change."
26091,Redmine,Patch,"",New,Normal,Allow to filter by any visible version on the global issues view,Holger Just,"",2017-06-26 14:46,Issues filter,Unplanned,"","","",0,2017-06-02 17:52,"","","","","Currently, the global issues view only allows to filter by system-shared versions but not e.g. for versions shared to some projects or not stared at all.

Since the global issue view is often used as a quick filter to check what is happening in all projects, filtering by any visible version would allow to drill down from there instead of having to first select the correct parent project and then starting the filter there. Also, with saved shared queries, a common starting point is the global issue view instead of individual projects.

The attached patch removes the restriction to only allow filtering by system-shared versions. Instead, it allows filtering by any version visible to the current user."
26043,Redmine,Patch,"",New,Normal,"When creating a new wiki page from a button, want to set the parent page automatically.",Minoru Maeda,"",2017-06-23 18:55,Wiki,3.5.0,"","","",0,2017-05-25 12:14,"","","","","This patch automatically sets the value on the form as the parent page of the new page, the page that clicked the ""New wiki page"" button.
However, it does not correspond to the creation of a new page in the ""+"" menu."
26030,Redmine,Patch,"",New,Normal,"Like issues and news comments, want to specify the display order of the forum's reply.",Minoru Maeda,"",2017-05-25 08:57,Forums,"","","","",0,2017-05-24 11:26,"","ŠÖ˜A‚µ‚Ä‚¢‚é #26033, ŠÖ˜A‚µ‚Ä‚¢‚é #11120","","","This patch also applies the setting order of comments in ""My account"" to the forum."
25876,Redmine,Patch,"",Closed,Normal,Gantt chart shows % done even if the field is disabled for the tracker,Jens Kr?mer,"",2017-06-15 06:49,Gantt,3.4.0,"","","",0,2017-05-17 02:55,2017-06-15 06:49,"","","","When disabling the _% done_ field for a given tracker, issues of this tracker still have _x %_ in their label in the gantt chart. The attached patch fixes this by checking @issue.disabled_core_fields@ when building the label."
25861,Redmine,Patch,"",Closed,Normal,CSV Importer - handle UndefinedConversionErrors,Jens Kr?mer,Jean-Philippe Lang,2017-06-06 22:56,Importers,3.2.7,"","","",0,2017-05-16 11:07,2017-06-06 22:56,"","","","The CSV import already handles a couple of Exceptions that may happen when the user-selected encoding does not match the real encoding of the CSV (or it contains otherwise illegal byte sequences). We recently encountered @Encoding::UndefinedConversionError@, which is not yet caught by that error handling. The attached patches add a test case and a fix for that."
25853,Redmine,Patch,"",New,Normal,Move left bottom links from project settings above,Marius BALTEANU,"",2017-06-27 00:59,UI,Candidate for next minor release,"","","",0,2017-05-15 21:50,"","","","","This patch is related to #24720 where all ""New item"" links were been moved above the list. 

There are three more links left under the list and I think it's better to have them all above the list:
1. ""Close completed versions"" from Versions tab
2. ""Delete"" from Wiki tab
3. ""Reset"" from Activities tab

I've attached 2 patches:

h3. move_close_completed_versions_above.patch

* adds the ""icon"" and ""icon-lock"" classes to the link (the same icon is used for button ""Close project"") 
* adds a class ""left"" for existing contextual class to let the icons aligned to left (according to the #24720)

h3. move_delete_and_reset_above_the_list.patch

* moves the ""Delete"" link from wiki tab on the same line with the wiki input field. I find it more natural to be there.
* moves the ""Reset"" link from activities above the list.
 
I made this patch after I find out that our users didn't know about the button ""Close completed version"" which is very well hidden when the projects have many versions. "
25775,Redmine,Patch,"",Closed,Normal,Show assignee's icon in addition to author's icon,Go MAEDA,Jean-Philippe Lang,2017-06-10 14:27,UI,3.4.0,"","","",0,2017-05-06 08:01,2017-06-10 14:27,ŠÖ˜A‚µ‚Ä‚¢‚é #19648,"","","In current versions of Redmine, author's icon is displayed in the upper left corner of issues if ""Use Gravatar user icons"" setting is enabled.

I think it would be very useful if we can see assignee's icon in addition to author's icon because who is the person in charge is important information to manage projects.

Currently we can see very small (14px) assignee's icon in ""Assignee"" field but it is not noticeable. If attached patch (attachment:0001-Show-assignee-s-icon-in-addition-to-author-s-icon.patch) is applied, assignee's icon will be much noticeable and we can easily know current assignee.

!{border: 1px solid #ccc;}.assignee-icon-with-author-icon@2x.png!"
25745,Redmine,Patch,"",Closed,Normal,Optimize Gantt Charts for mobile screens,Felix Gliesche,Jean-Philippe Lang,2017-05-27 09:36,UI - Responsive,3.2.7,"","","",0,2017-05-03 12:12,2017-05-27 09:36,"","","","Once the screens goes below a certain width (~400px) it is impossible to horiziontally scroll the gantt chart area:

!before.png!

Attached you will find a patch that fixes this problem by setting the column that holds the issues to a width relative to the screen width, rather than a fixed width on mobile devices. 

!after.png!"
25731,Redmine,Patch,"",Closed,Normal,Use only one if with two conditions in issue show instead of two ifs (if in if),Marius BALTEANU,"",2017-05-30 14:05,Code cleanup/refactoring,"","","","",0,2017-05-01 16:43,2017-05-30 14:05,"","","","I think that there are no reasons to use two ifs in source:trunk/app/views/issues/show.html.erb#L67. I propose to use only one with both conditions.

"
25724,Redmine,Patch,"",Closed,Normal,Min length of custom field isn't stored due to typo in safe_attributes,Jens Kr?mer,Jean-Philippe Lang,2017-06-06 22:48,Custom fields,3.4.0,"","","",0,2017-04-28 15:58,2017-06-06 22:48,"","","",patch attached
25664,Redmine,Patch,"",Closed,Normal,Traditional Chinese translation (to r16543),ChunChang Lo,"",2017-05-19 17:01,Translations,"","","","",0,2017-04-21 06:26,2017-05-19 17:01,ƒRƒs[Œ³ #25556,"","","* New
** field_default_assigned_to, setting_show_custom_fields_on_registration
"
25653,Redmine,Patch,"",Closed,Normal,Fix NoMethodError on HEAD requests to AccountController#register,Holger Just,Jean-Philippe Lang,2017-05-27 09:34,Accounts / authentication,3.2.7,"","","",0,2017-04-19 19:06,2017-05-27 09:34,"","","","The attached patch fixes a NoMethodError when attempting to run a HEAD request against AccountController#register.

The cause of the bug is that HEAD requests did not trigger the check for @request.get?@."
25628,Redmine,Patch,"",Closed,Normal,Better wording for issue update conflict resolution in German,Felix Sch?fer,"",2017-05-19 18:08,Translations,3.4.0,"","","",0,2017-04-18 11:50,2017-05-19 18:08,"","","",The german translation of the update conflict resolution options are not very clear.
25609,Redmine,Patch,"",Closed,Normal,Change Japanese translation for field_attr_*,Go MAEDA,"",2017-04-16 17:21,Translations,3.4.0,"","","",0,2017-04-15 11:36,2017-04-16 17:21,"","","","This patch improves Japanese translation for field_attr_* which are used in LDAP configuration page.

* *Fix UI inconsistency*: Japanese translation for ""Login"", ""First name"", ""Last name"" and ""Email"" in Redmine are ""ƒƒOƒCƒ“ID"", ""–¼"", ""©"", ""ƒ[ƒ‹ƒAƒhƒŒƒX"". But different words (""ƒƒOƒCƒ“"", ""–¼‘O"", ""•cš""@and ""ƒ[ƒ‹"") are used in field_attr_*.
* *Improve understandability:* The current translations, ""ƒƒOƒCƒ“‘®«"", ""–¼‘O‘®«"", ""•cš‘®«"" and ""ƒ[ƒ‹‘®«"", are look like one word. In order to resolve this problem by indicates that they are two words, the patch insert a particle ""‚Ì"":https://en.wikipedia.org/wiki/Japanese_particles#no between words (""–¼‘®«"" -> ""–¼‚Ì‘®«"")."
25590,Redmine,Patch,"",Closed,High,prevent deadlocks in attachment deduplication,Jens Kr?mer,Jean-Philippe Lang,2017-04-13 14:10,Attachments,"","","","",0,2017-04-12 03:53,2017-04-13 14:10,ƒuƒƒbƒN‚µ‚Ä‚¢‚é #25215,"","","At Planio we encountered occasional deadlocks caused by the inner lock statement on the query selecting a potentially already existing identical attachment. Running the query without @lock@ first and locking the found record second solved the problem for us.

To account for the possible failure of the inner lock (i.e. when @existing@ was found but cannot be locked) this patch also adds a @rescue@ clause that silently ignores such errors. Deduplication did not happen in this case either because the duplicate was removed (then a retry would be useless) or the database aborted the transaction (deadlock or waited too long for the lock, a retry might work but I'm not sure it's worth it). "
25573,Redmine,Patch,"",Closed,Normal,Bulgarian translation,Ivan Cenov,"",2017-04-13 07:19,Translations,"","","","",0,2017-04-11 09:42,2017-04-13 07:19,"","","","Translated
* field_default_assigned_to
* setting_show_custom_fields_on_registration"
25570,Redmine,Patch,"",New,Normal,unchecked use of params[:query],Jens Kr?mer,"",2017-04-11 06:56,Code cleanup/refactoring,"","","","",0,2017-04-11 06:54,"","","","","Requests to URLs like @/issues?query=12@ result in an application error because @query.rb@ expects @params[:query]@ to be a hash, which it isn't in this case.

I know that there are a more instances in the code base where we assume @params[:foo]@ to be a hash without explicit type checking. This patch does not attempt to address this problem on a global level. For whatever reason it happens to us quite often in this particular place, causing false alerts in server monitoring.

This patch adds an explicit type check to resolve this @params[:query]@ case. As a bonus it makes the following 4 lines where values are taken out of the hash a bit nicer.

In general I think it would be preferably to raise an error of the 4xx class in such cases. Are there any plans to make use of Rails' Strong Parameters feature in the future? I think using these permit / require calls on parameters in controllers would catch such wrong types early and would lead to responses with a more appropriate error code automatically."
25557,Redmine,Patch,"",Closed,Normal,Japanese translation update (r16528),Go MAEDA,"",2017-04-09 06:02,Translations,"","","","",0,2017-04-09 02:26,2017-04-09 06:02,"","","","Translated field_default_assigned_to.
"
25556,Redmine,Patch,"",Closed,Normal,Traditional Chinese translation (to r16526),ChunChang Lo,"",2017-04-08 18:42,Translations,"","","","",0,2017-04-08 17:53,2017-04-08 18:42,"ƒRƒs[Œ³ #25341, ƒRƒs[æ #25664","","","* New
** field_digest
"
25526,Redmine,Patch,"",Closed,Normal,Revert API change in spent_hours field in issue#show,Holger Just,Jean-Philippe Lang,2017-05-05 06:37,REST API,3.2.6,"","","",0,2017-04-05 15:29,2017-04-05 18:10,ŠÖ˜A‚µ‚Ä‚¢‚é #20661,"","","When preloading the @spent_hours@ of issues (as e.g. done for #20661, they default to @0@ instead of the previous default @0.0@. This results in a change of the @issue#show@ API which now also returns an Integer instead of a Float. Previously (in Redmine 3.2), the API used to return the data the following way:

<pre><code class=""json"">
{
  ""issue"": {
    ""id"": 15,
    ...
    ""spent_hours"": 0.0,
    ...
  }
}
</code></pre>

While later versions (including the current trunk) return them as follows:

<pre><code class=""json"">
{
  ""issue"": {
    ""id"": 15,
    ...
    ""spent_hours"": 0,
    ...
  }
}
</code></pre>

This appears to break strict API clients which expect a float there. In our tests, this change appears to break the current Android version of RedminePM, probably due to some internal type exceptions. The attached patch was extracted from ""Planio"":https://plan.io/redmine-hosting and fixes this behavior. With it, we follow the previous behavior of always sending Floats.

"
25518,Redmine,Patch,"",Closed,Normal,Bulgarian translation,Ivan Cenov,"",2017-04-05 18:52,Translations,"","","","",0,2017-04-05 07:14,2017-04-05 18:52,"","","","Translated
* field_digest
* label_last_notes"
25507,Redmine,Patch,"",Closed,Normal,Japanese translation update (r16457),Go MAEDA,"",2017-04-05 15:38,Translations,"","","","",0,2017-04-04 03:36,2017-04-05 15:38,"","","","Translated field_digest.
"
25505,Redmine,Patch,"",Closed,Normal,Russian translation for 3.2-stable,Toshi MARUYAMA,"",2017-04-03 18:47,Translations,3.2.6,"","","",0,2017-04-03 18:26,2017-04-03 18:47,"","","","From #25349.

<pre><code class=""diff"">
=== (+2,-3) config/locales/ru.yml ===
@@ -1283,5 +1283,4 @@
   label_any_open_issues: „|„„q„„u „€„„„{„‚„„„„„u „x„p„t„p„‰„y
   label_no_open_issues: „~„u„„ „€„„„{„‚„„„„„‡ „x„p„t„p„‰
   label_default_values_for_new_users: „H„~„p„‰„u„~„y„‘ „„€ „…„}„€„|„‰„p„~„y„ „t„|„‘ „~„€„r„„‡ „„€„|„„x„€„r„p„„„u„|„u„z
-  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: Spent time cannot
-    be reassigned to an issue that is about to be deleted
+  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: „H„p„„„‚„p„‰„u„~„~„€„u „r„‚„u„}„‘ „~„u „}„€„w„u„„ „q„„„„ „„u„‚„u„~„p„x„~„p„‰„u„~„€ „~„p „x„p„t„p„‰„…, „{„€„„„€„‚„p„‘ „q„…„t„u„„ „…„t„p„|„u„~„p
</code></pre>"
25502,Redmine,Patch,"",Closed,Normal,Russian translation for 3.3-stable,Toshi MARUYAMA,"",2017-04-03 16:40,Translations,3.3.3,"","","",0,2017-04-03 16:30,2017-04-03 16:40,"","","","From #25397.

<pre><code class=""diff"">
=== (+2,-3) config/locales/ru.yml ===
@@ -1308,7 +1308,6 @@
   label_new_project_issue_tab_enabled: „O„„„€„q„‚„p„w„p„„„ „r„{„|„p„t„{„… ""„N„€„r„p„‘ „x„p„t„p„‰„p""
   setting_new_item_menu_tab: „B„{„|„p„t„{„p „}„u„~„ „„‚„€„u„{„„„p „t„|„‘ „ƒ„€„x„t„p„~„y„‘ „~„€„r„„‡ „€„q„Œ„u„{„„„€„r
   label_new_object_tab_enabled: „O„„„€„q„‚„p„w„p„„„ „r„„„p„t„p„„‹„y„z „ƒ„„y„ƒ„€„{ ""+""
-  error_no_projects_with_tracker_allowed_for_new_issue: There are no projects with trackers
-    for which you can create an issue
+  error_no_projects_with_tracker_allowed_for_new_issue: „O„„„ƒ„…„„„ƒ„„„r„…„„„ „„‚„€„u„{„„„, „„€ „„„‚„u„{„u„‚„p„} „{„€„„„€„‚„„‡ „r„ „}„€„w„u„„„u „ƒ„€„x„t„p„r„p„„„ „x„p„t„p„‰„y
   error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: Spent time cannot
     be reassigned to an issue that is about to be deleted
</code></pre>"
25495,Redmine,Patch,"",Closed,Low,spelling fixes,ka seven,"",2017-04-02 13:03,Code cleanup/refactoring,"","","","",0,2017-04-01 22:09,2017-04-02 05:36,"","","","patch contains some spelling fixes ( just in comments ) as found by a bot ( https://github.com/ka7/misspell_fixer ).
see also http://www.misfix.org
Also, any upcoming License changes (e.g. GPL2 to GPL3+) are hereby granted.

base for the diff was @adce697 on github.com"
25491,Redmine,Patch,"",Needs feedback,Normal,List of role members,David C?t?-Tremblay,"",2017-06-02 09:46,UI,"","","","",0,2017-03-31 23:12,"","","","","This simple patch provides a list of all members of a role grouped by projects.

Tested and working with Redmine 3.2 & 3.3"
